TargetName,HUGOSymbol,TargetGroup,AnalyteType,CodeClass,ProbePool,MinCount,MaxCount,MedianCount,GeomeanCount,NumberOfProbesIncluded,NumberOfProbesTotal,GeneID
UBXN6,UBXN6,All Targets,RNA,Endogenous,01,1,692,14,13.93046828,1,1,80700
KTN1,KTN1,All Targets,RNA,Endogenous,01,1,990,23,23.51747913,1,1,3895
RFX2,RFX2,All Targets,RNA,Endogenous,01,1,761,29,26.88974738,1,1,5990
PRSS23,PRSS23,All Targets,RNA,Endogenous,01,1,1161,17,16.61518675,1,1,11098
C16orf89,C16orf89,All Targets,RNA,Endogenous,01,1,883,14,12.75917663,1,1,146556
FNDC4,FNDC4,All Targets,RNA,Endogenous,01,1,770,14,13.90584258,1,1,64838
SEZ6L2,SEZ6L2,All Targets,RNA,Endogenous,01,1,835,12,11.72969082,1,1,26470
MEA1,MEA1,All Targets,RNA,Endogenous,01,1,724,12.5,12.22272288,1,1,4201
F12,F12,All Targets,RNA,Endogenous,01,1,1807,30,30.97692332,1,1,2161
TFAP2D,TFAP2D,All Targets,RNA,Endogenous,01,1,933,13,13.46172378,1,1,83741
TMEM33,TMEM33,All Targets,RNA,Endogenous,01,1,732,14,13.96320141,1,1,55161
SENP3,SENP3,All Targets,RNA,Endogenous,01,1,789,18,18.03850807,1,1,26168
PEX19,PEX19,All Targets,RNA,Endogenous,01,1,781,11,10.75363094,1,1,5824
ODF2,ODF2,All Targets,RNA,Endogenous,01,1,851,14,12.92548079,1,1,4957
RIMS3,RIMS3,All Targets,RNA,Endogenous,01,1,813,12,12.11210315,1,1,9783
SIX1,SIX1,All Targets,RNA,Endogenous,01,1,869,13,12.29577881,1,1,6495
TMEM131L,TMEM131L,All Targets,RNA,Endogenous,01,1,726,16,16.05294342,1,1,23240
LACTBL1,LACTBL1,All Targets,RNA,Endogenous,01,1,1137,16,16.46058292,1,1,646262
MSH4,MSH4,All Targets,RNA,Endogenous,01,1,868,12,11.63634247,1,1,4438
ZNF35,ZNF35,All Targets,RNA,Endogenous,01,1,910,13.5,13.58401853,1,1,7584
PMF1,PMF1,All Targets,RNA,Endogenous,01,1,964,18.5,17.52177488,1,1,11243
ALYREF,ALYREF,All Targets,RNA,Endogenous,01,1,892,23.5,24.06233495,1,1,10189
MC2R,MC2R,All Targets,RNA,Endogenous,01,1,788,10,9.678824064,1,1,4158
RBPMS2,RBPMS2,All Targets,RNA,Endogenous,01,1,764,11,10.31089874,1,1,348093
KAT8,KAT8,All Targets,RNA,Endogenous,01,1,868,13,11.91382967,1,1,84148
GAD2,GAD2,All Targets,RNA,Endogenous,01,1,793,13.5,13.1509838,1,1,2572
GZMB,GZMB,All Targets,RNA,Endogenous,01,1,680,18,17.64143834,1,1,3002
ANKRD27,ANKRD27,All Targets,RNA,Endogenous,01,1,781,13.5,12.8783124,1,1,84079
MAGEA10,MAGEA10,All Targets,RNA,Endogenous,01,1,987,17,17.21089327,1,1,4109
RAET1L,RAET1L,All Targets,RNA,Endogenous,01,1,788,18,18.33809261,1,1,154064
GADD45G,GADD45G,All Targets,RNA,Endogenous,01,1,642,11,9.951566083,1,1,10912
IGFLR1,IGFLR1,All Targets,RNA,Endogenous,01,1,906,16,15.78214091,1,1,79713
SLC41A3,SLC41A3,All Targets,RNA,Endogenous,01,1,965,19.5,19.32593409,1,1,54946
PPP1R13L,PPP1R13L,All Targets,RNA,Endogenous,01,1,621,7,7.06342565,1,1,10848
KLHL42,KLHL42,All Targets,RNA,Endogenous,01,1,947,22,21.62418674,1,1,57542
DEFB116,DEFB116,All Targets,RNA,Endogenous,01,1,990,15.5,15.60787731,1,1,245930
ASB4,ASB4,All Targets,RNA,Endogenous,01,1,813,16,16.03256455,1,1,51666
VPS41,VPS41,All Targets,RNA,Endogenous,01,1,842,17,16.44039447,1,1,27072
SLC22A31,SLC22A31,All Targets,RNA,Endogenous,01,1,836,19,18.65930745,1,1,146429
RAB32,RAB32,All Targets,RNA,Endogenous,01,1,823,13,12.98799423,1,1,10981
CENPW,CENPW,All Targets,RNA,Endogenous,01,1,859,11.5,10.99738369,1,1,387103
ACADM,ACADM,All Targets,RNA,Endogenous,01,1,891,14,13.59319482,1,1,34
RNF20,RNF20,All Targets,RNA,Endogenous,01,1,849,13,12.0102224,1,1,56254
SVOP,SVOP,All Targets,RNA,Endogenous,01,1,697,13,12.4905599,1,1,55530
ZDBF2,ZDBF2,All Targets,RNA,Endogenous,01,1,748,15.5,15.36443803,1,1,57683
BCAM,BCAM,All Targets,RNA,Endogenous,01,1,917,17,16.45575455,1,1,4059
DEFB112,DEFB112,All Targets,RNA,Endogenous,01,1,930,11,10.35137466,1,1,245915
ST3GAL3,ST3GAL3,All Targets,RNA,Endogenous,01,1,779,13,13.22085492,1,1,6487
ATRNL1,ATRNL1,All Targets,RNA,Endogenous,01,1,896,12,11.97620026,1,1,26033
THAP1,THAP1,All Targets,RNA,Endogenous,01,1,737,12,11.21667928,1,1,55145
MT1H,MT1H,All Targets,RNA,Endogenous,01,1,768,11,10.37653197,1,1,4496
AMD1,AMD1,All Targets,RNA,Endogenous,01,1,795,23,23.29503161,1,1,262
GPR139,GPR139,All Targets,RNA,Endogenous,01,1,801,12,12.48769951,1,1,124274
ADRB3,ADRB3,All Targets,RNA,Endogenous,01,1,803,10,8.825254309,1,1,155
MYT1L,MYT1L,All Targets,RNA,Endogenous,01,1,706,10,9.834940034,1,1,23040
SKAP2,SKAP2,All Targets,RNA,Endogenous,01,1,910,16.5,15.45498648,1,1,8935
