"","logFC","logCPM","F","PValue","FDR"
"CR2",-1.38707958917539,8.16241883436043,82.3191174132736,8.8264022004796e-17,3.27459521637793e-13
"CLU",-1.4792039029486,9.25409780589675,52.879107757724,7.04387720872864e-12,1.30663922221916e-08
"VPREB3",-0.622956405052324,7.30728635107134,47.1084979047728,6.45668871357914e-11,7.98477170912621e-08
"PLEKHM1",-1.38261175295754,7.75961943200785,44.4342056309441,2.31150948054821e-10,2.14392504320846e-07
"FDCSP",-1.09252899123591,7.61707023100842,36.1963190502839,7.91213611180892e-09,5.87080499496222e-06
"CXCL13",-0.940376785421716,8.54064530667426,34.0163406101321,2.06205125141949e-08,1.27503502379439e-05
"SERPINE2",-0.570546989160916,7.14403818811189,33.3235506953884,2.48529502869856e-08,1.31720636521024e-05
"MS4A1",-0.68998766047657,7.79234225509062,31.1299359656741,7.443420093906e-08,3.45188606854891e-05
"LTF",-0.640405542082127,8.02702594422689,28.9047987724159,2.02889119339379e-07,8.36354036387886e-05
"NCF1",-0.476966083935091,8.29393513008485,25.3215774304446,1.03287428387529e-06,0.000383196359317732
"COL6A3",0.438198048021509,7.35649556558397,24.8481743494164,1.25051354676415e-06,0.000421764114408636
"CD22",-0.449038054198251,8.03342250510013,23.5611550761863,2.34166074098215e-06,0.000723963445753647
"CD37",-0.485469482023402,7.85586679050344,22.0672330269162,4.75988520716777e-06,0.00135839800912249
"P2RX5",-0.485580458889142,7.40184221688346,20.9774905922887,7.93307226722343e-06,0.00210226415081421
"LYL1",-0.350568681358335,7.50082117107793,20.295257751194,1.04894379656921e-05,0.00259438765684784
"CD19",-0.40416214985931,7.40919495010704,19.755913826479,1.40282647353036e-05,0.00325280388549852
"ADAM28",-0.332272832759234,7.27094785500965,18.5625869143881,2.42319095422394e-05,0.00528825790598283
"TNFRSF13C",-0.342802547170891,8.05645981232709,18.3626046492361,2.72038422872142e-05,0.00560701416030915
"CD79B",-0.295050122052559,8.18651556600298,17.7691189951209,3.5663526015367e-05,0.00696377271142167
"OXT",0.556720952626026,7.36994231863314,17.6193135456335,3.99395113451777e-05,0.00740877935453045
"PTPN6",-0.290610117660976,8.23479076157626,17.3846018490777,4.30395883816627e-05,0.00760366061409375
"TMC8",-0.294236498003871,7.66641406560933,17.0466231948052,5.07927346363741e-05,0.00856550206822491
"PIK3AP1",-0.309718506500152,7.53054240373101,16.6303862954372,6.23182711627039e-05,0.0100522080875492
"RHOF",-0.292083711581605,7.17797974636886,15.9819449797604,8.57987770519067e-05,0.0132630609526073
"CD79A",-0.514493905914847,8.35185280949967,15.883727679268,9.31204068688343e-05,0.013819068379335
"PAX5",-0.330340447898371,7.20736975366823,15.467134081734,0.000110708575245972,0.0157972620831753
"SPIB",-0.372818083519425,7.5458758724121,15.3628497537121,0.000119647470286934,0.0164404486949824
"IGLL5",1.05388156989591,10.1157873158088,15.1677899789197,0.000132464384191516,0.0175515309053759
"SCN9A",0.793866050472734,8.5904635685206,14.8762722962897,0.000152984187992361,0.0195714254293676
"SSR4",0.405573756555421,8.0962823743293,14.3994573259741,0.000193502178765777,0.0239297694407011
"BANK1",-0.301008258775674,8.33692482776943,14.2574174140905,0.000204010979393461,0.0244155075338626
"XBP1",0.55694150266216,8.24689560450414,14.0598442928994,0.000229400304663357,0.0262818682083971
"AGPAT4",0.604909699515874,7.96157070419871,13.9776831919084,0.000238983719271075,0.0262818682083971
"TXNDC5",0.433423049241667,7.9190763259457,13.9102936137977,0.000247030509290916,0.0262818682083971
"MARCKSL1",-0.348878973135497,7.81334261770882,13.8914962963928,0.000247942152909406,0.0262818682083971
"JCHAIN",0.844206264413233,9.35984455145162,13.4841997844199,0.000305754465585159,0.0315096963144705
"ADAM19",-0.261843832503369,7.56865094625185,12.9535208277169,0.000389846454528093,0.0390900093594385
"H1-5",-0.816158026694108,8.70821483339564,12.9036673153086,0.000409107093773285,0.0399417715236549
"FCER2",-0.398198001580228,7.47763698779385,12.7777164154744,0.000435274829519825,0.0414069132697064
"IGHA1",1.19064781941145,12.1110416376572,12.6479552487871,0.000465317578494362,0.0431582054053521
"NIBAN3",-0.346589210761853,7.26423711096202,12.5025954213573,0.000495240587360927,0.0448132336368058
"PKN3",0.563380645135142,7.93787981327586,12.3824136757129,0.000532045110482072,0.0458595582389757
"PPP1R18",-0.251667603112748,7.26096758604707,12.3370531701915,0.000532955943927612,0.0458595582389757
"UCP2",-0.31141635556659,8.01405069634816,12.2849737837714,0.000554975705090519,0.0458595582389757
"CCL21",0.621019852186634,8.7159215845301,12.2276164876258,0.000575364148032047,0.0458595582389757
"HLA-DMB",-0.284311435774941,7.8476130324147,12.1917287545185,0.000576864498982257,0.0458595582389757
"FCMR",-0.289919372986392,8.13853390978186,12.1871215990214,0.000580970144806431,0.0458595582389757
"LTB",-0.326279187967448,9.14978357069502,11.9637216042739,0.000653913187860146,0.0490367812622807
"H3C2",-0.745588092691172,8.21553303172592,11.9574218686078,0.000659779210890274,0.0490367812622807
"GGA2",-0.345845778455263,7.19326919702763,11.9295130812865,0.000660873062833972,0.0490367812622807
"FAM13B",-0.228959158701166,7.28751248412278,11.8191040635052,0.000694004492929423,0.0504854248778071
"FCRL1",-0.347057939226295,7.31426007414723,11.7698457045022,0.000722022084497474,0.0515134987208774
"BCAS4",-0.247125024230713,7.47101524986159,11.6721747969809,0.000748153925986026,0.0519206137822522
"TGM2",0.449019942869919,7.53564253547697,11.6887374126586,0.000756178582450633,0.0519206137822522
"DOCK2",-0.266356330215468,7.2846808973989,11.6002175966615,0.000776223767212934,0.0519206137822522
"SDF2L1",0.251395157720105,7.20244682649441,11.5814805528191,0.000783707377845317,0.0519206137822522
"SMIM14",-0.257075502185831,7.42398460286958,11.4799299015031,0.000825564566356436,0.0537341147575856
"H1-4",-0.415365454882166,8.99492443197473,11.4699616196837,0.000845102929807311,0.0540574460273297
"SKIL",-0.217307219231881,7.43436853852149,11.2271029101294,0.000939952672546556,0.0591054985618258
"BLK",-0.257642029832138,7.49371305445529,11.1215436253079,0.000992375698708177,0.0599206332468963
"PSMC4",0.210807452791193,7.8253955488913,11.112971645125,0.000996761412607592,0.0599206332468963
