"","logFC","logCPM","F","PValue","FDR"
"CR2",-1.09219262484411,8.16241883436043,42.3002950438538,5.69966720245386e-10,2.11457653211038e-06
"ACTA2",0.601358133647823,7.88662396070374,26.4909514873124,6.08860970735013e-07,0.00104507674125404
"TIMP2",0.485246811929004,7.74143080986052,25.2509357167892,1.0534733482215e-06,0.00104507674125404
"CST3",0.52563490155843,8.20472021553183,25.1325626926369,1.12676737601514e-06,0.00104507674125404
"STAB1",0.349037149248244,7.24516838860795,20.1610955571627,1.11885338551883e-05,0.00830189212054969
"FDCSP",-0.93821359005074,7.61707023100842,19.4167932769329,1.68067837166893e-05,0.0103921945981529
"BGN",0.589507369385876,7.21884237643509,18.7249768280624,2.33741210443663e-05,0.0123882841535141
"FCER2",-0.471139172666233,7.47763698779385,18.3976057023306,2.73517590027327e-05,0.0126843782375173
"CCL19",0.831676135195355,8.64015826206354,17.865458640842,3.54604399595708e-05,0.0144955587136292
"ENG",0.450103293109508,7.76398746225141,17.4953488913268,4.22528949084998e-05,0.0144955587136292
"CD79B",-0.324569592603901,8.18651556600298,17.3249021039904,4.43162029218235e-05,0.0144955587136292
"BLK",-0.32255991043391,7.49371305445529,17.1886705735232,4.73750122279611e-05,0.0144955587136292
"CTSC",0.412999136693063,7.56945391179076,17.0991267167022,5.07930628779461e-05,0.0144955587136292
"MS4A1",-0.560190736919202,7.79234225509062,16.7457837045103,6.10748260620096e-05,0.0158547556039202
"P2RX5",-0.416426122614887,7.40184221688346,16.5987442353009,6.53195624438925e-05,0.0158547556039202
"MCAM",0.284620426785669,7.92839796107437,16.4419490099842,6.83763044913e-05,0.0158547556039202
"AIF1",0.30274564842415,7.2930730196065,16.211685380943,7.65966787806032e-05,0.0167160987221199
"S100A4",0.348236612306144,8.07910414810056,16.1003760724945,8.14518528167536e-05,0.0167881318861198
"CXCL13",-0.779928745353877,8.54064530667426,15.9596571859427,8.97237333405012e-05,0.0175197395101716
"FBXW11",-0.256578166293126,8.13073042763542,15.2997840782447,0.00012029707191635,0.0213428238518456
"PKNOX2",-0.245078151859343,7.87473961548229,15.1964378715316,0.000126635150293591,0.0213428238518456
"MYLK",0.338481821351354,7.31122306293403,15.1676433810344,0.000128460712429688,0.0213428238518456
"LUM",0.522771920444435,7.96640963958219,15.0841573768864,0.000138006157272837,0.0213428238518456
"AEBP1",0.402304340527704,7.60237366769768,14.9939329555997,0.000143708046294281,0.0213428238518456
"TNFRSF13C",-0.343579729973421,8.05645981232709,14.9663017424354,0.000143819567734809,0.0213428238518456
