"","logFC","logCPM","F","PValue","FDR"
"KRT6A",-5.73072275886775,8.98006425648282,1133.50322322938,2.92372086413539e-86,1.08470044059423e-82
"PERP",-3.68524983352661,8.03574313085636,840.741841660849,3.55464146510161e-75,6.59385991776348e-72
"KRT5",-5.70013283712374,9.5301825650134,663.867285623898,1.02204864222531e-66,1.26393348755197e-63
"CD9",-2.96940238478966,7.64732625642862,580.389883022079,2.86773405040406e-62,2.65982333174977e-59
"IFI27",-2.54671234809153,7.54448838318703,519.21700154979,8.69001783641462e-59,6.44799323461965e-56
"JUP",-2.29874214704364,7.59533498020136,485.701611261692,5.59393520750213e-57,3.45891660330549e-54
"DST",-2.18996592495658,7.50425227669578,438.343369978386,1.1635375986703e-53,6.16674927295261e-51
"S100A6",-2.74806067436949,9.43439860574751,437.77334392825,2.27733317700304e-53,1.05611326083516e-50
"TP63",-2.46549814266266,7.35740169579938,423.260587933944,2.90427248539082e-52,1.19720565786666e-49
"CLCA2",-2.50946603175649,7.86407329493402,420.235365525166,5.83707800373758e-52,2.16555593938664e-49
"ITGB4",-2.29822370517395,7.60927141995187,411.723619639341,1.76244116703272e-51,5.94423339062854e-49
"S100A9",-3.93766407531442,8.39901160998309,405.778987690446,8.26593158031756e-51,2.55555051358151e-48
"S100A11",-2.57533046372819,8.58453769071598,397.420361159206,2.93043149078757e-50,8.36300063909377e-48
"SPINT2",-1.93437988348279,7.60051388923703,366.024331054457,1.98790669655874e-48,5.26795274588065e-46
"GSTP1",-2.44779185145796,8.81961555655808,371.563718609896,2.53456560755789e-48,6.26882560269318e-46
"ATP2A2",-1.74735782823098,7.46220222901459,346.365667114517,2.34672124489394e-47,5.44145988659782e-45
"HSPB1",-3.14959555989051,8.46921358006972,350.564175496906,1.54169110148255e-46,3.36451410970603e-44
"SLC2A1",-1.86418156280648,8.15081238477016,338.979372161024,2.75585450259058e-46,5.68012233589502e-44
"CDH1",-1.65327521647074,7.37236678937288,317.702746491746,2.58777595533868e-45,5.052973049635e-43
"TACSTD2",-2.30455718573946,7.22445651059792,331.243525625368,3.79745812153742e-45,7.04428481545192e-43
"EIF4G1",-1.44188208193994,8.18458837733136,302.96496588789,4.56502990798559e-44,8.06488617077454e-42
"SEM1",-1.67774567315219,7.96411022472411,299.449397233402,5.64616859129931e-43,9.52149339714566e-41
"CSTB",-1.57914577172554,7.42775321259028,287.109686536999,2.471485072176e-42,3.98661287729259e-40
"RPN2",-1.50447069345931,8.18768251135885,280.494335476104,8.82863003722961e-42,1.36475905992174e-39
"PSMD2",-1.58130892347964,7.6953922322366,282.285004556875,1.37349883135494e-41,2.03827226573073e-39
