"","logFC","logCPM","F","PValue","FDR"
"CRYAB",-2.99260502485701,8.13202941436498,498.908363269482,2.8262275742094e-57,1.04853043003169e-53
"FXYD2",-2.54784742854322,7.62155196479728,480.710436552425,4.05041508816839e-56,7.51351998855237e-53
"SPP1",-2.70551581694025,7.8863095901423,454.436943868795,2.6780793471402e-54,3.31189145929671e-51
"PDZK1IP1",-2.50192847323347,7.52608089331676,348.96884198952,2.0302084587756e-46,1.88301834551437e-43
"ALDOA",-2.43327841584403,9.73136471428777,335.518205953305,1.66636774080785e-45,1.23644486367943e-42
"CA12",-1.85995498585724,6.93698899355529,306.114505094549,2.29945680553178e-44,1.42183079142049e-41
"IGFBP3",-2.82589479761384,8.24598349282124,318.180930083152,7.92475670931648e-44,4.20012105593774e-41
"TPI1",-1.85585159804014,8.08111661068544,307.600521220842,2.90691827441288e-43,1.34808334975897e-40
"ANXA4",-1.88539566528355,7.15886559712019,286.868666032904,8.11696568341227e-42,3.34599363171772e-39
"MIF",-2.09944948064288,8.92942407364924,282.769187466699,8.07242418047889e-41,2.99486937095767e-38
"NDRG1",-2.20298287889156,7.83602720458847,282.138569835178,1.25423130067845e-40,4.23018011410639e-38
"CD24",-1.68948905675491,6.99962435287091,266.297839674713,1.82891505777675e-40,5.65439572029312e-38
"VEGFA",-2.45676816060769,7.79570351554132,263.940093286596,6.84023967613181e-39,1.95209916911146e-36
"ATP1B1",-1.33993443472939,9.00782398501298,244.783724301351,3.17754552836961e-38,8.42049565017946e-36
"PGK1",-1.70510717778819,8.2979573094833,244.550476201444,2.96483082914719e-37,7.33301491742405e-35
"RARRES2",-1.61904649199261,8.49109070269652,235.675635907138,1.40984319778787e-36,3.26907391487063e-34
"HPN",-1.32673639426001,7.37104606158345,225.94689564835,4.12622793843718e-36,9.0048856774129e-34
"NNMT",-2.0034308813645,7.57695325834766,228.651053186187,2.26403877178951e-35,4.6664354685217e-33
"GAL3ST1",-1.62663085496434,7.13587391448391,218.027243283944,5.71929602698367e-35,1.11676780316365e-32
"CNDP2",-1.34609457739221,7.73806257000108,205.920414502889,1.64862125427487e-33,3.05819242667989e-31
"NDUFA4L2",-2.32939522069908,7.65532125249995,207.166891125081,4.53333704370172e-33,8.00889544387304e-31
"UQCRQ",-1.2410802475349,7.76936356694317,197.058350297972,7.85655557165105e-33,1.32490096231025e-30
"EGLN3",-1.7653239964834,7.09006372317463,189.692040117494,2.61271174652266e-31,4.21441764330394e-29
"HINT1",-1.28722821360711,8.33819550690461,184.821038727615,3.37045101661461e-31,5.21015552985008e-29
"PKM",-1.91802451410521,9.21524872770796,189.348110041114,4.09880431474687e-31,6.08262560308436e-29
"PLIN2",-1.47257323799111,6.78571355531419,181.46078798981,5.46578377636333e-31,7.7992530039646e-29
"DAB2",-1.09716496304901,7.49950756698758,180.694828289294,6.78970781413481e-31,9.08006355382581e-29
"C4B",-1.71891102267543,7.80066508120049,187.533902192627,6.8528781538308e-31,9.08006355382581e-29
"ANGPTL4",-1.79891600636246,7.25957152507865,185.588258479012,1.14825906939494e-30,1.46897970601904e-28
"PTPRCAP",1.32685839606813,8.46883565550687,178.083432304291,1.4267048951421e-30,1.7643583869924e-28
"CXCL14",-1.70607798774965,7.30989812385315,179.694821239226,5.25012640300163e-30,6.28321579197937e-28
"SERPINA1",-2.07962170058217,8.90192317959611,179.380025244736,6.32241652949503e-30,7.3300516638833e-28
"HSPB8",-1.29140282633227,7.09564566941983,172.099347012393,7.96515852402271e-30,8.9547691285225e-28
"S100A10",-1.88409324822159,8.29557317924928,170.088103173107,7.99812960398302e-29,8.72737083258147e-27
"LDHA",-1.4201342916244,7.61684577099821,168.1632163905,1.0954307916266e-28,1.12970429843608e-26
"HSPB1",-2.1389670125497,8.46921358006972,168.983755846496,1.09620902274121e-28,1.12970429843608e-26
"YBX3",-1.28134766303635,7.79038302778252,161.121098953187,5.73885964093455e-28,5.75437007239654e-26
"ATP5F1B",-1.07492322844972,8.15887647510034,156.194234088893,8.74779391941059e-28,8.54060932658244e-26
"TMBIM6",-0.979948151537577,8.20666867264084,154.181539627967,1.607464335794e-27,1.52915197071685e-25
"CYB5R3",-1.15921172568318,7.54380427450081,155.203284670155,2.23474942800595e-27,2.07273009447552e-25
"SLC3A1",-1.14476667335171,7.22837259254945,150.505183333661,4.92515327536526e-27,4.45666308575734e-25
"PHAX",0.942022041971286,10.4377590182622,150.07164577673,5.62439829241564e-27,4.96821849163382e-25
"TNFRSF12A",-1.20328865632751,7.08707071471043,149.873642276556,5.97627614918807e-27,5.15627546825296e-25
"BSG",-1.03221670720452,7.74240220978354,148.098180194421,1.03125861544973e-26,8.69538514390565e-25
"ENO1",-1.45967552260901,8.17345087490621,151.998555456018,1.20925475796282e-26,9.76660584642664e-25
"CYB5A",-1.62934399977279,7.95704573386198,152.3562303809,1.21095382462433e-26,9.76660584642664e-25
"HILPDA",-1.85685285765232,7.12669497338039,151.357240623644,1.59570550782253e-26,1.25958881574928e-24
"MGST3",-0.957752043082647,7.52459660396227,141.847737133142,7.18631547133185e-26,5.55442299971691e-24
"PRMT8",1.07647262377384,12.3573402123827,141.241612514142,8.69013486642211e-26,6.5796735417196e-24
"TMEM176A",-1.37093532630981,7.2206863069965,143.23519746242,1.15213236408713e-25,8.54882214152649e-24
"ARRDC3",-1.11917727678179,8.30040858329627,140.376702058344,1.85460683813733e-25,1.349135562645e-23
"LSP1",1.09212654086383,8.32615410921227,138.631245322075,1.97684151278124e-25,1.41040038700354e-23
"ZNF587",0.983330243388246,10.2562619695938,138.169816569056,2.28735386778209e-25,1.60114770744746e-23
"FCF1",1.07434885440649,10.7246741816738,137.012364181096,3.30083026830495e-25,2.2677926472984e-23
"USP17L11",1.02706381496709,9.97522060996856,136.696925182019,3.64856549000404e-25,2.46112326689364e-23
"KRTAP10-3",0.889644615011688,9.36952721620035,135.870390853038,4.74548232413508e-25,3.14388203973949e-23
"RBP5",-0.990157239977876,7.41048710559401,135.602847220165,5.16759392826572e-25,3.36346903050278e-23
"P4HB",-1.10542266555262,8.13779572779242,135.295217799954,8.59025650867094e-25,5.49480200813262e-23
"USP17L12",1.03229375323061,10.1093892140091,132.734892397742,1.29337649806853e-24,8.09515893613327e-23
"CES2",-1.12156433321689,7.23942337041773,133.027235010773,1.30919012444204e-24,8.09515893613327e-23
"ARHGAP45",1.05127140275288,8.00511192666734,130.835458674062,2.38431077069673e-24,1.45012999332539e-22
"PFKP",-1.1383364095694,7.02382767494244,130.477551485706,2.67654600246301e-24,1.60161059179642e-22
