"","logFC","logCPM","F","PValue","FDR"
"KRT6A",-5.44173335415863,8.98006425648282,214.406413673935,7.34685003870655e-34,2.72568136436013e-30
"PERP",-3.81193251236133,8.03574313085636,203.351059926709,1.13463203556084e-32,2.10474242596536e-29
"DST",-2.56416664852136,7.50425227669578,159.269168820215,1.19647124883348e-27,1.4796361110574e-24
"CD9",-3.07661127030868,7.64732625642862,153.282251743932,8.95339755262467e-27,8.30427623005938e-24
"IFI27",-2.57715845273958,7.54448838318703,148.026371105131,3.77403335528695e-26,2.80033274962292e-23
"JUP",-2.42611576895601,7.59533498020136,142.846294481874,1.46998881075629e-25,9.0894308131764e-23
"KRT5",-5.59956663765287,9.5301825650134,142.016535145603,2.6166751083964e-25,1.38683780745009e-22
"CDH1",-1.95357742873569,7.37236678937288,124.290809964483,2.19361278677554e-23,1.01728792986716e-20
"ATP2A2",-1.9065046331607,7.46220222901459,123.624491008814,3.71908450840141e-23,1.53308928068547e-20
"S100A6",-2.94966486917224,9.43439860574751,123.189233846214,7.63294922571954e-23,2.83182416274195e-20
"TP63",-2.57196974960353,7.35740169579938,122.642211618756,9.38540630152111e-23,3.16544157987666e-20
"ITGB4",-2.40889912592356,7.60927141995187,120.764100766282,1.66137765765039e-22,5.13642592490244e-20
"CLCA2",-2.62125525247305,7.86407329493402,118.3192326198,3.90086515670849e-22,1.1132469024145e-19
"S100A9",-4.35692879031671,8.39901160998309,115.331314801701,1.07111492567532e-21,2.83845455303958e-19
"SLC2A1",-2.00983343713684,8.15081238477016,105.197480470237,2.15274113460008e-20,5.32444640624419e-18
"S100A11",-2.63558773407633,8.58453769071598,103.974535167339,4.4417612640601e-20,1.02993339310394e-17
"FASN",-1.40420202321217,7.24212199704402,96.7461115539239,2.52317290762047e-19,5.40139347450796e-17
"HSPB1",-3.33758097522285,8.46921358006972,98.8296595887523,2.6206221709203e-19,5.40139347450796e-17
"CSTB",-1.67160184736934,7.42775321259028,96.2131819740503,3.38402405023707e-19,6.60775222441028e-17
"SPINT2",-1.82912712020121,7.60051388923703,96.9870145038933,3.81198526802273e-19,7.07123267218217e-17
"PSMD2",-1.6808799305854,7.6953922322366,96.0719275170279,4.0957117699325e-19,7.23575746021409e-17
"RIPOR2",1.28579990337596,7.94705293497956,93.0681200114859,9.45533687531128e-19,1.59451362760931e-16
"ANXA2",-1.82863735339466,8.1788853742933,93.170441487687,1.3627432767902e-18,2.19816415517028e-16
"AP2M1",-1.36889306621314,7.99846238492158,91.8389036066761,1.47541587961169e-18,2.28074704723307e-16
"LAMA5",-1.63286831148301,7.2412263842757,90.7753783852965,2.17128079068209e-18,3.22218069337222e-16
"TACSTD2",-2.28883724175531,7.22445651059792,90.9172260411333,3.76240304242799e-18,5.36865972592609e-16
"AGRN",-2.18219035656864,7.55477915912551,90.9154317840626,3.96973363597348e-18,5.45470807017097e-16
