"","logFC","logCPM","F","PValue","FDR"
"CRYAB",-3.24519332542228,8.13202941436498,111.058155122347,4.23235736392797e-21,1.57020458201728e-17
"FXYD2",-3.00417628540817,7.62155196479728,103.910929963786,4.53639014582436e-20,8.41500372050418e-17
"PHAX",1.21316962925681,10.4377590182622,91.18743962884,1.86910603838034e-18,1.80249379531956e-15
"SPP1",-2.95110448022854,7.8863095901423,93.0148288827099,1.94338953673268e-18,1.80249379531956e-15
"PDZK1IP1",-3.11156460160038,7.52608089331676,90.1216676519475,5.38820794860304e-18,3.99805029786345e-15
"ALDOA",-2.90585906395524,9.73136471428777,88.4564466757026,9.0198417090249e-18,5.5772687900804e-15
"ANXA4",-2.27537358585247,7.15886559712019,82.3177238777641,6.47009657620594e-17,3.42915118538915e-14
"TPI1",-2.0763534898903,8.08111661068544,78.9030051321609,2.70895120479227e-16,1.25627612122241e-13
"PTPRCAP",1.48932433417159,8.46883565550687,77.3061617655438,3.25697817885614e-16,1.34259878261737e-13
"IGFBP3",-3.22328923532423,8.24598349282124,76.4848567710432,7.48456409156394e-16,2.77677327797022e-13
"ATP1B1",-1.55806335221367,9.00782398501298,73.3067729446219,1.50654263929068e-15,5.0811574470622e-13
"NDRG1",-2.57985332604872,7.83602720458847,73.5390329604401,2.22642421117729e-15,6.88336151955647e-13
"VEGFA",-3.20509506052262,7.79570351554132,72.1165656608631,3.82365308758211e-15,1.09121176576382e-12
"ZNF587",1.1702234610718,10.2562619695938,70.2703616788584,4.88778865019064e-15,1.29526399230052e-12
"PLIN2",-2.06304019413268,6.78571355531419,65.2055902146238,3.57958529223076e-14,8.85350762278407e-12
"LTB",1.74533638634466,9.14978357069502,64.5883210132636,6.06652609495694e-14,1.40667573826814e-11
"MIF",-2.20903826277772,8.92942407364924,63.6199405459908,9.46829460653587e-14,2.06631605824989e-11
"BMERB1",1.07772685461192,10.2118562125103,62.5615546526308,1.02676545595568e-13,2.11627768977532e-11
"USP17L11",1.14497576369281,9.97522060996856,62.0088972942505,1.281381976879e-13,2.50206691274794e-11
"TASOR2",0.977614815620549,10.3251142164823,61.6639057742767,1.47174613263377e-13,2.73008907603565e-11
"CNDP2",-1.65446254731577,7.73806257000108,61.5509042526572,1.78337342289415e-13,3.15062638044633e-11
"DAB2",-1.42626868684886,7.49950756698758,61.0000199224232,1.92222101140184e-13,3.2415636146822e-11
"TRBC1",1.863633042845,8.7085743685538,61.7292258621712,2.03198929981784e-13,3.27768708796703e-11
"RARRES2",-1.75806661407201,8.49109070269652,61.2351960694295,2.14725367159579e-13,3.31929630067516e-11
"FCF1",1.17313156085872,10.7246741816738,60.2401484067837,2.61147327034708e-13,3.87542633319506e-11
"CD24",-1.7575579247738,6.99962435287091,60.1131367455722,2.74894586673134e-13,3.92253429445125e-11
"PGK1",-1.86974803048364,8.2979573094833,60.3624153802367,3.26300686441749e-13,4.48361313592181e-11
"CA12",-1.82776435933806,6.93698899355529,58.9577604225583,4.38855381316938e-13,5.81483380244943e-11
"PRMT8",1.12979169144351,12.3573402123827,58.019895218258,6.42491217514124e-13,8.21945661026689e-11
"ZNF417",1.00999370731331,9.41948433381283,56.8394066526276,1.0400597257865e-12,1.27340685226501e-10
"BAP1",1.15226555456114,7.34564197447482,56.7836867242137,1.06403267979017e-12,1.27340685226501e-10
"NDUFA4L2",-2.87734264697511,7.65532125249995,57.3319655093986,1.1740280318449e-12,1.36113874942019e-10
"C4orf46",1.02373549007,10.0430162715563,54.7351049167277,2.46745914208999e-12,2.73119470607613e-10
"LIMD2",1.52784793767585,7.86129757408056,55.189267516143,2.50298167133661e-12,2.73119470607613e-10
"MGST3",-1.37567042593595,7.52459660396227,54.624473308441,2.58260226225195e-12,2.73755839798706e-10
"XRCC2",1.05899693954478,9.44266757228979,52.1179301662954,7.29568613980167e-12,7.51860988296227e-10
"CORO1A",1.42848183979572,8.8077734820049,52.2773649039691,7.75201639685816e-12,7.528197641635e-10
"C4B",-2.11802485840145,7.80066508120049,52.5793835145529,7.89795873012392e-12,7.528197641635e-10
"PTPRC",1.37675269943019,7.69128797302488,52.0908011911132,7.91373876074838e-12,7.528197641635e-10
"NNMT",-2.13203246105177,7.57695325834766,52.0917570226708,9.67654913374523e-12,8.86511285106186e-10
"P4HB",-1.49324336449466,8.13779572779242,51.6201226713256,9.79702498365327e-12,8.86511285106186e-10
"RPS29",1.10535860629656,10.9350455936485,51.0622517480993,1.13322043501665e-11,1.0010113842647e-09
"UQCRQ",-1.35431307928016,7.76936356694317,50.8995178122581,1.22614993225086e-11,1.05791075550016e-09
"HINT1",-1.4340697888508,8.33819550690461,50.7364700844927,1.38091828128196e-11,1.16436518717184e-09
"ATP5F1B",-1.31231507181915,8.15887647510034,50.3980202906129,1.49639898603603e-11,1.21511190356877e-09
"NUTM2G",1.104906577979,8.2539611930846,50.3817964316393,1.50660775105561e-11,1.21511190356877e-09
"CTNNA1",-1.27043624413808,7.51333058168759,50.0247373107601,1.7499803012409e-11,1.38136742927739e-09
"LYRM2",0.927567555482269,9.84510252340007,49.8098719268463,1.91518701359143e-11,1.48027996258837e-09
"PKM",-2.13435013422026,9.21524872770796,49.0057714862402,3.40166726462395e-11,2.55922706236565e-09
"SERPINA1",-2.54635679884718,8.90192317959611,48.9955069755027,3.44909307596449e-11,2.55922706236565e-09
"AKNA",1.18407340661434,7.79331763201579,47.9497351041231,4.19529940090641e-11,3.051874662228e-09
"USP17L12",1.02496399205739,10.1093892140091,46.9181948912145,6.49671834688101e-11,4.58084911208445e-09
"DUX4",0.801406553339605,10.9541896853712,46.9011011705803,6.54407016012064e-11,4.58084911208445e-09
"S100A1",-1.74497859245742,6.82398904034068,46.1218628286702,9.11697887731297e-11,6.26370215459836e-09
"HSPB8",-1.41456951141703,7.09564566941983,44.8123251540257,1.59539178950792e-10,1.0761642798317e-08
"RBP5",-1.27300294106073,7.41048710559401,44.6634989708824,1.70046163084513e-10,1.1265558304349e-08
"ABCC3",-1.27810000916783,7.15524907239736,43.6494150267647,2.62877436423811e-10,1.68804781658105e-08
"RIPOR2",1.01465936156516,7.94705293497956,43.6403990227753,2.63899658656875e-10,1.68804781658105e-08
"S100A10",-2.12674459868556,8.29557317924928,43.9356072858336,2.84758271647189e-10,1.79059862340859e-08
"ANGPTL4",-1.96092573306033,7.25957152507865,43.8541201173878,2.93576410625195e-10,1.81528080569912e-08
"NAT8B",0.826238899038593,9.3761317393415,42.7009401101775,3.9573919125948e-10,2.4068727861847e-08
"ENO1",-1.66805518025648,8.17345087490621,42.7432951011173,4.64194390293485e-10,2.77767933546585e-08
"FCMR",1.2637125522732,8.13853390978186,42.4567734453838,4.826115875225e-10,2.84204601541028e-08
"RPL32",1.00052632587097,10.1005106723603,42.1938296006798,4.9280875150736e-10,2.85675073139423e-08
"ARHGEF15",0.972680666043724,9.28118286461654,41.8569155633983,5.70274225118347e-10,3.25494980798318e-08
"SQSTM1",-1.15820815508281,8.18793295786532,41.5467032788088,6.52442432766887e-10,3.66751731146235e-08
"BNIP3L",-1.08565277403998,7.89264603027254,41.434192293845,6.85114424472879e-10,3.79369330566325e-08
"ITM2B",-1.43397937000262,8.21616314180222,41.6171781278409,7.16379867568294e-10,3.90848427746819e-08
"ZNF776",0.894942609369298,9.05765710249419,41.1174740527997,7.8623663956477e-10,4.21900970704134e-08
"ETS1",1.18635557818987,7.85123204442438,41.1986408667153,7.9603956736629e-10,4.21900970704134e-08
"CD151",-1.49600584802989,8.06108379221991,41.3022151527441,8.34461734990218e-10,4.35485985143972e-08
"USP17L3",0.975844981976353,9.40332762049896,40.9514188138875,8.45148003513907e-10,4.35485985143972e-08
"HPN",-1.24634213072455,7.37104606158345,40.4322963877444,1.07091649594375e-09,5.44260301363194e-08
"IGHM",3.4833030972132,10.3964792571524,40.3371424361348,1.31765266168897e-09,6.60606942549472e-08
"FTH1",-1.3268213855155,11.0207706464987,39.8172160068009,1.38626909555691e-09,6.85741112602151e-08
"NDUFB2",-1.51846310170466,7.62349983786539,39.9455836850348,1.48396407060702e-09,7.24408776572636e-08
"UTF1",0.846039588559194,8.60446652185926,39.4153544999345,1.65287808525299e-09,7.86221316442071e-08
"PTK6",0.927151856450248,8.85245404922833,39.4152247515709,1.65297203995907e-09,7.86221316442071e-08
"CXCL14",-1.80479849407737,7.30989812385315,39.4067606733469,1.94535839840499e-09,9.13579703554748e-08
"BSG",-1.13176503579562,7.74240220978354,38.9642758828953,2.01439761448177e-09,9.34176893715923e-08
"TNFRSF13C",1.22009845788391,8.05645981232709,38.9838718857446,2.14394523165181e-09,9.81979853015828e-08
"ANKRD20A1",0.919899629314873,8.39856584862684,38.6145451795888,2.34888699699585e-09,1.04573647531853e-07
"PDCD4",0.714504137200453,9.19892929775718,38.6038306349609,2.3599764608104e-09,1.04573647531853e-07
"RSF1",0.812655214385955,8.80070302655271,38.5963931863388,2.3677052271363e-09,1.04573647531853e-07
"JAK3",1.05129177836173,8.39637393218785,38.2764158749376,2.72559060736163e-09,1.18964013568373e-07
"ECHS1",-1.11311339168811,7.62376468362029,38.2233770996206,2.78998577650144e-09,1.20358688730469e-07
"LSP1",1.01674339662655,8.32615410921227,37.9706509127314,3.11857788372173e-09,1.32987631593191e-07
"TMEM176A",-1.56499250988807,7.2206863069965,38.0358897162392,3.36602620633373e-09,1.41908604835206e-07
"CES2",-1.30835372633106,7.23942337041773,37.3300539771738,4.19232622269498e-09,1.74758767260656e-07
"EGLN3",-1.71540763162644,7.09006372317463,37.3956118684498,4.5301220710211e-09,1.86741698705425e-07
"SPDYE16",0.803733178916305,9.79616398860546,37.0684920695594,4.64513308070946e-09,1.89378502521232e-07
"HSPB1",-2.20436419161938,8.46921358006972,37.2112234575514,5.08086226548668e-09,2.04891293532126e-07
"CLEC10A",0.823894228292489,8.64948668192444,36.6201054725814,5.66570794681673e-09,2.26019101964409e-07
"NBPF19",0.739422768082826,9.13984551553098,36.3192518047954,6.47476217792944e-09,2.55546464682109e-07
