"","logFC","logCPM","F","PValue","FDR"
"KRT6A",-5.60774180271476,8.98006425648282,1054.8592561204,1.59615026858418e-83,5.92171749644733e-80
"PERP",-3.76346076282765,8.03574313085636,853.942497025399,9.61840606208375e-76,1.78421432451654e-72
"CD9",-3.20262826751505,7.64732625642862,682.975135962814,7.90802572380659e-68,9.77959181177415e-65
"KRT5",-5.74612856446146,9.5301825650134,576.059208254729,6.59382068245286e-62,6.11576868297503e-59
"JUP",-2.42713395133232,7.59533498020136,552.988569046561,2.95672863552069e-61,2.19389264755635e-58
"DST",-2.41925688760167,7.50425227669578,522.729919309892,2.56117046858411e-59,1.58365707307451e-56
"IFI27",-2.50561463912546,7.54448838318703,504.133017396886,7.88838348986967e-58,4.18084324963092e-55
"S100A6",-3.0443256442712,9.43439860574751,496.491746527549,2.39291472277911e-57,1.10971420268881e-54
"TP63",-2.4426348221055,7.35740169579938,449.290704674647,4.16925065041384e-54,1.71865776811504e-51
"S100A11",-2.70663305880125,8.58453769071598,419.795089143309,6.56783606520228e-52,2.43666718019005e-49
"ATP2A2",-1.84980030755151,7.46220222901459,392.813527866966,3.56446787218619e-51,1.20219780052825e-48
"S100A9",-4.18718615645934,8.39901160998309,391.694087817304,9.32939841320959e-50,2.8843390094173e-47
"GSTP1",-2.5418605574213,8.81961555655808,387.667982296712,1.43178197400714e-49,4.08608547966652e-47
"ITGB4",-2.18239187590646,7.60927141995187,374.416884246119,1.21165953774539e-48,3.21089777502529e-46
"TACSTD2",-2.42966388517572,7.22445651059792,364.391603071454,7.09502098382417e-48,1.75483518999918e-45
"SLC2A1",-1.93203790180929,8.15081238477016,352.199635554835,2.12268072070655e-47,4.92196592113832e-45
"CLCA2",-2.3413327694687,7.86407329493402,358.936779033078,2.72838869899862e-47,5.95430710193228e-45
"SPINT2",-1.87505073773245,7.60051388923703,348.979485692073,4.99491432588011e-47,1.02950734161196e-44
"HSPB1",-3.29552469836002,8.46921358006972,348.875733337499,2.11502616602458e-46,4.12986688207958e-44
"DDR1",-1.8550111547894,7.10035916144544,327.650066687923,2.34906109240617e-46,4.35750832641345e-44
"CDH1",-1.63958831774616,7.37236678937288,326.574628064151,4.02721316302507e-46,7.11474325467762e-44
"EIF4G1",-1.48839514195791,8.18458837733136,323.389245028039,5.73583409916054e-46,9.67270204903891e-44
"RPN2",-1.6419244289907,8.18768251135885,323.604714054084,7.38446740930031e-46,1.19114669950018e-43
"CTNND1",-1.59312932813926,7.28354166627483,318.456879033948,1.62609161479686e-45,2.51366662120682e-43
"PSMD2",-1.6940046100373,7.6953922322366,323.289013480494,2.13272663271441e-45,3.16496632294818e-43
"TXN",-2.0216708105308,7.82145485221602,325.585373320963,1.09073886268974e-44,1.55445942102978e-42
"P4HB",-1.69295485125578,8.13779572779242,315.239184912182,1.13127774576291e-44,1.55445942102978e-42
"CSTB",-1.62759757641618,7.42775321259028,307.968165702887,2.58364161900026e-44,3.42332514517534e-42
"SEM1",-1.70051892153373,7.96411022472411,304.119958521603,2.09780889665349e-43,2.68374862296015e-41
"PTPRF",-1.43991088091731,7.40719770334401,295.365243895672,2.42868164841205e-43,3.00346963853624e-41
"ANXA2",-1.75668597948627,8.1788853742933,289.153278180203,6.85388876721135e-42,8.20255720204971e-40
"LAMA5",-1.5588126168974,7.2412263842757,278.679735032812,1.03917213044574e-41,1.20479018873553e-39
"TNFSF10",-1.68543078196126,7.38809258189157,277.90836645822,5.20495733679295e-41,5.8516338543945e-39
"AGRN",-2.10184381923572,7.55477915912551,282.404366705415,1.07435365475899e-40,1.17230942916349e-38
"FASN",-1.2695017331251,7.24212199704402,267.795584559226,1.28793153154747e-40,1.36520742344032e-38
"PPP1CB",-1.61111280751757,8.51513872466541,266.995874820351,4.17906437692166e-40,4.30675801066093e-38
"NFE2L1",-1.34532961987755,7.81947090509667,261.851643186781,5.21235696091763e-40,5.22644441216335e-38
"CKAP4",-1.45079550400174,7.61794139259542,260.204481190017,9.11682350648794e-40,8.90089873922902e-38
"ANXA1",-1.37697131512327,7.32316938648048,257.112109988432,1.60853926710946e-39,1.53017453358362e-37
"SOX4",-1.3645715228866,7.70091799482272,255.616793970185,2.30051116440955e-39,2.13372410498986e-37
"LAMP2",-1.51584103123566,7.48637584304648,256.747319976312,4.20483698546374e-39,3.80486468684646e-37
"APP",-2.41598573989495,8.00472208816865,265.763183572325,4.51523734891339e-39,3.98845965820683e-37
"NDRG1",-2.29569985243505,7.83602720458847,264.524017870708,5.76661105104571e-39,4.97537837194874e-37
