"","logFC","logCPM","F","PValue","FDR"
"SPP1",-2.92925226074977,7.8863095901423,394.847974571198,5.07173027473487e-50,1.88161193192664e-46
"FXYD2",-2.56601362268768,7.62155196479728,374.012919645069,1.8130884484173e-48,3.3632790718141e-45
"CRYAB",-2.91969589479584,8.13202941436498,355.679963214031,5.41888257051203e-47,6.70135144553321e-44
"IGFBP3",-3.17532760904885,8.24598349282124,282.261102799266,1.27984712592546e-40,1.18705820929586e-37
"ANXA4",-2.00775842892659,7.15886559712019,259.545569203939,3.75159047437977e-39,2.78368013198979e-36
"ALDOA",-2.61795942452289,9.73136471428777,262.730439695711,6.25657566759014e-39,3.86864928779324e-36
"CA12",-1.8480917077743,6.93698899355529,242.397026465585,5.7122527247727e-38,3.02749394412953e-35
"TPI1",-1.91348035032315,8.08111661068544,248.24376049772,1.2418179350444e-37,5.75893067376843e-35
"NDRG1",-2.37756406551927,7.83602720458847,247.253393441252,2.83536831431221e-37,1.16880182734426e-34
"PDZK1IP1",-2.36657590256732,7.52608089331676,240.557421228759,1.3636274482817e-36,5.0590578331251e-34
"VEGFA",-2.68747685162843,7.79570351554132,232.87967203073,8.431865114955e-36,2.84383814331664e-33
"MIF",-2.24134218086157,8.92942407364924,227.677362015362,2.22708280496594e-35,6.88539767201969e-33
"CD24",-1.68896338212612,6.99962435287091,218.322161065,2.51555227708518e-35,7.17899919075847e-33
"NNMT",-2.22905205838045,7.57695325834766,213.615584601921,8.85320718904032e-34,2.34609990509568e-31
"EGLN3",-2.09415416979046,7.09006372317463,210.195854996867,1.27437507062268e-33,3.1519543413401e-31
"NDUFA4L2",-2.71278063022662,7.65532125249995,210.270775707596,2.07999975779551e-33,4.82299943838834e-31
"PHAX",1.17294050304973,10.4377590182622,191.305413981916,3.48633043816199e-32,7.60840348563587e-30
"PLIN2",-1.65902217714549,6.78571355531419,188.030746158387,8.64617078935584e-32,1.78207186825056e-29
"PTPRCAP",1.46804405451402,8.46883565550687,187.734480910786,9.38995790304891e-32,1.83351283264797e-29
"ANGPTL4",-2.06559600712207,7.25957152507865,194.525216111462,1.09221050946633e-31,2.02605049506004e-29
"DAB2",-1.22119264167151,7.49950756698758,180.945834403121,6.32357461547682e-31,1.11716484873424e-28
"RARRES2",-1.61967881452519,8.49109070269652,181.234190740377,1.72997630233551e-30,2.91736912802943e-28
"PRMT8",1.34023652463081,12.3573402123827,175.845744416766,2.70595127021933e-30,4.36481704891901e-28
"ATP1B1",-1.31840045304108,9.00782398501298,174.481344137731,4.00473937013084e-30,6.1906596096606e-28
"CYB5R3",-1.36230808067902,7.54380427450081,176.563845398335,4.73459721480951e-30,7.02614226677732e-28
"BMERB1",1.17426355518027,10.2118562125103,171.002219793094,1.09479889494439e-29,1.56219380778604e-27
"ZNF587",1.20181076873839,10.2562619695938,170.810745793953,1.15739566921138e-29,1.59034738250897e-27
"C4B",-1.90816440356423,7.80066508120049,176.004718043351,1.52143702904765e-29,2.01590406348814e-27
"HSPB8",-1.40718543964079,7.09564566941983,169.353715653616,1.76853571161419e-29,2.26250603106505e-27
"PGK1",-1.6550261251311,8.2979573094833,172.727487132907,2.63252913758645e-29,3.25556103348191e-27
"USP17L12",1.26644699721271,10.1093892140091,165.820188580838,4.97715192125555e-29,5.95652697672842e-27
"HPN",-1.22529959721988,7.37104606158345,163.512575921925,1.08654886706469e-28,1.25971759275312e-26
"BRI3",-1.18931921626122,7.51661009179796,158.583570907838,4.26579368968268e-28,4.79578623900689e-26
"MGST3",-1.11285457780576,7.52459660396227,157.64022224104,5.66123777978622e-28,6.1774094597079e-26
"UQCRQ",-1.23288329577452,7.76936356694317,157.094153275978,7.11666145665997e-28,7.54366114405957e-26
"USP17L11",1.19702354391818,9.97522060996856,155.965418595696,9.37280096726454e-28,9.65919210793095e-26
"FCF1",1.25749630646739,10.7246741816738,155.366922368831,1.12291427984954e-27,1.12594918330859e-25
"CTNNA1",-1.07574917798189,7.51333058168759,153.692597585011,1.86442069052287e-27,1.82026335837891e-25
"SEMA5B",-1.25173184655959,7.11841994527163,150.83398754714,4.4538547136344e-27,4.23687204809837e-25
"ZNF417",1.05017617849438,9.41948433381283,149.509409503352,6.68262020909131e-27,6.19813024393219e-25
"SERPINA1",-2.29006440450219,8.90192317959611,153.116022485693,9.86850905036878e-27,8.82775222687418e-25
"GAL3ST1",-1.47485446170262,7.13587391448391,149.645960918946,9.99368176627266e-27,8.82775222687418e-25
"LDHA",-1.50700904596128,7.61684577099821,150.697439774056,1.6455929602021e-26,1.41980229822088e-24
"S100A10",-2.08194921690247,8.29557317924928,151.199655940767,1.71689175214041e-26,1.4396828822371e-24
"KRTAP10-3",1.01306282724468,9.36952721620035,146.341757458428,1.77365413390805e-26,1.4396828822371e-24
"LYRM2",1.02447864142257,9.84510252340007,146.321059148477,1.78505155209991e-26,1.4396828822371e-24
"YBX3",-1.36992441193322,7.79038302778252,148.043803659339,2.67132243367793e-26,2.10863962317981e-24
"HSPB1",-2.3546156257635,8.46921358006972,147.904322549104,4.54405316009767e-26,3.51217442165882e-24
"SLC3A1",-1.22210354825961,7.22837259254945,142.073868125749,6.69506239506462e-26,5.06911867054893e-24
"P4HB",-1.2961232035736,8.13779572779242,142.597784085296,8.85005475859904e-26,6.56674063088049e-24
"ATP5F1B",-1.15478861429115,8.15887647510034,140.683228158256,1.03554151462621e-25,7.53305690051616e-24
"PKM",-1.99223755677627,9.21524872770796,144.64748749088,1.12539324642227e-25,8.02924796966659e-24
"TASOR2",0.963169381029164,10.3251142164823,140.204144217235,1.20389162826567e-25,8.40911724804626e-24
