"","logFC","logCPM","F","PValue","FDR"
"KRT6A",-5.28003063865804,8.98006425648282,122.383914993877,1.10670327701575e-22,4.10586915772844e-19
"PERP",-3.33959770653567,8.03574313085636,94.3274840709349,1.2211896929208e-18,2.26530688036809e-15
"KRT5",-5.29718346273461,9.5301825650134,83.3773776846357,6.01678340687823e-17,7.44075547983941e-14
"IFI27",-2.64010385352902,7.54448838318703,80.9071459219715,1.38688264215855e-16,1.28633365060205e-13
"DST",-2.61272830118188,7.50425227669578,78.1719524209055,3.56502187951106e-16,2.64524623459721e-13
"CD9",-2.72139878984882,7.64732625642862,66.4495254627675,3.25437948767888e-14,2.01229131654811e-11
"S100A11",-2.69798637961045,8.58453769071598,65.4388443950288,4.81159252686357e-14,2.55014403923769e-11
"S100A6",-2.64204219927695,9.43439860574751,64.0490422568895,8.00048111122281e-14,3.71022311532958e-11
"LAMA5",-1.96314187243139,7.2412263842757,57.5043966907655,7.92691981529295e-13,3.26765250163743e-10
"JUP",-2.03571524775111,7.59533498020136,55.1663002264411,2.59528066893779e-12,9.62849128175918e-10
"SPINT2",-1.92870822503937,7.60051388923703,53.4602372362711,5.04135132116979e-12,1.7003103092309e-09
"TRBC1",2.06834114150048,8.7085743685538,52.2024837841936,9.1605657291476e-12,2.83214157126147e-09
"TAGLN2",-1.93413207735673,8.77312780118937,51.7293960161263,1.02760483756485e-11,2.93262611335816e-09
"ITGB4",-2.12886793728645,7.60927141995187,51.5640262731904,1.16807629953541e-11,3.09540219376882e-09
"S100A9",-3.9299043005658,8.39901160998309,50.9534012210373,1.5442821520644e-11,3.62338426465218e-09
"GSTP1",-2.27238398340692,8.81961555655808,50.8860931657509,1.56264550497129e-11,3.62338426465218e-09
"ATP2A2",-1.79126223402682,7.46220222901459,49.1171492526868,2.7998113232221e-11,6.11017647597295e-09
"HSP90AB1",-1.60346765249321,8.86004157457621,48.5420550546417,3.2662690173471e-11,6.73214336353208e-09
"ID1",-2.78674448988966,7.70062709623057,48.4137116877941,4.37794512859778e-11,8.54851390899883e-09
"CLCA2",-2.16417434796786,7.86407329493402,47.691170821682,5.86332572509464e-11,1.08764692200506e-08
"JAK3",1.34786490436351,8.39637393218785,46.8843504823668,6.59080967591568e-11,1.16437637607844e-08
"ARHGAP9",1.12762577727083,7.54857891328886,46.0992571229529,9.20524101021412e-11,1.55233837035884e-08
"PTPRCAP",1.30837451069398,8.46883565550687,45.8138796767582,1.03965636297847e-10,1.67701091593484e-08
"CSTB",-1.58957196257342,7.42775321259028,44.2549032957194,2.08431433362128e-10,3.22200257405623e-08
"S100A10",-2.52933662339461,8.29557317924928,44.4038383470604,2.3375578267816e-10,3.46893581494389e-08
"ANXA2",-1.65163394434859,8.1788853742933,44.0528543360684,2.48081897580135e-10,3.53993784623962e-08
"H3-3B",-1.32256361406203,9.20992836380402,43.0397589009969,3.41874561275246e-10,4.42523431771052e-08
"AGRN",-2.1151081481999,7.55477915912551,43.4752874419443,3.43213507561545e-10,4.42523431771052e-08
"HSPB1",-2.93289201201753,8.46921358006972,43.4775465602303,3.45907803810256e-10,4.42523431771052e-08
"TP63",-1.96109048433792,7.35740169579938,43.1198827819918,3.9604186703945e-10,4.8977177557212e-08
"SEM1",-1.62475049650628,7.96411022472411,42.5306899091874,4.67385739181719e-10,5.59355191085219e-08
"TACSTD2",-2.14319300485145,7.22445651059792,42.4331817494453,5.25988452422823e-10,6.09817862027711e-08
"SLC2A1",-1.59676132794054,8.15081238477016,41.6653525313459,6.92891190012279e-10,7.78977671195623e-08
"SLPI",-1.75588095481597,7.80279770485669,41.3593780577782,8.1934655739414e-10,8.70528167810241e-08
"USP17L11",1.04748917715651,9.97522060996856,41.0173191847984,8.21252988500227e-10,8.70528167810241e-08
"SEPTIN6",1.26908577435284,7.77680836356793,40.8090620269073,8.99189602705309e-10,9.26664840565749e-08
"SPOCK2",1.20157080268924,7.76177880255095,39.9886230397282,1.28618285552323e-09,1.28965902540302e-07
"RIPOR2",1.16959212198494,7.94705293497956,39.3147856669499,1.72734517548921e-09,1.68643436870131e-07
"ITGA4",1.12997427347528,7.98895401367807,39.1313873702911,1.87197890766424e-09,1.77154429214487e-07
"PTPRF",-1.33592470797336,7.40719770334401,39.0855249723313,1.91002080015619e-09,1.77154429214487e-07
"APP",-2.41622771578004,8.00472208816865,39.294360066677,2.06068375788762e-09,1.864667497991e-07
"ALDOA",-2.00741858751363,9.73136471428777,39.0389786896743,2.2564158839157e-09,1.99316736412554e-07
"APLP2",-1.40299513038532,7.68743823354921,38.0837661221319,2.99046096331297e-09,2.58014190090491e-07
"PDIA3",-1.22307480518626,8.50546559922984,37.9582705891019,3.13564359939985e-09,2.64391767131214e-07
"EIF4G1",-1.21454974344937,8.18458837733136,37.6799254753405,3.54524816243429e-09,2.92286015169582e-07
"SGCA",0.994663923222813,7.51541103133021,36.0831008721622,7.19084146513134e-09,5.79956996426898e-07
"PPP1CB",-1.39786815393701,8.51513872466541,35.8114534335351,8.48291963753367e-09,6.69609188409573e-07
"SLC1A5",-1.41862615282619,7.14092565785368,35.6213441636465,8.83067103767333e-09,6.71394978356731e-07
"ENO1",-1.80319249491589,8.17345087490621,35.9066079659499,8.86748084622098e-09,6.71394978356731e-07
"ARHGAP4",1.29376469555884,7.41800450250731,35.1534424364859,1.08787825057663e-08,8.07205661927856e-07
"LMNA",-1.68296509802623,7.8133534671182,35.2447988290639,1.15660287237555e-08,8.41371893433977e-07
"TPM4",-1.26841123061248,8.17324446153259,34.7993175985649,1.27427852321864e-08,9.09148715604068e-07
"AP2M1",-1.12939844073989,7.99846238492158,34.7497480958671,1.30282838458451e-08,9.11979869209156e-07
"ITGAL",1.23258516751817,7.60304681455674,34.533698232178,1.43500510620224e-08,9.77401512101869e-07
"NDRG1",-2.18990932101641,7.83602720458847,34.8118501650164,1.44897798290035e-08,9.77401512101869e-07
"SAT1",-1.84371432264852,8.2509373028774,34.7184464888967,1.50308311768888e-08,9.95792565468886e-07
"P4HB",-1.35756568058331,8.13779572779242,34.2851739026015,1.67401137640772e-08,1.0640366753686e-06
"YBX3",-1.60048251824159,7.79038302778252,34.3759993390346,1.67919533882856e-08,1.0640366753686e-06
"FABP5",-2.24648738635945,8.58302468296546,34.4621973573974,1.69213379640828e-08,1.0640366753686e-06
"ATP1B3",-1.38066118738929,7.3908212837988,33.707492293492,2.12426236064134e-08,1.3135022263299e-06
"PPDPF",-1.42839918550626,7.68554480203218,33.6106988080164,2.25778202015386e-08,1.37317562209358e-06
"IKZF1",1.15241736892584,7.52044643095211,33.0144970764159,2.83857016450016e-08,1.67090284219665e-06
"PLP2",-1.10362376718015,8.49254983187747,33.0010373847002,2.85583684470841e-08,1.67090284219665e-06
"ADAM9",-1.16164654852405,7.53618643351929,32.980475191452,2.88241999732037e-08,1.67090284219665e-06
"CDK2AP1",-1.14820248723711,7.75916779901573,32.9004418814664,2.98829024987364e-08,1.70562412723557e-06
"TUBA1C",-1.68287039457875,9.38288663644176,33.023027962578,3.10202691373407e-08,1.722230605463e-06
"TMC8",1.23096556485431,7.66641406560933,32.8117376337016,3.11022777805987e-08,1.722230605463e-06
"CDH1",-1.32470895991553,7.37236678937288,32.6604533621891,3.36117975973172e-08,1.83382013361834e-06
"DUX4",0.752099085459807,10.9541896853712,32.5392382619205,3.51718363157528e-08,1.89112337291946e-06
"FOSL2",-1.37605343839917,8.36560434409583,32.3662329886993,4.01589590830929e-08,2.12842483140392e-06
"PKM",-1.93187738022916,9.21524872770796,32.1843049025984,4.62468153326323e-08,2.4165589420291e-06
"CYBA",1.14428050335172,8.76534635528491,31.7650196392655,4.99214006182743e-08,2.57233883741386e-06
"NDUFS6",-1.35528030725297,8.11764951954283,31.7231133184095,5.38484303310535e-08,2.73668050038642e-06
"TRAC",1.6221413800456,7.66539645331734,31.7997623133417,5.48164851869675e-08,2.74823189248175e-06
"HCST",0.848071263284495,7.668646195921,31.4656112614806,5.71807816342797e-08,2.82854266484237e-06
"TXN",-1.61203127225179,7.82145485221602,31.6166726008908,5.89467497939671e-08,2.87753212810024e-06
"EVL",1.07125989101582,9.24646037014418,31.3527399619752,6.01865468239254e-08,2.89989725606186e-06
"FYN",1.11578554655491,7.89299570740881,31.300238076644,6.16385834217207e-08,2.93178390377672e-06
"LTB",1.49377124118001,9.14978357069502,31.1356983802527,7.19551163122351e-08,3.34615921427907e-06
"ATP2C1",-1.10793081142634,7.52249674417817,30.953648980253,7.21543765882279e-08,3.34615921427907e-06
"CTNND1",-1.2654854242383,7.28354166627483,30.7872989841498,7.78280906907666e-08,3.56471872176227e-06
"PDXK",-1.11395503749462,7.56485180969162,30.6798378346086,8.17308922657691e-08,3.66987004030814e-06
"ELOA3P",1.06628347039718,8.50585468665368,30.6698851754691,8.21022138397778e-08,3.66987004030814e-06
"RAP2B",-1.27396978473124,7.53626703780295,30.4066373602047,9.27911128690355e-08,4.09827415171573e-06
"FSCN1",-1.6779480053719,7.85199377719943,30.5475312031856,9.62225307262467e-08,4.19983045875736e-06
"MIF",-1.68865362184116,8.92942407364924,30.4262796886195,1.00934034764602e-07,4.35424731368226e-06
"USP17L3",0.951830372993386,9.40332762049896,30.1043701729165,1.06258849843274e-07,4.46247112929678e-06
"LAMP2",-1.34474819820686,7.48637584304648,30.1685032152342,1.06371889592575e-07,4.46247112929678e-06
"CD6",1.07282684422637,7.70915754098918,30.0881031456065,1.0705119420685e-07,4.46247112929678e-06
"FASN",-1.06792508355739,7.24212199704402,29.9362835392247,1.14740163084306e-07,4.72984450047529e-06
"GIMAP7",1.21070286600343,7.41526689665938,29.9115083920822,1.16046859939671e-07,4.73114121292505e-06
"CTTN",-1.23944001011492,8.13730344466687,29.815707232424,1.26434073007444e-07,5.0985914223654e-06
"GAGE10",0.85105501163081,8.83466155824409,29.4336287044889,1.44413396829522e-07,5.76100755094116e-06
"CORO1A",1.32560663298242,8.8077734820049,29.357952733268,1.56583428962216e-07,6.18004810053003e-06
"NFE2L1",-1.09798099934505,7.81947090509667,29.1392285587584,1.65281783127539e-07,6.45468858319127e-06
"KRTAP10-3",0.781880712507825,9.36952721620035,28.7080322370979,2.01479087644943e-07,7.78632724127852e-06
"LSP1",1.03019910702206,8.32615410921227,28.4914460515175,2.22585751082975e-07,8.51333130430759e-06
"MYH9",-1.18764312547229,9.80110140797843,28.4389351996064,2.28031218803138e-07,8.63261042611879e-06
"ATP1A1",-1.53795814156136,7.36358378911462,28.3022996108126,2.56084119561683e-07,9.59668771286709e-06
"ITGAV",-1.97127589760186,7.43878147090535,28.2487034132104,2.73044089168603e-07,1.01299357081552e-05
"SOX4",-1.11447623575775,7.70091799482272,27.9214676573016,2.8945463312296e-07,1.06324424642196e-05
"ANXA1",-1.14512815683957,7.32316938648048,27.7387970968304,3.14927215392617e-07,1.14547055794766e-05
"CSTA",-2.28295457503911,7.80120688996758,27.7990568535199,3.35544941516276e-07,1.20861333303435e-05
"TNFSF10",-1.33274324350132,7.38809258189157,27.5871956345021,3.51121191803306e-07,1.25255732845218e-05
"IKZF3",0.95621552367448,8.03934808260051,27.3730726566021,3.72945871433214e-07,1.3137357538781e-05
"CKAP4",-1.17306934508806,7.61794139259542,27.3695466786723,3.75353072536601e-07,1.3137357538781e-05
"GRN",-1.79303468894305,7.7346264875471,27.3899304438944,4.03917756191018e-07,1.40049988361559e-05
"PSMD2",-1.22409280797977,7.6953922322366,27.213773637988,4.13035080267228e-07,1.41885198869576e-05
"DDR1",-1.37851317665341,7.10035916144544,27.1106279275542,4.21139104947168e-07,1.43341842142568e-05
"CTNNA1",-1.10103915938351,7.51333058168759,26.9086269273145,4.62483980340278e-07,1.55983233369312e-05
"RAB7A",-0.952811444325026,7.63614011150504,26.5854584081447,5.37340461829446e-07,1.78254690738548e-05
"TMSB10",-1.41763353924641,10.4894951254309,26.6607506980435,5.38127368267313e-07,1.78254690738548e-05
"ERO1A",-1.29577280319381,7.43433133894593,26.4911936414092,5.86253234209736e-07,1.92477831762665e-05
"PPIA",-1.38306463092217,8.86523813574913,26.4564793133231,6.0190179625636e-07,1.95344661806567e-05
"ARHGAP45",1.04617996200146,8.00511192666734,26.32852126026,6.05515798052701e-07,1.95344661806567e-05
"COX8A",-1.24500149033178,8.19364252006104,26.3645821238931,6.18362117438584e-07,1.97769263422168e-05
"IGLL5",3.0219946077066,10.1157873158088,26.297311233891,6.67381880227594e-07,2.11622801337126e-05
"PDLIM1",-1.10427566358817,7.72117636590661,25.954343347897,7.20764591789736e-07,2.26613274198298e-05
"YWHAE",-1.01809445829375,8.56034904398539,25.8877253208924,7.43498978211862e-07,2.31796740266051e-05
"PHAX",0.735959715113764,10.4377590182622,25.790560757088,7.77964436904084e-07,2.40520671742846e-05
"TNC",-2.05485516097806,7.91820124505304,25.878974622191,8.08889349121657e-07,2.4801483349102e-05
"NFATC2",0.96411141797739,7.75862633463034,25.6071813290668,8.47476136962259e-07,2.56956402840466e-05
"GPAT2",0.725342138034356,8.55262397612871,25.5960208122991,8.51903977072164e-07,2.56956402840466e-05
"UBL5",-1.02542300819924,7.84264249885177,25.5637029305799,8.64858201537511e-07,2.58759994169691e-05
"PTPRC",1.16701595355063,7.69128797302488,25.5671079117109,8.80924121509444e-07,2.61458279264003e-05
"TMEM88B",0.905403357928148,7.78381782785595,25.1276326226379,1.06044850753792e-06,3.12243171663943e-05
"SPDYE16",0.751208203530491,9.79616398860546,24.9073912093545,1.17567173392039e-06,3.43444262428711e-05
"TUBB4B",-0.986407282956785,8.51008056419014,24.8808337459983,1.19039547169777e-06,3.45028687499902e-05
"CALML3",-1.22089601009686,8.14048218325572,24.9596940035434,1.21214607720637e-06,3.48609453212065e-05
"TASOR2",0.690202897363969,10.3251142164823,24.8144540984202,1.22801781733687e-06,3.50457392486137e-05
"PLD3",-1.04620086323399,7.54388392920641,24.6538367986485,1.32410420693485e-06,3.7499439753651e-05
"NICN1",0.681239088836621,9.65994558648682,24.3881219986691,1.50005958948177e-06,4.21607657346771e-05
"CD79B",0.957868117138485,8.18651556600298,24.1836651380319,1.65140843497017e-06,4.60656037123259e-05
"AHNAK",-1.04040904869056,8.00260045625193,24.1587489582682,1.67087889955896e-06,4.62609008758489e-05
"CALR",-1.08319864842729,8.7095054578638,24.040479886034,1.77766724453568e-06,4.86603439650223e-05
"SDF4",-1.07867587884247,7.7092440316565,24.0094461144493,1.79251283357583e-06,4.86603439650223e-05
"ANKRD44",0.977884183096794,7.47187297626774,23.9933299214779,1.80616678774363e-06,4.86603439650223e-05
"CD48",0.88746423361347,7.55182831237326,23.9888189203812,1.8100074035507e-06,4.86603439650223e-05
"P2RY8",0.903726717736583,7.8572629272842,23.9015004854997,1.88599846517611e-06,4.96979008481301e-05
"PKN3",1.92386188339185,7.93787981327586,24.0501698628862,1.88695944726666e-06,4.96979008481301e-05
"MARCKS",-1.06924431495166,8.54645042026846,23.8983630693478,1.88878814544106e-06,4.96979008481301e-05
"CYCS",-1.02844640526928,7.48699369600161,23.8604681358786,1.92281445235157e-06,5.02369128043967e-05
"CAPNS1",-1.06649531439261,7.66160666329251,23.7655242305371,2.01081388107938e-06,5.21686678238078e-05
"CEBPD",-1.64961343442427,7.97890247597779,23.8359236689891,2.07813492622825e-06,5.35408373354639e-05
"LYRM2",0.724750422185424,9.84510252340007,23.6037095770981,2.17028744041502e-06,5.55294234754464e-05
"USP17L12",0.829985117686919,10.1093892140091,23.5802158739528,2.19448187379732e-06,5.57638887108771e-05
"KRTAP4-7",0.835284488925487,8.01871321646408,23.4233085422854,2.36321824902464e-06,5.96431272372886e-05
"SERINC2",-1.73437131008555,7.2442487921812,23.5316073604831,2.39506298784518e-06,5.98034534978739e-05
"NME2",-1.23296385443337,7.7114372387046,23.4399888067469,2.40180985746178e-06,5.98034534978739e-05
"ZNF705A",0.769991672439516,8.67410463790124,23.3615972751636,2.43312491365578e-06,6.01792895310863e-05
"ITGA3",-2.0773389078951,7.37618948183859,23.4553867039723,2.48966663970109e-06,6.11699551873579e-05
"ZNF385A",-0.965393696059783,7.80034900000749,23.2561441152098,2.55745960419087e-06,6.24222048128166e-05
"CCL3",0.666195053219473,9.3868377633243,23.1166204303226,2.73190266500245e-06,6.60101122722074e-05
"FCF1",0.831111019180663,10.7246741816738,23.1103320843037,2.74004239620483e-06,6.60101122722074e-05
"IL2RG",0.963849021172825,7.38460143051705,23.05055476205,2.81865477267584e-06,6.74658658492089e-05
"SEPTIN1",0.998779448972962,7.14558983625422,23.0226053216512,2.85618965445141e-06,6.79260488334277e-05
"PRMT8",0.803917372496561,12.3573402123827,22.9193607936289,2.99928064962689e-06,7.08747210835398e-05
"VEGFA",-2.08430680862297,7.79570351554132,22.4667204808636,3.95634102839752e-06,9.27263581375506e-05
"CD151",-1.24763395895149,8.06108379221991,22.4257060434919,3.9739867773236e-06,9.27263581375506e-05
"GANAB",-1.02813826028412,7.5045743264047,22.1273315465095,4.36800767238486e-06,0.000101283177903424
"PPP1CA",-0.928151776506188,7.85826294378622,22.0858978811809,4.45496375279151e-06,0.000102657860390413
"SUB1",-1.13795392329464,7.339802713338,21.9891612845056,4.66486480729444e-06,0.000106585650282096
"AKR1C1",-1.49714403940547,7.62652827208914,22.0992210697924,4.68287358382257e-06,0.000106585650282096
"SGK1",-1.27401428125505,8.25429698781923,21.938416308628,5.03406709872056e-06,0.000113880420343008
"ESRP1",-0.978618081152674,7.52445887828614,21.7856147024687,5.14990528191441e-06,0.000115794839975166
"PSMA7",-1.13328676732711,7.30670281590961,21.6949166637185,5.36691363404808e-06,0.000119947286640472
"ZNF587",0.732655209563893,10.2562619695938,21.6514730614837,5.47926868080877e-06,0.000121725070693416
"NDUFA13",-1.26607966665874,7.40356362232391,21.6117907072647,5.74298889540369e-06,0.000126824338106831
"DDX47",-0.763697700655129,7.81906577502592,21.5027173723233,5.88233173255097e-06,0.000129008403179173
"SELENOW",-0.833868845101853,7.89491128323292,21.4923785669079,5.91143626427478e-06,0.000129008403179173
"ZNF98",0.792909049020032,7.26130400890209,21.4503317496795,6.03131057287097e-06,0.000130323391637537
"KRT8",-1.46538027875712,8.22416359552559,21.5635831234247,6.04194699775105e-06,0.000130323391637537
"GALNTL5",0.764654342999243,7.77889605174541,21.4080818820883,6.15424217888424e-06,0.000131978257130986
"NAMPT",-1.33125179175651,7.48059498788443,21.4673190404803,6.29167170981158e-06,0.000134150011743684
"TLR9",0.834965967371096,7.52628297339246,21.2871176807514,6.52041177049511e-06,0.000138232729534496
"RGS10",0.828224108315852,7.81591398495967,21.1310465744113,7.02564126773355e-06,0.00014809732445052
"GCLC",-1.08893985907966,7.33231188255362,21.0773485348115,7.20848588945731e-06,0.000151093122315744
"PIM2",1.4596261058339,7.85335315074514,21.1646359295024,7.30903962154149e-06,0.000152340095482691
"PLEC",-0.951060172568451,8.5310085760947,20.9238143038661,7.75829857375532e-06,0.000160800489992359
"ZNF776",0.700645196853228,9.05765710249419,20.907802435283,7.81802883228618e-06,0.000161138260932121
"CHMP1B",-0.964978009432517,7.20060912218569,20.6503821863529,8.84480403285953e-06,0.000181294049513309
"FCMR",1.12376786485856,8.13853390978186,20.5499423777758,9.52159270782084e-06,0.000194094005197886
"NBPF19",0.63953526466058,9.13984551553098,20.478604427624,9.60493717578667e-06,0.000194723043290539
"BSG",-0.987588962115604,7.74240220978354,20.3794164637273,1.0073636315994e-05,0.000203112534990145
"SEMA4B",-1.2729427160922,7.68281105806013,20.4608353836862,1.01282530925005e-05,0.000203112534990145
"PDPN",-1.65126542915308,7.75103232458991,20.4530320920627,1.02471885495248e-05,0.000203800122914488
"SCN9A",2.12957211671733,8.5904635685206,20.4484354020048,1.02724051172532e-05,0.000203800122914488
"TFRC",-0.879791494202826,7.82678653331162,20.3017410191967,1.04567974171251e-05,0.000204982150848965
"HMGA1",-1.38158404161091,8.22852863989868,20.3963770981214,1.04967009220321e-05,0.000204982150848965
"MYL12B",-0.908488133366907,8.14536463454899,20.2936123673239,1.04977381836397e-05,0.000204982150848965
"ELOA2",0.785812256484933,8.56602643563359,20.1914194458664,1.10265034990011e-05,0.000214179727650755
"CCDC184",0.741769913671776,10.0637931734466,20.1648812174508,1.11681748888999e-05,0.000215801712696972
"EIF4A3",-1.0241830578896,7.36657840830647,20.0625299297318,1.17320444698983e-05,0.000225522720120843
"LAMP1",-1.35343782828195,7.89837972118076,20.1170367605674,1.19814015671212e-05,0.000229089182129026
"CD5",0.909993814914415,7.57176891589835,20.0085285363233,1.20410756105553e-05,0.000229089182129026
"PGK1",-1.20955296215113,8.2979573094833,19.9819324511515,1.26815010705676e-05,0.000240042698835743
"LCK",0.904438059405181,7.6447799614729,19.8724706957844,1.28567397438466e-05,0.000242124388069395
"BANF1",-0.998981991333797,7.21956830475382,19.8044474820187,1.3285293148767e-05,0.000248931502939018
"TRIO",-0.996235845998106,7.62026215958451,19.6998775029597,1.39724850216415e-05,0.000258977351909088
"C4orf46",0.687155355373919,10.0430162715563,19.6967233251045,1.39937631646916e-05,0.000258977351909088
"PDCD6",-0.930836698111696,7.33210332362834,19.6912375564101,1.40308484457484e-05,0.000258977351909088
"FTH1",-0.975266932400409,11.0207706464987,19.6330276702907,1.44305470016732e-05,0.000265036284040632
"AKNA",0.951789262425826,7.79331763201579,19.619343364534,1.45261723481965e-05,0.00026547832222566
"PUF60",-0.724678535388385,7.87961706304183,19.5882066541437,1.47461522930642e-05,0.000268177573565041
"TYMP",-1.17470999990925,7.68310032155316,19.461528244741,1.62706326392382e-05,0.000294332582286514
"MMP14",-1.69642803132906,7.32756414175481,19.4744017722272,1.63429951350463e-05,0.000294332582286514
"SNRPD3",-0.898614788911688,8.03662864366575,19.3406673226957,1.66194608965756e-05,0.000297865700127032
"SLC38A2",-1.01427093847372,7.22238838682355,19.2893485182109,1.70370479884335e-05,0.000303881961716771
"STX1B",0.66297781384547,9.03466530808574,19.1902574089372,1.78736792091705e-05,0.000316075786159782
"FAM72B",0.705927776270909,8.04078269489422,19.1882464127887,1.78910822354593e-05,0.000316075786159782
"BCAP31",-1.06302198872089,7.25136065465137,19.1735586855421,1.80187102956913e-05,0.000316821872971633
"GLUL",-1.42216173019099,7.37337853767959,19.2438608721035,1.81650325556205e-05,0.000317888069723359
"PRDX5",-0.938271403959848,7.55245250736886,19.0522198850837,1.91089825181012e-05,0.000332837207240166
"ROGDI",0.649136540880363,8.01106070354725,18.9560909061651,2.00200023462244e-05,0.000347075741609778
"TEPP",0.811579508324626,7.24945600470074,18.8963281458272,2.06084302333057e-05,0.000355615237979369
"EIF4A1",-1.06612730507099,8.1305119235381,18.8361850135789,2.16518672363782e-05,0.000371890867810014
"NDUFB2",-1.22906291861411,7.62349983786539,18.8260118984492,2.20271410226058e-05,0.000376593056192937
"HNRNPUL1",-0.932080696437424,7.67931190447507,18.7341804806359,2.229474501859e-05,0.000377713322071993
"DYNC1H1",-0.63611996855716,9.24631703127077,18.7340381494443,2.22962850495327e-05,0.000377713322071993
"ERP29",-0.963001723475445,7.27346978982295,18.703284148226,2.2631584739414e-05,0.000380764146073572
"COX6B1",-0.941044877027242,7.90277502095399,18.6976832568376,2.26931967939195e-05,0.000380764146073572
"EEF2KMT",0.659311277742909,8.14656409602327,18.687761226222,2.28027604947902e-05,0.000380764146073572
"UQCRHL",-0.982939886379008,7.97188519173264,18.7085114115742,2.28869015025355e-05,0.000380764146073572
"GPNMB",-1.56369966496192,7.87178025060289,18.7544646188804,2.30896736710166e-05,0.000381046762681968
