"","logFC","logCPM","F","PValue","FDR"
"CRYAB",-3.07406856235573,8.13202941436498,528.540065746007,3.86144932623666e-59,1.4325977000338e-55
"PDZK1IP1",-2.71884065070143,7.52608089331676,413.76348061472,2.06393024057084e-51,3.82859059625891e-48
"FXYD2",-2.34080724034852,7.62155196479728,400.615482863632,1.68567648948485e-50,2.08461992532959e-47
"IGFBP3",-3.09283305413272,8.24598349282124,371.733158723467,3.1831628808973e-48,2.95238357203224e-45
"SPP1",-2.40654011409475,7.8863095901423,365.475955243593,9.37874318262644e-48,6.95902744150882e-45
"ALDOA",-2.53271029749068,9.73136471428777,353.633575627879,5.27722957614634e-47,3.26308695458382e-44
"ANXA4",-2.00532787935353,7.15886559712019,328.12244145115,1.40405434695207e-45,7.44148803884597e-43
"CD24",-1.82294461354955,6.99962435287091,305.355006238143,2.7119566372736e-44,1.25766989053563e-41
"TPI1",-1.86544388035031,8.08111661068544,305.846445476821,4.172272149814e-43,1.71990329731221e-40
"MIF",-2.19237703366691,8.92942407364924,298.086290298571,3.18234748961928e-42,1.18065091864875e-39
"CA12",-1.78080825050551,6.93698899355529,281.054905643379,6.04274357970116e-42,2.03805260733557e-39
"NDRG1",-2.2792061268255,7.83602720458847,295.135807609584,8.12225185727648e-42,2.51112953254131e-39
"VEGFA",-2.60989871150856,7.79570351554132,283.963270765895,8.89603873817902e-41,2.53879259374186e-38
"ATP1B1",-1.3377902150101,9.00782398501298,241.887713976037,6.47633682500432e-38,1.71622925862614e-35
"RARRES2",-1.67900312329611,8.49109070269652,246.524553973689,1.0572727726003e-37,2.61498799089808e-35
"NDUFA4L2",-2.57288945504544,7.65532125249995,233.367358239634,7.53429699196756e-36,1.74701511501248e-33
"NNMT",-2.00650296458268,7.57695325834766,230.690063791128,1.39065663023451e-35,3.03490358715884e-33
"PGK1",-1.63592540310127,8.2979573094833,219.635942778851,1.19430383318969e-34,2.46159290062986e-32
"ANGPTL4",-2.00095991808144,7.25957152507865,220.431525268314,1.58781836169064e-34,3.10042427466962e-32
"C4B",-1.90934932171978,7.80066508120049,219.498789957589,1.99635010922312e-34,3.70322945260889e-32
"HSPB8",-1.42795232087516,7.09564566941983,209.911769049604,2.27960723376672e-34,4.02730611298787e-32
"GAL3ST1",-1.58795103082858,7.13587391448391,211.495292715839,3.06938498176044e-34,5.17609921924146e-32
"CNDP2",-1.36146744445266,7.73806257000108,206.307932388393,1.49004345386478e-33,2.40350487558189e-31
"UQCRQ",-1.26185084572621,7.76936356694317,202.744029735763,1.69117094981746e-33,2.61426842659283e-31
"EGLN3",-1.8373206226274,7.09006372317463,202.183681680687,9.88408292080633e-33,1.46679790544766e-30
"PKM",-2.00146304387327,9.21524872770796,202.471807357588,1.35756556246893e-32,1.93714162952298e-30
"CXCL14",-1.79806696091531,7.30989812385315,194.987082382076,9.04819541276074e-32,1.21146659812078e-29
"PLIN2",-1.49924859138626,6.78571355531419,187.830083878633,9.14314413676063e-32,1.21146659812078e-29
"HPN",-1.18808378287808,7.37104606158345,181.039451831155,6.91032333254746e-31,8.84044812543141e-29
"DAB2",-1.0920370788393,7.49950756698758,180.221880238311,7.76431022247156e-31,9.60186364178983e-29
"HINT1",-1.24134088035347,8.33819550690461,169.711630684832,2.40532007473517e-29,2.87862499266692e-27
"TNFRSF12A",-1.27139697525089,7.08707071471043,166.206331482578,4.44302163078182e-29,5.15112820318768e-27
"ENO1",-1.55919484301763,8.17345087490621,168.671777562557,1.03437443118811e-28,1.1628876180933e-26
"PFKP",-1.26396286008428,7.02382767494244,159.840950920711,2.92845150097831e-28,3.19545737312634e-26
"RBP5",-1.08543510733927,7.41048710559401,159.586720773078,3.15955153655085e-28,3.3491246287439e-26
"FCF1",1.15823543951705,10.7246741816738,158.470882326725,4.41231556962818e-28,4.5471363231446e-26
"HSPB1",-2.10204174047458,8.46921358006972,163.408094702141,5.21861403172315e-28,5.23271839397105e-26
"SLC3A1",-1.17094300022942,7.22837259254945,155.547488838211,1.06330314822743e-27,1.03811965261152e-25
"TMBIM6",-0.985901914482583,8.20666867264084,153.75973785218,1.8268186141569e-27,1.73781975859541e-25
"CES2",-1.21002612283697,7.23942337041773,153.574795382708,2.2020826557486e-27,2.04243166320682e-25
"LDHA",-1.37815036780332,7.61684577099821,157.165697056307,2.5004898734192e-27,2.24972340696089e-25
"S100A10",-1.80070468064437,8.29557317924928,157.800921656433,2.54685668712553e-27,2.24972340696089e-25
"CTNNA1",-0.977979582646577,7.51333058168759,152.20538696449,2.93052577791897e-27,2.52843038048357e-25
"SEMA5B",-1.1495351588485,7.11841994527163,152.015170195332,3.10542550746213e-27,2.61843832561011e-25
"ATP5F1B",-1.06696389298738,8.15887647510034,151.632733456728,3.48959957501878e-27,2.87698098295993e-25
"HILPDA",-1.90220117420637,7.12669497338039,156.485101843245,3.6106895519986e-27,2.912099616938e-25
"USP17L11",1.07263931979188,9.97522060996856,149.118535213068,7.53466177429352e-27,5.94757344311255e-25
"YBX3",-1.26172904272811,7.79038302778252,151.806312295197,8.72382680270921e-27,6.74279113292733e-25
"S100A1",-1.35561946257103,6.82398904034068,144.367611396308,3.272562995781e-26,2.47779769680561e-24
"ARRDC3",-1.14778030382316,8.30040858329627,145.62047050668,3.70418269417599e-26,2.74850355907859e-24
"SCD",-1.14211919466948,7.3755973588816,144.032850221635,5.28323918138436e-26,3.84329752214431e-24
"PTPRCAP",1.1953517207882,8.46883565550687,142.664192565678,5.56627770387793e-26,3.97132505411291e-24
"SERPINA1",-1.92602242575705,8.90192317959611,146.571938148212,6.70726222432044e-26,4.69508355702431e-24
"SLC25A3",-0.972633718156152,8.13548116683353,141.042184171961,9.25139439384042e-26,6.35605059280518e-24
"LTB",1.604327716031,9.14978357069502,144.130008892709,9.4802053232721e-26,6.39482940897082e-24
"USP17L12",1.05930572274948,10.1093892140091,138.634590160411,1.97475328588236e-25,1.30827405189706e-23
"ZNF587",0.98000523657075,10.2562619695938,137.508849543659,2.81990420985201e-25,1.83541133658789e-23
"BHMT2",-1.01808536742697,7.08643995326364,137.079756561863,3.23098315027094e-25,2.06671508405262e-23
"PRMT8",1.06081125731815,12.3573402123827,136.926786493054,3.39172476801232e-25,2.13276252361453e-23
"P4HB",-1.11993408952849,8.13779572779242,136.845156115887,5.28218765108959e-25,3.2661526975904e-23
"SAA2",-3.0780210106091,8.28852920677095,138.620626562834,7.27423332554194e-25,4.42416485864928e-23
"MGST3",-0.937283865074155,7.52459660396227,134.210005345306,8.06113460702714e-25,4.82367893420495e-23
"TRBC1",1.73051510574928,8.7085743685538,137.577328430701,9.42524890899392e-25,5.55042435751864e-23
"PHAX",0.882990439589804,10.4377590182622,132.367376978172,1.45550131369075e-24,8.43735917780107e-23
"LSP1",1.07171751480063,8.32615410921227,132.171710225699,1.55002888189929e-24,8.8470879259175e-23
"CYB5A",-1.5419750143049,7.95704573386198,133.911643240366,2.99303712574994e-24,1.68244965705035e-22
"TMEM176A",-1.29999097986647,7.2206863069965,130.160610384798,6.51791613283706e-24,3.6091744556456e-22
"IKZF1",1.00195568915357,7.52044643095211,127.111931554957,7.98412263815236e-24,4.35604338052136e-22
"RPLP0",-1.3189992157401,9.88752321063529,127.997439462833,1.06229052123431e-23,5.71173599098446e-22
"CYB5R3",-1.05117111849266,7.54380427450081,127.174299068082,1.26162085985614e-23,6.68659055723755e-22
"BMERB1",0.910602549244051,10.2118562125103,125.188991663926,1.49779879955202e-23,7.8265261216028e-22
"BSG",-0.942276854664274,7.74240220978354,123.723278603142,2.4250478780816e-23,1.2495732816226e-21
"BNIP3L",-0.883622584773981,7.89264603027254,122.167798150638,4.05289849265797e-23,2.05976074078919e-21
"COX6A1",-0.962770789870502,8.10106384973148,120.898125400567,6.17403166567341e-23,3.0953591188714e-21
"KRTAP10-3",0.838772180688053,9.36952721620035,120.249222531016,7.66045382555437e-23,3.78937115904089e-21
"BRI3",-0.930976817892989,7.51661009179796,119.115800045624,1.11767481065753e-22,5.45601782570979e-21
"NBPF19",0.763535675013551,9.13984551553098,119.003037745794,1.16055872356537e-22,5.59178294081496e-21
"BNIP3",-1.05888006028553,6.84523456588995,118.897614031287,1.20215219219778e-22,5.71792901673558e-21
"HCFC1R1",-0.929797126199546,7.07506337417414,117.635889714913,1.83376764178224e-22,8.6117442417875e-21
"DUX4",0.748626012897683,10.9541896853712,117.332559230524,2.03016977521134e-22,9.41491233254259e-21
"JAK3",1.04030242526231,8.39637393218785,116.876117114441,2.36645870115779e-22,1.08389651620931e-20
"EVL",1.07671730382865,9.24646037014418,116.502047479693,2.68360581584376e-22,1.21416799716834e-20
"GATM",-1.01674055220636,7.15319325283216,115.216914473159,4.13832113785652e-22,1.84977968933105e-20
"USP17L3",0.956354245239961,9.40332762049896,112.658746198215,9.84891792587597e-22,4.34993875059522e-20
"TMC8",0.999902398970579,7.66641406560933,112.495995108613,1.04097924047135e-21,4.54356821429259e-20
"ARHGEF1",1.01422333075397,8.35022519005853,111.789025310503,1.32453210955204e-21,5.71396991446285e-20
"HSPA9",-1.0552633289074,7.3776457840861,112.742595500914,1.4245221948532e-21,6.07468660104065e-20
"CD151",-1.13416247980943,8.06108379221991,113.177106911219,1.72136122696878e-21,7.25710244551612e-20
"GPX3",-1.66229256716202,7.9561914798328,113.395617275991,2.00677911034506e-21,8.36533763975302e-20
"ALDH1A1",-1.34016244242227,7.35283219964341,113.162777881831,2.07138946036424e-21,8.53872766439037e-20
"OSGIN1",-0.904408422912579,7.39684330708891,110.042064313594,2.40730380416762e-21,9.81439243237568e-20
