"","gene","logFC_ETLS_inRCC_vs_LSCC","FDR_ETLS_inRCC_vs_LSCC","F_ETLS_inRCC_vs_LSCC","sig","selected"
"1","SFTPB",-3.06105985516051,1.16934460884389e-21,142.196981919807,"both","exclude"
"2","BMERB1",-0.605742515271348,2.55841947508593e-13,80.0998304083344,"both","both_TLS"
"3","CXCL13",-1.71890590650341,3.10799388024911e-13,79.7196859116901,"ETLS_inRCC_vs_LSCC","sig_TLS"
"4","SFRP2",-1.78308172444774,8.36879521184748e-12,70.0615584295832,"ETLS_inRCC_vs_LSCC","sig_TLS"
"5","COL6A3",-0.764428594761969,2.84074893195564e-10,60.0138628924566,"ETLS_inRCC_vs_LSCC","sig_TLS"
"6","ANKS3",0.46309625086732,6.26158588289271e-10,57.1821490723513,"both","exclude"
"7","CCDC184",-0.50511208739639,2.68772097517292e-09,53.2351174122006,"both","both_TLS"
"8","LTF",-1.05457903237762,1.49798279026708e-08,49.2586519506762,"ETLS_inRCC_vs_LSCC","sig_TLS"
"9","COL1A2",-0.952122333587881,1.04554989698405e-07,44.2805894236407,"both","exclude"
"10","NPIPB6",-0.508860313396103,1.07283725329883e-07,43.4232621801118,"both","both_TLS"
"11","COL3A1",-1.2975564153795,1.07283725329883e-07,43.7642471402915,"both","exclude"
"12","FBLN5",0.603033718436095,1.92257151281366e-07,41.8097012418851,"both","exclude"
"13","SLC50A1",-0.492636966323114,2.17142869117202e-07,41.3419935128713,"both","both_TLS"
"14","SLCO1B1",0.510009044759039,2.32613844853447e-07,41.0112305028959,"both","exclude"
"15","LRRTM4",0.427487344504141,2.53395659318571e-07,40.6540759584917,"both","exclude"
"16","COL6A1",-0.642070993989142,2.60656632802204e-07,40.5607792086907,"ETLS_inRCC_vs_LSCC","sig_TLS"
"17","SFTPC",-1.56502264471202,2.60656632802204e-07,40.5266309708973,"both","exclude"
"18","PRMT8",-0.563740681127,2.60656632802204e-07,40.1478210283325,"both","both_TLS"
"19","POLR2J2",0.680330116814204,2.60656632802204e-07,40.2361030631447,"both","both_TLS"
"20","NICN1",-0.427537651040415,2.60656632802204e-07,39.9257559508648,"both","both_TLS"
"21","CD99",-0.419464432004335,2.69758643987544e-07,39.7345357848241,"both","both_TLS"
"22","TASOR2",-0.463500221027134,4.58152297498294e-07,38.3613773910728,"both","both_TLS"
"23","ARRDC4",0.450874962308338,4.58152297498294e-07,38.3116433505602,"both","exclude"
"24","ZNF417",-0.479743566341513,6.30373924453172e-07,37.4865695307252,"both","both_TLS"
"25","STX1B",-0.465244743502316,6.98464283681669e-07,37.1602853147206,"both","both_TLS"
"26","COL6A2",-0.740935261146265,8.00309335579609e-07,37.0015239945014,"ETLS_inRCC_vs_LSCC","sig_TLS"
"27","UBALD1",-0.407009475771887,8.31640126614142e-07,36.5892071739424,"both","both_TLS"
"28","CD44",-0.553722514544505,8.39599476653717e-07,36.4851469465659,"both","both_TLS"
"29","PHAX",-0.47705288895728,9.69478882252489e-07,36.0542621989483,"both","both_TLS"
"30","SFTPA2",-1.15647857486435,9.69478882252489e-07,36.257737854747,"both","exclude"
"31","IDO1",0.404089101697651,9.69478882252489e-07,35.9290484947371,"ETLS_inRCC_vs_LSCC","sig_TLS"
"32","NDUFB7",-0.427603364593388,1.09562771891227e-06,35.5809258174166,"both","both_TLS"
"33","TPSAB1",-0.694320862888059,1.10490157147009e-06,35.7311297486653,"ETLS_inRCC_vs_LSCC","sig_TLS"
"34","NAT8B",-0.407928612522062,1.17784683314572e-06,35.2808917437832,"both","both_TLS"
"35","GPAT2",-0.386371178202775,1.43901491462152e-06,34.7646139864233,"both","both_TLS"
"36","FUS",-0.374097603107663,1.62826028121914e-06,34.4236094311675,"both","exclude"
"37","RSF1",-0.421129635885067,1.73515235488654e-06,34.2193810093023,"both","both_TLS"
"38","SRRM2",-0.390123870449939,1.95099411367459e-06,33.8967328520705,"both","exclude"
"39","PTPRCAP",-0.423913063852456,1.96105328931845e-06,33.8270298444282,"both","both_TLS"
"40","SEPTIN6",-0.411499100303713,2.14011020424165e-06,33.5747912453316,"both","opposite"
"41","INSL4",0.38352886665502,2.56001357746198e-06,33.1192755461063,"both","exclude"
"42","PRR5",-0.405617227215109,2.72917221218835e-06,32.9227454415049,"both","both_TLS"
"43","SIVA1",0.368841971903782,2.85980164949546e-06,32.7660578502745,"both","exclude"
"44","POSTN",-0.813973728220562,3.00452735647712e-06,32.8278905567528,"ETLS_inRCC_vs_LSCC","sig_TLS"
"45","PTK6",-0.502916327584606,3.20974924317822e-06,32.4077855824765,"both","both_TLS"
"46","RAC2",-0.466372777065973,3.56612199638003e-06,32.1248418380098,"both","both_TLS"
"47","CFL1",-0.52216818734768,4.80465632282572e-06,31.4159293374906,"both","exclude"
"48","CCL18",-0.505114312823698,4.81482773789827e-06,31.4054553026065,"both","both_TLS"
"49","NAPSA",-0.731937022537816,4.81482773789827e-06,31.519670574703,"both","exclude"
"50","ITSN1",0.386670259384747,5.07966260028827e-06,31.1558361079616,"both","exclude"
"51","TUBB4B",-0.379690919738434,5.68612333127456e-06,30.8628245879726,"both","exclude"
"52","CCDC107",-0.350124913773132,5.72596554465492e-06,30.7651973421856,"both","both_TLS"
"53","NOVA1",0.377023488719134,5.72596554465492e-06,30.7624796109183,"both","exclude"
"54","FKBP5",0.656673674246274,5.81728003043022e-06,30.8700628029957,"both","exclude"
"55","CALD1",0.50143507078468,6.84075017775178e-06,30.2886070988991,"both","exclude"
"56","KLF1",0.342857300283854,7.14715566862135e-06,30.1524738325139,"both","exclude"
"57","TLR3",0.338672173362576,7.59789177947459e-06,29.9782761994241,"both","exclude"
"58","DUSP9",0.411481720896313,7.59789177947459e-06,29.9330263917395,"both","exclude"
"59","SAA4",0.396542004786093,7.59789177947459e-06,29.9031817074514,"both","exclude"
"60","ZBTB16",0.663755766904639,7.69988653085744e-06,29.8369367631671,"both","exclude"
"61","UPK3BL1",0.435695364165333,7.99787169772586e-06,29.7172147374598,"ETLS_inRCC_vs_LSCC","sig_TLS"
"62","AEBP1",0.656328266876039,8.09583879345861e-06,29.8266530570266,"both","exclude"
"63","HELQ",0.376508963175236,8.46651345174803e-06,29.5214057260277,"both","exclude"
"64","SLC30A4",0.361064520173793,8.58565396816547e-06,29.4562053782327,"both","exclude"
"65","IGF2BP3",0.392835335533817,8.86683124869441e-06,29.3515482239352,"both","exclude"
"66","CCN2",0.843763480100783,8.93091366234495e-06,29.4859009889313,"ETLS_inRCC_vs_LSCC","sig_TLS"
"67","COL1A1",-0.828516308992399,9.63639025844912e-06,29.283947785615,"both","exclude"
"68","LRMDA",0.354955414729538,1.04793791184133e-05,28.8868775524872,"both","exclude"
"69","TSC22D3",0.581278512669472,1.17269845240667e-05,28.7440586996478,"both","both_TLS"
"70","C3orf35",0.388187133007568,1.49238098166686e-05,28.0519684863014,"both","exclude"
"71","RSRP1",-0.377485015000964,1.62733799668112e-05,27.8326413362586,"both","both_TLS"
"72","CHI3L1",-0.585360702303477,1.65249112012099e-05,27.8297972941611,"both","exclude"
"73","FHL2",0.487770956616384,1.66573401637788e-05,27.7238965742294,"both","exclude"
"74","MRAP",0.347932921639977,1.72890073395119e-05,27.6110192392876,"both","exclude"
"75","ZNF845",-0.47958015062189,1.81856070729299e-05,27.4934829588579,"both","both_TLS"
"76","MAGI1",0.371747909994576,1.81856070729299e-05,27.4432647427644,"both","exclude"
"77","TXNIP",0.580371701934845,1.91360367544777e-05,27.3639815789587,"both","both_TLS"
"78","DEPP1",0.748321877467486,1.91360367544777e-05,27.4347425697026,"both","both_TLS"
"79","PRPS1",0.346234590692864,2.24894500720105e-05,26.8987515147364,"both","exclude"
"80","MMP7",0.914786086226185,2.31549951756376e-05,26.9173182041225,"both","exclude"
"81","TMA7",-0.328807367081214,2.31549951756376e-05,26.7730165329288,"both","exclude"
"82","ROGDI",-0.373170181383207,2.31549951756376e-05,26.7549571671867,"both","both_TLS"
"83","CORO1A",-0.42987802292088,2.44411685612015e-05,26.6106680668004,"ETLS_inRCC_vs_LSCC","sig_TLS"
"84","OLFML3",-0.367524044835792,2.44411685612015e-05,26.5859318052048,"ETLS_inRCC_vs_LSCC","sig_TLS"
"85","CCDC88B",-0.301827696427335,2.44869394602849e-05,26.5563068227971,"both","both_TLS"
"86","IL16",0.306493631981146,2.51006324964628e-05,26.4775420456979,"both","exclude"
"87","SAMD10",-0.416070996051884,2.5701957231875e-05,26.4014318688494,"both","both_TLS"
"88","PROX1",0.392876528820608,2.63578476550828e-05,26.3223453341747,"both","exclude"
"89","WNT8A",-0.43635995062037,2.66987185755319e-05,26.2702203409617,"both","both_TLS"
"90","P3H4",0.306436446916185,2.7012448130736e-05,26.2209004651234,"both","exclude"
"91","BHMT2",0.431431248703478,2.72197476371566e-05,26.1805685445542,"both","exclude"
"92","RIT2",0.333364071132531,2.83626296498063e-05,26.0683021949163,"both","exclude"
"93","THBS4",0.399831732656621,2.99937596560871e-05,25.9080765384901,"both","exclude"
"94","IGFBP3",0.884417608963599,2.99937596560871e-05,26.0453868080889,"both","exclude"
"95","PDCD4",-0.298530384731297,3.04450167018059e-05,25.8465070014099,"both","both_TLS"
"96","ZDHHC12",-0.318393077278907,3.41641444118812e-05,25.575963741263,"both","both_TLS"
"97","IFT88",0.388787639286397,3.55968593473566e-05,25.4653762267797,"both","exclude"
"98","SCN9A",-1.49676662805438,3.68250893596126e-05,25.5105051925097,"both","both_TLS"
"99","AURKAIP1",-0.349465662047215,3.70174407824222e-05,25.3261180646804,"both","both_TLS"
"100","VDR",0.347306378143048,3.70174407824222e-05,25.3158805005397,"both","exclude"
"101","NUCKS1",-0.306853090866568,3.76886827160255e-05,25.2559337965146,"both","exclude"
"102","JAK3",-0.375194809609343,4.19641661751061e-05,25.0042804242786,"ETLS_inRCC_vs_LSCC","sig_TLS"
"103","ZKSCAN3",0.311844411033472,4.35592492607251e-05,24.9034165216733,"both","exclude"
"104","ACTR10",-0.264648737441461,4.42747633535125e-05,24.8306076303311,"both","both_TLS"
"105","KLHL32",0.315691545669327,4.42747633535125e-05,24.8273171313868,"both","exclude"
"106","KRTCAP2",-0.325433507126645,4.85056044049551e-05,24.6116754572543,"both","exclude"
"107","GLRA3",0.356808002790967,4.96341831940222e-05,24.5423973270949,"both","exclude"
"108","MAPK14",0.286033339855538,5.21524668555276e-05,24.416711123449,"both","exclude"
"109","LDLRAD4",-0.33838751503035,5.75860748332125e-05,24.1853632880486,"both","both_TLS"
"110","CHM",0.367998972835873,5.85059164910016e-05,24.1320566148395,"both","exclude"
"111","CLEC10A",-0.370769754475415,5.99960362247388e-05,24.0567735808543,"both","both_TLS"
"112","RNASE2",0.350592902901815,5.99960362247388e-05,24.0399698850854,"both","exclude"
"113","NRP1",0.465983140623135,6.26145839704624e-05,23.9278066433716,"both","exclude"
"114","RASA4",0.364197627344675,6.26145839704624e-05,23.911163600961,"both","both_TLS"
"115","ARHGEF15",-0.348676385320541,6.44023264522143e-05,23.8180953054656,"both","both_TLS"
"116","VWA5B1",0.351010937133583,6.44023264522143e-05,23.7982175096614,"both","exclude"
"117","SLC36A1",-0.387480180346148,6.44023264522143e-05,23.7958489239348,"both","both_TLS"
"118","CXCL9",0.590428850958207,6.94747828188575e-05,23.7172710393724,"both","opposite"
"119","PKNOX2",-0.390129074215153,7.30619232301087e-05,23.4913194993951,"both","both_TLS"
"120","IGFBP7",0.829664768302928,7.53746924134909e-05,23.5240431178487,"ETLS_inRCC_vs_LSCC","sig_TLS"
"121","CAMK2N2",-0.423338052495149,7.74111325143809e-05,23.3350111017952,"both","both_TLS"
