"","gene","logFC_PFL_TLS_inRCC_vs_LSCC","FDR_PFL_TLS_inRCC_vs_LSCC","F_PFL_TLS_inRCC_vs_LSCC","sig","selected"
"1","BAP1",1.16036232213011,5.28244079658323e-05,34.6574245803799,"PFL_TLS_inRCC_vs_LSCC","sig_TLS"
"2","KLF1",0.943905585157185,0.000683796237097124,27.4661874589157,"both","exclude"
"3","HIBCH",0.926984912950367,0.000926840196353454,25.9313818806564,"PFL_TLS_inRCC_vs_LSCC","sig_TLS"
"4","SHLD1",0.72603244276229,0.0151411839192326,18.5929654633084,"both","exclude"
"5","TMOD1",0.904244784766521,0.0151411839192326,18.4787495363154,"both","exclude"
"6","CCL2",1.96378208401465,0.0151411839192326,18.4472353997871,"both","both_TLS"
"7","ZKSCAN2",0.745197439097019,0.0151411839192326,18.2550331088443,"both","exclude"
"8","SGCD",0.929562217355436,0.0203022088153066,17.3779916097293,"both","exclude"
"9","PREP",0.792830459331705,0.0275045503274663,16.5171902534392,"PFL_TLS_inRCC_vs_LSCC","sig_TLS"
"10","RAG1",0.791437890621125,0.0300065235644189,15.853458602593,"both","exclude"
"11","RIT2",0.732124865723792,0.0300065235644189,15.6024871178676,"both","exclude"
"12","RUSC1",0.699787432631377,0.0300065235644189,15.5639224909574,"both","exclude"
"13","CCDC184",-0.786873459898643,0.0300065235644189,15.5116224776731,"both","both_TLS"
"14","SEC63",0.703212142658924,0.0300065235644189,15.4441544351116,"both","opposite"
"15","KCNH1",0.744689856244943,0.0339170768057268,15.0577109162869,"both","exclude"
"16","B3GNT2",0.754911263082078,0.0343228623588317,14.9037842114524,"both","exclude"
"17","TGFB1I1",0.735088691913485,0.0364082376705734,14.6017240781675,"PFL_TLS_inRCC_vs_LSCC","sig_TLS"
"18","ANKRD28",0.79960170158789,0.0364082376705734,14.5484851183849,"both","exclude"
"19","DEPP1",1.33988104258624,0.0380826970221558,14.3695222311453,"both","both_TLS"
"20","PGBD5",0.921229789681552,0.0380826970221558,14.2471028074501,"both","exclude"
"21","CALD1",0.947741670075771,0.0396822267739376,14.0671410908474,"both","exclude"
"22","CNPY2",-0.561693820339855,0.0509265818535194,13.4766693708377,"both","exclude"
"23","GBP5",0.831732178677177,0.0721538650080417,12.6883648560723,"both","opposite"
"24","SFRP2",-2.15539555385549,0.0721538650080417,12.601273015464,"PFL_TLS_inRCC_vs_LSCC","sig_TLS"
"25","CASP1",-0.647974189445618,0.0721538650080417,12.599858460963,"PFL_TLS_inRCC_vs_LSCC","sig_TLS"
"26","EFCC1",0.649954491564969,0.074384926688332,12.3952997873688,"both","exclude"
"27","HMOX1",0.922569997077984,0.0753409081702341,12.3087354991626,"both","exclude"
"28","COL6A3",-1.04415111451059,0.078232237893409,12.1697579484011,"PFL_TLS_inRCC_vs_LSCC","sig_TLS"
"29","CSNK1G2",0.559645837813889,0.0804760020163797,12.0254771696901,"both","exclude"
"30","PPP4R3A",0.57241336580193,0.0825039476983433,11.8701646551462,"both","exclude"
"31","INSL4",0.661053925474643,0.0825039476983433,11.8456947079755,"both","exclude"
"32","BHMT2",0.845587966376881,0.0840279282029887,11.7475636365596,"both","exclude"
"33","CXCL9",1.15418801783836,0.0840749752714676,11.7123200759224,"both","opposite"
"34","ATF4",-0.692975354034694,0.0847454422662755,11.6121834172479,"both","exclude"
