"","gene","logFC_SFL_TLS_inRCC_vs_LSCC","FDR_SFL_TLS_inRCC_vs_LSCC","F_SFL_TLS_inRCC_vs_LSCC","sig","selected"
"1","SFTPB",-2.3207505968089,1.27993101140209e-09,60.585650362181,"both","exclude"
"2","POLR2J2",0.909827531843363,1.88485376498273e-09,57.6263517345458,"both","both_TLS"
"3","CXCL13",-1.51929817666406,6.82013530738662e-08,47.9672842729592,"SFL_TLS_inRCC_vs_LSCC","sig_TLS"
"4","OR4N2",0.62431117409164,8.3222816682917e-08,45.4856103362869,"SFL_TLS_inRCC_vs_LSCC","sig_TLS"
"5","ARRDC4",0.52880521695832,8.3222816682917e-08,45.4521706205193,"both","exclude"
"6","CLU",-1.60804775114143,8.3222816682917e-08,45.8169563848663,"both","opposite"
"7","ZBTB16",0.843386625227739,1.9429011434868e-07,42.8939251017172,"both","exclude"
"8","LTF",-1.09017346824322,1.9429011434868e-07,43.10431609218,"SFL_TLS_inRCC_vs_LSCC","sig_TLS"
"9","SRSF2",-0.518755557909032,2.82418746961931e-07,41.585019600688,"both","both_TLS"
"10","PLEKHM1",-1.73028153173147,3.65263443663959e-07,41.0953951395634,"SFL_TLS_inRCC_vs_LSCC","sig_TLS"
"11","RSRP1",-0.521117006521002,3.74893755946273e-07,40.4658927100501,"both","both_TLS"
"12","SPIB",-0.612273202842515,5.80499973977818e-07,39.390916899359,"both","opposite"
"13","COL6A2",-0.895209532501588,8.64550954651503e-07,38.4218521992169,"SFL_TLS_inRCC_vs_LSCC","sig_TLS"
"14","LTB",-0.843179549880524,1.13867295379841e-06,37.5285866252565,"SFL_TLS_inRCC_vs_LSCC","sig_TLS"
"15","CFL1",-0.684745291782779,1.13867295379841e-06,37.2105212262203,"both","exclude"
"16","CSK",-0.477873830446831,1.2939541473837e-06,36.6518341499992,"both","both_TLS"
"17","SPDYE2",0.642689871077823,1.2939541473837e-06,36.8020405893055,"SFL_TLS_inRCC_vs_LSCC","sig_TLS"
"18","RASA4",0.494882395471345,2.26406356360415e-06,35.2414748259,"both","both_TLS"
"19","SPARCL1",-0.816057147161995,4.39229141605156e-06,33.8346504734455,"SFL_TLS_inRCC_vs_LSCC","sig_TLS"
"20","COL1A2",-0.999298738071353,4.39229141605156e-06,33.7023367891548,"both","exclude"
"21","CORO1A",-0.563895343915684,4.39229141605156e-06,33.4078966853269,"SFL_TLS_inRCC_vs_LSCC","sig_TLS"
"22","RNF145",0.497322652824435,1.0273156705116e-05,31.4140611864588,"SFL_TLS_inRCC_vs_LSCC","sig_TLS"
"23","MIDN",-0.445770289284982,1.05874235985047e-05,31.1728938616337,"both","exclude"
"24","FUS",-0.417316290464739,1.05874235985047e-05,31.1548346734241,"both","exclude"
"25","CXADR",0.564551876921766,1.24105825690489e-05,30.8017347208944,"SFL_TLS_inRCC_vs_LSCC","sig_TLS"
"26","HNRNPA2B1",-0.514848216200855,1.28992587936557e-05,30.5076584950317,"both","exclude"
"27","SPDYE11",0.570213758341131,1.28992587936557e-05,30.5300853052984,"both","both_TLS"
"28","TRIM64B",0.460332970601098,1.48685509955445e-05,30.0150431774756,"both","both_TLS"
"29","PTPN6",-0.502717625282487,1.48685509955445e-05,29.988627796177,"SFL_TLS_inRCC_vs_LSCC","sig_TLS"
"30","SRRM2",-0.430155706953643,1.50367433574183e-05,29.8893649977632,"both","exclude"
"31","TMA7",-0.417584012759364,1.58052219212859e-05,29.7078193753861,"both","exclude"
"32","OR4F17",0.534470601155239,1.66470996467719e-05,29.5242176008825,"both","both_TLS"
"33","DLEU7",0.378953981434912,1.71888851298771e-05,29.3864817978975,"both","exclude"
"34","SPDYE5",0.414480168437107,1.92693157426666e-05,29.0707734047496,"both","both_TLS"
