"","gene","logFC_Tcell_TLS_inRCC_vs_LSCC","FDR_Tcell_TLS_inRCC_vs_LSCC","F_Tcell_TLS_inRCC_vs_LSCC","sig","selected"
"1","ARHGAP9",-0.902700742232577,0.000166854926885349,32.0870647501611,"Tcell_TLS_inRCC_vs_LSCC","sig_TLS"
"2","BMERB1",-0.808609242480322,0.000218047663296188,29.9637433348968,"both","both_TLS"
"3","CCDC184",-0.761846467688738,0.00149303753629166,24.9069965072665,"both","both_TLS"
"4","SFTPB",-2.4459100806855,0.0015480959024801,24.3422643683838,"both","exclude"
"5","WNT8A",-0.887865230098833,0.00263595017343696,22.3302254944694,"both","both_TLS"
"6","TASOR2",-0.776218527377008,0.00263595017343696,22.1300136634353,"both","both_TLS"
"7","TMEM126B",-0.636932715068199,0.00263595017343696,21.8985544987178,"both","both_TLS"
"8","ZNF625",-0.90956116936993,0.0029559418003347,21.2509494906883,"both","both_TLS"
"9","ROGDI",-0.76342350306969,0.0029559418003347,20.6681835212356,"both","both_TLS"
"10","C1orf116",-0.859426418809879,0.0029559418003347,20.6212079791248,"both","both_TLS"
"11","GPAT2",-0.675393532843112,0.0029559418003347,20.5441465042825,"both","both_TLS"
"12","CCL18",-0.960021651554266,0.0029559418003347,20.5474869159234,"both","both_TLS"
"13","CCDC107",-0.62761074372029,0.0047741087771142,19.3617709215246,"both","both_TLS"
"14","SGCA",-0.757242909905885,0.00713345028311457,18.3776428569535,"Tcell_TLS_inRCC_vs_LSCC","sig_TLS"
"15","DKK1",-0.60921327910659,0.00727517077364668,18.1948962297415,"Tcell_TLS_inRCC_vs_LSCC","sig_TLS"
"16","SFTPC",-2.02805424344045,0.00915677016216068,17.6584557929461,"both","exclude"
"17","SCN9A",-2.52609025327157,0.010511388786168,17.2485428553285,"both","both_TLS"
"18","PDCD4",-0.548962467282042,0.0113436920807534,16.7572510193253,"both","both_TLS"
"19","TMA7",-0.590334048199273,0.0113436920807534,16.6801775130431,"both","exclude"
"20","KANSL2",-0.613415252416278,0.0113436920807534,16.660637202451,"Tcell_TLS_inRCC_vs_LSCC","sig_TLS"
"21","KRTAP21-1",-0.62471031338884,0.0113436920807534,16.5954009927495,"both","both_TLS"
"22","NAT8B",-0.62725333868063,0.0121612498449599,16.3589903489063,"both","both_TLS"
"23","BTG2",-1.25449050780093,0.0161243578614783,15.6888520180686,"both","both_TLS"
"24","PPP1CA",0.716779878108384,0.0161243578614783,15.6101485274162,"Tcell_TLS_inRCC_vs_LSCC","sig_TLS"
"25","RPS6KB1",-0.552633798183833,0.0170095382474699,15.4144921301678,"both","both_TLS"
"26","ARHGAP1",0.827501563675716,0.0170095382474699,15.2672387406818,"both","exclude"
"27","PHAX",-0.687124278986846,0.0170095382474699,15.2641314701964,"both","both_TLS"
"28","CNPY2",-0.483569411070785,0.0171566002975536,15.1089731046698,"both","exclude"
"29","CALM3",-0.541665149917781,0.0171566002975536,15.0735556033817,"both","opposite"
"30","ACAD8",-0.619676147246928,0.0171566002975536,15.0343147354678,"Tcell_TLS_inRCC_vs_LSCC","sig_TLS"
"31","EEF2KMT",-0.635132894567591,0.0175523725624861,14.7078697154452,"both","both_TLS"
"32","MICALL2",-0.711985773829253,0.0175523725624861,14.7076940928592,"Tcell_TLS_inRCC_vs_LSCC","sig_TLS"
"33","MKRN3",-0.601246718127422,0.0175523725624861,14.6494611187247,"Tcell_TLS_inRCC_vs_LSCC","sig_TLS"
"34","CDKN2D",-0.603774694158438,0.0175523725624861,14.6039035854128,"both","both_TLS"
"35","LIN28A",-0.592414175606176,0.0175523725624861,14.5866157362767,"both","both_TLS"
"36","CCN2",1.79583234141767,0.0175523725624861,14.5827716264373,"Tcell_TLS_inRCC_vs_LSCC","sig_TLS"
"37","PRMT8",-0.738294098129582,0.0175523725624861,14.4857689192938,"both","both_TLS"
"38","NDUFB7",-0.626302060148491,0.0175523725624861,14.4474192486238,"both","both_TLS"
"39","PRKX",-0.74535996066262,0.0175523725624861,14.3780450192232,"both","both_TLS"
"40","RSF1",-0.62597405793231,0.0175523725624861,14.3715306395336,"both","both_TLS"
"41","KDM1A",-0.543235718728648,0.0175523725624861,14.3539941537081,"both","both_TLS"
"42","HINFP",-0.573349666547641,0.0175523725624861,14.2886445781688,"Tcell_TLS_inRCC_vs_LSCC","sig_TLS"
"43","UBB",0.658211304758535,0.0175523725624861,14.2451027821488,"both","both_TLS"
"44","STX1B",-0.646394219212614,0.0175523725624861,14.2019116880173,"both","both_TLS"
"45","UBALD1",-0.578771069696115,0.0175523725624861,14.1743148283456,"both","both_TLS"
"46","TP53BP1",-0.855664943610357,0.0188440877082259,14.0027167964002,"both","both_TLS"
"47","CHAC1",-0.645302255934359,0.0188440877082259,13.9291975655148,"Tcell_TLS_inRCC_vs_LSCC","sig_TLS"
"48","IGLL5",-2.85770092987063,0.0188440877082259,13.9473407246669,"Tcell_TLS_inRCC_vs_LSCC","sig_TLS"
"49","CALD1",0.949917533603458,0.0193806949238594,13.7752992923098,"both","exclude"
"50","ANKRD28",0.754053234141034,0.0193806949238594,13.7658165003098,"both","exclude"
"51","GFM2",-0.724852159787919,0.0199825006676156,13.6653584790758,"both","both_TLS"
"52","PIANP",-0.682847723556433,0.0228589997606696,13.3327140888162,"both","both_TLS"
"53","PIGM",-0.593070804892878,0.0228589997606696,13.3211346727396,"Tcell_TLS_inRCC_vs_LSCC","sig_TLS"
"54","ATP2B4",-0.535913401588821,0.0234460303838472,13.2336251117398,"both","exclude"
"55","NICN1",-0.551859795641973,0.0247090747145861,13.0930683150189,"both","both_TLS"
"56","TAGLN",1.38743135349135,0.025866885560253,13.0028904281276,"Tcell_TLS_inRCC_vs_LSCC","sig_TLS"
"57","SLC1A5",0.857062003872933,0.0264841542804355,12.8341630244785,"both","opposite"
"58","DGKQ",-0.521448837509668,0.0264841542804355,12.8249042935845,"Tcell_TLS_inRCC_vs_LSCC","sig_TLS"
"59","CCL21",1.63312013075482,0.0264841542804355,12.8539229541681,"Tcell_TLS_inRCC_vs_LSCC","sig_TLS"
"60","SIGLEC16",-0.531141830866855,0.0276918900416998,12.6950967240007,"both","both_TLS"
"61","ADAMTS3",-0.553427930765028,0.0277360587551773,12.6592782132619,"both","both_TLS"
"62","PLIN5",-0.545917584094865,0.0283003709924772,12.571327911836,"both","both_TLS"
"63","TIPIN",-0.638664323924141,0.0283003709924772,12.5522059374811,"both","both_TLS"
"64","TOR1AIP2",-0.542157553752519,0.0283003709924772,12.478825690019,"both","both_TLS"
"65","AEN",-0.639382441071525,0.0283003709924772,12.4471219144536,"both","both_TLS"
"66","AURKAIP1",-0.572425392041591,0.0283003709924772,12.4168645018717,"both","both_TLS"
"67","SAMD10",-0.655068678419741,0.0283003709924772,12.3951745641358,"both","both_TLS"
"68","FLOT2",-0.579775246356684,0.0283003709924772,12.3781182804247,"both","both_TLS"
"69","OR1J1",-0.630646053224361,0.0283003709924772,12.3662749627606,"Tcell_TLS_inRCC_vs_LSCC","sig_TLS"
"70","TUSC2",-0.5074173243086,0.0283003709924772,12.3037791717655,"both","both_TLS"
"71","RHOB",1.34883187062926,0.0283003709924772,12.3294607829961,"both","exclude"
"72","DYRK1B",0.626487040938825,0.0283003709924772,12.2924552908105,"both","exclude"
"73","RTP2",-0.592556115733106,0.0283911804033694,12.2589828875467,"Tcell_TLS_inRCC_vs_LSCC","sig_TLS"
"74","C11orf96",1.17001439460331,0.0310118293274107,12.0788254805903,"both","exclude"
"75","ZNF417",-0.61008397010268,0.0313572111666879,11.9755555562058,"both","both_TLS"
"76","IGFBP7",1.65851239159865,0.0313572111666879,12.00072413094,"Tcell_TLS_inRCC_vs_LSCC","sig_TLS"
"77","ZNF117",-0.691072635509901,0.0313572111666879,11.9600258855038,"Tcell_TLS_inRCC_vs_LSCC","sig_TLS"
"78","TLR9",-0.58550333233113,0.0329765009509385,11.8211317899839,"Tcell_TLS_inRCC_vs_LSCC","sig_TLS"
"79","MDFIC",-0.555095980362896,0.0329765009509385,11.8095901932415,"both","opposite"
"80","NEUROD2",0.716368693716959,0.0341333104878877,11.703908662069,"both","exclude"
"81","ZNF98",-0.562680669937553,0.0341333104878877,11.6706011220848,"both","opposite"
"82","PRR5",-0.559286595478011,0.0341333104878877,11.6689943686127,"both","both_TLS"
"83","MCRIP1",-0.569141838165099,0.0356940199290678,11.5577668155849,"Tcell_TLS_inRCC_vs_LSCC","sig_TLS"
"84","EPAS1",1.10936842212621,0.0372102214271434,11.4557464133731,"Tcell_TLS_inRCC_vs_LSCC","sig_TLS"
"85","TMEM88B",-0.60274182264011,0.0372102214271434,11.4298939789603,"Tcell_TLS_inRCC_vs_LSCC","sig_TLS"
"86","PRIMA1",-0.522080341541208,0.0376905283087128,11.3695269322504,"Tcell_TLS_inRCC_vs_LSCC","sig_TLS"
