"","gene","logFC_allTLS_inRCC_vs_LSCC","FDR_allTLS_inRCC_vs_LSCC","F_allTLS_inRCC_vs_LSCC","sig","selected"
"1","KRT6A",0.0500679481206476,0.873858420204142,0.0931133266751783,"par_inRCC_vs_LSCC","none"
"2","PERP",-0.0609550444088493,0.782036909211999,0.232881357139483,"par_inRCC_vs_LSCC","none"
"3","KRT5",-0.296062854856439,0.246425415949435,2.4744991680589,"par_inRCC_vs_LSCC","none"
"4","CRYAB",0.658856144458411,0.000793074690138432,16.9109798137602,"both","exclude"
"5","FXYD2",0.541845622633511,0.00664269801793953,11.2710527713918,"both","exclude"
"6","TP63",0.162744916048414,0.341707365189449,1.76242759151822,"par_inRCC_vs_LSCC","none"
"7","S100A9",0.045370561497318,0.911648075327053,0.0527840325594617,"par_inRCC_vs_LSCC","none"
"8","JUP",0.123176224254406,0.423263998762264,1.32173252991224,"par_inRCC_vs_LSCC","none"
"9","CD9",0.190608082643872,0.296339480074068,2.06476060930681,"par_inRCC_vs_LSCC","none"
"10","CALML3",-0.320800849928202,0.0122836888223618,9.68961168807859,"both","both_TLS"
"11","SPP1",0.508008681035865,0.00561427058438764,11.6772629079867,"both","exclude"
"12","RBP5",0.000753195267776294,0.997460244278075,6.80103299852302e-05,"par_inRCC_vs_LSCC","none"
"13","PDZK1IP1",0.141423957006911,0.602581389740527,0.636634930859755,"par_inRCC_vs_LSCC","none"
"14","ANXA4",0.381144021775622,0.0210406639842732,8.36111562659163,"both","exclude"
"15","CD44",-0.465317309310457,3.02624668979272e-05,25.68542003306,"both","both_TLS"
"16","DST",0.303253895179641,0.0314833543901818,7.30794335361839,"both","opposite"
"17","HSPB8",0.293899610448587,0.0252453652856433,7.87830536896313,"both","exclude"
"18","GAL3ST1",0.384859961363964,0.00545933024146275,11.7227429929556,"both","exclude"
"19","FABP5",0.0235667280806789,0.941984509726166,0.0266915143967933,"par_inRCC_vs_LSCC","none"
"20","TACSTD2",0.0880642757782418,0.648756878349357,0.510232640123139,"par_inRCC_vs_LSCC","none"
"21","NNMT",0.164996793660739,0.470425458670123,1.10655550954949,"par_inRCC_vs_LSCC","none"
"22","PLIN2",0.336444936132083,0.0302255034434842,7.41608463963386,"both","exclude"
"23","RARRES2",-0.236956671402322,0.0524045644405051,6.07139256230199,"both","opposite"
"24","TUBB4B",-0.320264158952817,0.000139038923916515,21.5990079739469,"both","exclude"
"25","IFI27",-0.0320468727230818,0.899575392885301,0.0669777231811477,"par_inRCC_vs_LSCC","none"
"26","CSTA",-0.0590593148479856,0.854886335629405,0.114701624161476,"par_inRCC_vs_LSCC","none"
"27","ITGB4",0.138918390490228,0.382741498259082,1.52114240312293,"par_inRCC_vs_LSCC","none"
