"","logFC","logCPM","F","PValue","FDR"
"MEF2B",-1.24227777188141,9.03839468790424,29.1652681790494,1.33506580010713e-07,0.000216013646457333
"MARCKSL1",-1.34726796198928,9.08705730928514,26.1857399171506,7.69714735534051e-07,0.000369728699724408
"CLU",-1.5216780100222,11.2549347811156,28.6935520127978,7.92982720123727e-07,0.000369728699724408
"H3C4",-1.16157440359687,9.55809762198308,25.4848673509767,9.14038812668499e-07,0.000369728699724408
"H4C4",-1.3689503050027,10.1777065185731,24.2984056276459,4.3588242610581e-06,0.0014105155308784
"H2AC21",-1.36494978115293,8.88697119886273,21.7529224478167,6.81155553411259e-06,0.00183684947569903
"H1.5",-1.38805215907456,9.2308149424048,20.6220660472824,1.86855612922926e-05,0.00431903402441849
"H4C8",-1.09558075856359,9.02086094068762,18.4925646720265,2.29539292765719e-05,0.00464243219618666
"TRIM29",3.39623139848205,7.28307404350534,16.6344346925583,8.53930813136797e-05,0.0138408235088799
"SFRP4",-1.23235998445738,8.05848102342567,15.8531464856666,8.55427905369584e-05,0.0138408235088799
"H4C3",-1.0680541463194,9.10776144315814,14.9542840172814,0.000144246264664767,0.0212173142025085
"HNRNPA3",-0.727534626881548,11.2742231023452,13.2664162776635,0.000317160579088594,0.0427288026390706
"FGG",1.94213924181343,9.15593627591784,13.9944977684044,0.000343309291908478,0.0427288026390706
"TCP1",-0.945471294219703,8.98278237356416,12.9559774550987,0.000371767294064681,0.0429656772711895
"TFPI",3.30426591736076,7.14930989212616,15.2541880285436,0.000433378023676421,0.0440722214411359
"H3C8",-1.19622408059823,9.12033338623039,13.4612221342628,0.00043581924787279,0.0440722214411359
"MCM7",-0.863777973042704,9.0391819976537,12.5275677309498,0.000463178192755089,0.0440836656398667
"H4C1",-0.935689972380358,10.2704021860445,13.1117192838593,0.000508747434887464,0.0457307416471065
"H2AC7",-0.810753386944521,9.45204917746676,11.8369012633598,0.000686312517727564,0.0576318508996218
"C1QB",1.27068762368456,9.53940122486041,11.6111861454611,0.000743140546167713,0.0576318508996218
"HMGA1",-0.887507532311408,9.63469121137152,12.0200536346167,0.000758230646098464,0.0576318508996218
"ACTR3",-0.688472028325491,10.2502383541162,11.4584811148446,0.000804337070423543,0.0576318508996218
"CLEC10A",1.34399040658832,7.72387997737767,11.4230794230884,0.000819241391032942,0.0576318508996218
"SCGB1A1",-3.059991736836,6.87545503069615,11.7996758856448,0.00101669428704438,0.0685421398515756
"H2BC5",-0.803580519426941,9.19983074246721,10.4936178383934,0.00132943527667984,0.0847523618369521
"PLA2G2A",-0.916048038982059,8.28357337632498,10.5893637835128,0.00143170882168952,0.0847523618369521
"SCD5",-1.49216835273598,7.10920969336971,10.9936642763571,0.00144019232112945,0.0847523618369521
"PKP1",2.20618249460247,7.70892525008355,10.3072303964721,0.00146666633586814,0.0847523618369521
"IGKV4.1",-1.37528570237768,12.0338904809941,10.5064917190246,0.00173471115860615,0.0917942847074225
"EIF4B",-0.698527669866503,10.7082010912817,9.97075886176519,0.00174886573558542,0.0917942847074225
"POU2AF1",-0.696985960807872,9.53893778661995,9.90658893744269,0.0018123443814665,0.0917942847074225
"NR4A3",1.52809247265532,7.41174525474165,10.2297362824782,0.00181546174946695,0.0917942847074225
"SKAP1",-0.747902547037354,9.28607243654931,9.4491988196257,0.0023024072202984,0.112887723710388
"TACSTD2",2.49390097516376,7.53144068221914,9.25600927437588,0.00255457489643744,0.119790226071562
"CFD",0.913843687204524,9.73869859323837,9.55451713912443,0.00259125952565184,0.119790226071562
"CRIP1",-0.951841537144404,8.65394988219989,8.90226308547117,0.00307714022554366,0.136774283762697
"PABPC1",-0.611014906535396,11.9582430084784,8.85521413009053,0.00315514944158018,0.136774283762697
"PRRX1",0.649775265992655,9.55725061791621,8.79963718241403,0.0032499081294262,0.136774283762697
"DAZAP1",-0.980655332590704,8.39709347554572,8.77275322589521,0.00329678434285858,0.136774283762697
"ANGPTL2",-1.01483029713642,7.46565519496469,8.67530230167761,0.00347257794540267,0.140465777891538
"UBA2",-0.893702835576991,8.48698615064107,8.6181184917265,0.00358016716767645,0.141285621397573
"ACTB",-0.589826946656995,12.1539046248169,8.55299585912063,0.00370685431638467,0.142802149616914
"DEK",-0.625041635621934,10.0003769950421,8.45137653007906,0.0039137731728771,0.147267092877096
"TLE2",1.15283912148515,7.76093217130469,8.14900510002011,0.00460840076686228,0.167986546293465
"IGLV6.57",-1.06199233123173,8.95536093454387,8.49659836770468,0.00467206092905187,0.167986546293465
"S100A14",1.10587715760552,8.81510709250513,8.35178630092699,0.00496170922401393,0.17452272879249
"LTF",-1.23080193885473,8.66654894036242,8.25504507810886,0.00520162338335485,0.178159097691907
"SRSF3",-0.564439588545283,10.2860963587108,7.89169760813131,0.00528531315773271,0.178159097691907
"ADAM9",0.606133812383105,9.82544827544927,7.80925495498821,0.00552550811956193,0.180476902904077
"PERP",-2.40983964491539,6.63390560766905,11.3832845074404,0.00557834790932487,0.180476902904077
"HNRNPH3",-0.668736981100233,9.44784633483388,7.73208494877698,0.00576048695967677,0.180476902904077
"ZFP36L1",-0.798464237134154,9.53026774856512,7.77190912687625,0.00580024657046477,0.180476902904077
"PXDN",-1.24596592504004,7.33467379725306,7.5715327072719,0.00628278332521792,0.191802706041558
"PFN1",-0.542103741338179,12.0484709051456,7.46931711290686,0.00664040367518794,0.196337917721131
"UCP2",-0.859737900666117,8.53874486141518,7.45999749667349,0.00667403304985303,0.196337917721131
"EZR",-1.26826463382981,7.76502340612375,7.40946851914639,0.00685943415680994,0.197794776141822
"UBD",-0.751188887759264,8.74943522137207,7.42882475569915,0.00696804835604689,0.197794776141822
"PBXIP1",-0.616596993175364,9.48651381779618,7.31818118798308,0.00720791635600938,0.201076011448675
"COL7A1",1.24663358734575,7.69233253724242,7.55013283911774,0.00806034142208338,0.217607152883708
"GADD45B",0.661095763404301,9.32464025485973,7.10616560455268,0.008089254126203,0.217607152883708
"TMSB4X",-0.567144794613116,13.1564743206398,7.07387318554106,0.00824151840378369,0.217607152883708
"S100A2",0.713443745667256,10.7193947114719,7.21790332525822,0.00833846939356606,0.217607152883708
"DUSP6",1.06958019259236,7.59895716520865,7.00736576588742,0.0085371132155698,0.219254748933205
"RAB25",1.46575232281153,7.61614699583747,6.88959505416884,0.00910448628165224,0.230172793808021
"H2BC15",-0.600467858852567,9.32153569514642,6.7426150261867,0.00996081341589867,0.247947632414216
"RBM3",-0.501547410022487,10.7712388613957,6.62609082516995,0.0105190323177954,0.257875671063529
"SPON2",0.778787314160991,8.40689858221407,6.50542453210666,0.0112406472502152,0.271453242549972
"IGLC7",1.66890817095057,8.48667959273903,6.66470629212739,0.0116582675507359,0.273668785920574
"LAMA3",1.5155058707908,6.91369703450395,7.07862725391273,0.011670671340247,0.273668785920574
"CRIM1",0.817272392412698,8.93174886579279,6.35843318263364,0.0121892334840465,0.277819036668517
"RAB14",-0.739086393098672,8.48253228038785,6.35816017281912,0.0121910702122773,0.277819036668517
"CIRBP",-0.5071545706551,10.5675271588784,6.30681490911393,0.0125416404680309,0.281679305980506
"PGF",-0.772149773276896,8.48711040758697,6.28287408351417,0.0127086460671056,0.281679305980506
"NME1",-0.857020888376128,7.75895173939512,6.19443025365561,0.0133458051556351,0.291804226240778
"GNLY",1.07081690673439,7.26999424176209,6.16968706569101,0.0135610251247105,0.292556515357089
"LAPTM5",-0.470580641375149,11.7124384835761,6.09778107321838,0.0140799742553673,0.29811595873803
"GPX2",3.76879194603396,6.58401655076711,9.17184667244715,0.014286450262452,0.29811595873803
"ERH",-0.577063697821974,9.21962179089403,6.04741218956602,0.0144790287775878,0.29811595873803
"NR2F2",-0.74439798363375,8.40082070595822,6.03789647885902,0.0145557235724996,0.29811595873803
"SSBP3",-0.753704885523272,8.44792583405335,6.00579954551013,0.0148175348503802,0.298643103459561
"CYBA",-0.518068947657996,9.81340405782429,5.98970912863783,0.0149506127195454,0.298643103459561
"ARHGDIB",-0.508285970087245,10.6321164212262,5.83923520645901,0.0162567080697017,0.320772605570456
"ACTG2",-1.1693105138044,7.29300212394074,5.75475144337732,0.0170413286914158,0.328379484491048
"NDUFB10",-0.831133649098605,8.27151832547012,5.7540367266413,0.01704813145689,0.328379484491048
"RARRES2",-0.574369213409678,9.53132209669585,5.64375475174425,0.018132325990059,0.338710771894456
