"","logFC","logCPM","F","PValue","FDR"
"LTF",-3.51651492485227,8.66654894036242,17.2774342075797,8.04360333705487e-05,0.0970017921317579
"GPR68",6.39972846774195,7.12654721462599,15.1849231081768,0.00011990332772776,0.0970017921317579
"PARM1",2.1711623604783,7.81067055169355,12.6882665086268,0.000426478624410884,0.230014138098937
"AQP2",5.56168405839461,6.45026455794559,11.0759663293206,0.0009896798076807,0.400325482206843
"SMTN",3.28825478985285,7.81434543950672,10.3217937714131,0.00145457257824477,0.447535402675941
"HEPHL1",-5.31362042362271,6.48805820128559,14.4110344215426,0.00183688455541711,0.447535402675941
"ADGRF1",5.58977495815631,6.73189898286967,10.0125405338056,0.00204131601627287,0.447535402675941
"C11orf96",1.84388041627254,8.25315308045391,9.54184083252381,0.00221278320235323,0.447535402675941
"MT1G",2.16094654329326,8.02455595627062,9.12658763197672,0.00273591031586432,0.491855876785385
"IER3",1.77711791098987,9.01357686614682,8.1627263933146,0.00456844462341392,0.739174340068372
"EGR1",1.43471431897886,8.22429677971658,7.9808795323026,0.00503750866750213,0.740971729456222
"FOSB",1.62148003986961,7.84110644196229,7.74769844034314,0.00571213110115671,0.748432201876662
"ERN1",1.53220428568229,9.46634656974348,7.63179129659408,0.00625304153801193,0.748432201876662
"UMOD",5.72782443414216,5.95537083007378,8.39846404177288,0.00647592758113305,0.748432201876662
"IGLC7",-1.68870422282067,8.48667959273903,7.40973749964223,0.00795876955587135,0.806944902943678
"ZFP36",1.13929655367524,9.68424832037363,7.13119594323254,0.00797967765580893,0.806944902943678
"LETMD1",-1.18639895353649,8.01677883283103,6.70450398741657,0.0100758699572889,0.910995960494236
"CLEC3B",1.44787794651457,7.96906185139805,6.75803152582316,0.0101346893009248,0.910995960494236
"EGLN3",2.78271221959186,8.05932450947618,6.47665817515101,0.0114200976050592,0.923913447206366
"CCN1",1.23874668065038,9.63856605664701,6.54018908280717,0.0115371137321208,0.923913447206366
"CD151",1.96373910437567,8.09229520759444,6.32317224978937,0.0124288408426168,0.923913447206366
"FXYD2",2.1706760911121,8.41603007513132,6.30380927573106,0.012562481976848,0.923913447206366
"SSBP1",-1.00907844227215,8.35266334988717,6.18145781791013,0.0134420005657636,0.94561551806111
"PROS1",1.43233048633714,8.02535811815206,6.0192704084117,0.014707065746105,0.978242563246841
"HADHA",-1.00781503132595,8.31919123883513,5.84695124306999,0.0161869395048902,0.978242563246841
"NR4A1",1.17373772101952,8.44380689397117,5.79817050731702,0.0170207845951363,0.978242563246841
"A2M",1.23209408907945,9.01421044078455,5.75462829811611,0.0173676885329162,0.978242563246841
"CEBPD",1.34492803731388,9.15389326004194,5.68405920785163,0.0177280207075772,0.978242563246841
"PTHLH",4.94573303220955,7.34308597268007,6.15252685265562,0.0206673041374194,0.978242563246841
"STC1",2.45961874287914,6.63307485298741,6.83131779051941,0.0209196565821068,0.978242563246841
"PIM2",1.04571561711704,9.73031283938828,5.37689418878776,0.0210626901397547,0.978242563246841
"GADD45GIP1",-0.898730941606089,9.43862102957584,5.36080276428782,0.0212544259776538,0.978242563246841
"NDUFS4",-1.05208375920117,7.8105332374953,5.34039330499603,0.0215002296574604,0.978242563246841
"CYP24A1",4.89194707195765,6.08183034138326,8.14909541582053,0.0215143160699069,0.978242563246841
"PEA15",-0.844027449774757,9.74670866840908,5.28432660232297,0.0221908275376789,0.978242563246841
"ANXA4",1.56656471828531,7.9377285505385,5.34481078251239,0.0223124469157011,0.978242563246841
"H2AJ",-1.01201729643521,8.32536873019469,5.27006170588519,0.0223701945859908,0.978242563246841
"FST",4.8057207510305,6.93332332444716,6.12176256714325,0.0259173652008683,1
"SLIT3",1.31854794551482,7.70746461492477,5.00300792127202,0.0260223240201086,1
"POLR1D",-0.827959760673331,8.9066790580479,4.97598589735473,0.0264250528328329,1
"SGK1",1.52189259849542,8.09630123122565,4.93889851428805,0.0269884267743582,1
"TMEM140",1.24318510574362,8.70509212558156,4.89650330294292,0.0276478415220622,1
"CXCL14",-1.12051531906687,8.15195437285026,4.8914433719921,0.0280358158546989,1
"HMGCS2",4.76724584543659,5.98272178584597,7.69496269619513,0.029553623565424,1
"CD79A",-0.792497733523505,9.6837143873505,4.72212288309001,0.0305426533789062,1
"THOC7",-0.813754490893851,8.17660233807002,4.64713092768336,0.0318836275258693,1
"MYO10",1.87808049350369,7.37639399195276,4.62625620002949,0.0322677854773292,1
"BTG2",0.87240733922224,9.93848214207526,4.57781872501456,0.0331780151735072,1
"GTF2I",-0.813969710201076,9.12611080088821,4.57229918548141,0.0332834352975454,1
"PDPN",-2.87053888339327,6.92253054187121,5.64926249747774,0.0346175131819348,1
"INHBA",-1.28958458205641,7.66826870709706,4.4162306992241,0.03641472160975,1
"ADAMTS1",1.31376062845013,7.44033394110515,4.27539087513448,0.0395070028375931,1
"KRT8",1.17128341354725,8.74762442029955,4.25678231626018,0.039953274943776,1
"FAM83A",-4.19241684543648,6.22085566905588,6.79477527519398,0.0414326253766109,1
"TMX1",-0.920626882701868,8.59142223558918,4.1714394383844,0.0419663527360586,1
"INSR",1.37147106819145,7.68815299860595,4.14930400028809,0.0425106261682111,1
"DEFB1",1.69369521500037,6.9991586297004,4.11445520925157,0.0433826707384015,1
"CLU",-1.16872926323782,11.2549347811156,4.16926649154925,0.0444560026157674,1
"HSF4",1.86584197232885,8.20440540188322,4.07132108809329,0.0444883208698791,1
"EMP1",0.977669921376802,8.24525970799194,4.0030769842179,0.0462989573697067,1
"TRIM29",4.56201317299023,7.28307404350534,4.84255710511201,0.0463893942622069,1
"ATP1B1",1.19923720255144,8.8308631874259,3.963625226937,0.0473811501170403,1
"DUSP23",1.2636437813719,8.18311373224192,3.86898620017233,0.0500880461417796,1
"MT1E",1.45256697894999,8.17973161702538,3.86515825216753,0.0502009314631025,1
"TOB1",1.66750443894805,7.01975719442757,3.86115851377973,0.0503191716096321,1
"SULF2",1.14630797520129,8.04282367646481,3.85950940539822,0.050368008606314,1
"ELF3",2.01598074264392,7.96596892441763,3.78780315529982,0.0537246612242326,1
"SPCS3",0.894820470762497,8.7308957248815,3.71532092345437,0.0549935607682417,1
"MAP3K7CL",-1.02814931684737,6.83753433802522,3.70922462183647,0.0550373158222861,1
"CDK4",-0.803297969750216,9.43732494310006,3.70722013531767,0.0551026238636377,1
"CD14",0.891739371915817,8.06874726412973,3.66670113669953,0.0564406376330897,1
"PARP14",-0.786511377439447,8.03222685719789,3.66245809157817,0.0565827418325516,1
"SPINK1",1.48063169660321,7.0428460676694,3.73487941214018,0.0583217422165771,1
"EIF3L",-0.776205602301471,8.14158979090917,3.57310102755633,0.0596658504245199,1
"PHKA2",-1.07489624315825,6.77832943151161,3.54456517738175,0.0606878576059855,1
"NR4A3",1.77690842762378,7.41174525474165,3.59146330033066,0.0607604459663081,1
"GRN",-0.956905776026363,8.00825879238812,3.54216413379321,0.060774700408158,1
"PPP1R14A",1.24569755690197,9.57567095527778,3.56537512245803,0.0611662477533409,1
"CFD",1.04436764939253,9.73869859323837,3.50857413548541,0.0640056157995837,1
"PLTP",0.952925776223137,8.37783962617841,3.44414918485666,0.0644358487326629,1
"TAF10",0.791449366771228,9.36343417159336,3.40556922974948,0.0659411423508756,1
"HPCAL1",-0.764830081457879,9.0456134122162,3.40264719656465,0.0660566798649482,1
"UPP1",1.49446525980719,7.50153876241631,3.39924572469571,0.0661914481829399,1
"CDHR5",4.59862904522183,7.51458050539794,5.07985109664378,0.0665483541187477,1
"UBE2E1",-0.732804245215844,8.24194832020242,3.34735089606396,0.0682845837584252,1
"LAMB3",4.19039001722403,7.64095889134876,3.34493220989451,0.0683902428606093,1
"COMMD6",-0.643428263216277,8.57693097259412,3.34313024382991,0.0684579204515135,1
"UBD",-0.841773748673072,8.74943522137207,3.33169035447597,0.0693969533631235,1
"CLDN1",4.11450289447769,7.58971744696799,3.29603232932379,0.0704310182393719,1
"PLIN2",-0.96858358945542,7.79325312626511,3.29185477759132,0.0706019528028717,1
"DUSP1",0.837562818136027,8.67777752838709,3.24737882567619,0.0725202561823128,1
"CYTH2",1.05581709745767,8.56737333164882,3.23505362462901,0.0730617420884335,1
"ZEB2",0.81005626444204,8.6655586120593,3.23305346776763,0.073150025773924,1
"CRYAB",0.971189274304633,8.69780744111069,3.19684476064575,0.0747682767654606,1
"KRT5",4.42353153084215,8.82149520884499,3.17848109342516,0.0756234867567899,1
"TRIM28",1.00846230749789,9.68017622773234,3.16443034112376,0.0762497598023521,1
"UBR4",0.925358825469926,8.5089406705807,3.15878456946429,0.076511023701183,1
"GREM1",0.966755712919599,7.5234600836147,3.15459713514963,0.0767054263183149,1
"RALA",-0.814807090661243,7.81420819130593,3.15167004676199,0.0768416340537604,1
"CRIM1",0.825094316481531,8.93174886579279,3.09540714338277,0.0795112301839728,1
"CTNND1",1.09556753031225,8.10642112141466,3.08872565805866,0.0798348653568143,1
"PSMA7",-0.745014978767133,9.35878141540405,3.0881120367587,0.0798646591465933,1
"IGFBP1",1.53840437819337,6.44841355684596,3.4596562942333,0.0800463673461208,1
"OTUB1",-0.703443758911302,8.88783969535032,3.03822470767153,0.0823276716831136,1
"LRP1",0.871646222881138,9.06269886489428,3.02061810084983,0.0832223361164669,1
"LAMA5",1.18998811704863,7.99174163990621,2.98541465408725,0.0850250614453497,1
"ANP32B",-0.643274467264935,8.37980773133451,2.98303737599255,0.0851487227825242,1
"CTSH",-0.632893835468486,8.60442697931152,2.97056038261862,0.0858009648732713,1
"HSP90AB1",-0.598712037269314,9.5357947911143,2.94963117935439,0.0869072828458161,1
"TKT",-0.735555920338523,8.68882942449149,2.92869082836795,0.0880297398987294,1
"RBM3",-0.587243295793299,10.7712388613957,2.90111367748893,0.0895320955486164,1
"ZDHHC20",-0.704972460227802,9.08968060595594,2.89126000384642,0.0900756626053508,1
"NFKBIE",-0.880690861079329,8.89575309104119,2.87953979345864,0.090849192041623,1
"DNM2",-0.746768248740077,8.059496150975,2.82873772432932,0.0936096581579816,1
"PSCA",4.12960880540089,6.02657421042745,4.8597452645787,0.0953335136159001,1
"SYT8",4.11349980500848,5.71765708145614,5.29458151646653,0.0960527394335857,1
"SLPI",4.99341005793091,8.66261343264567,2.83557994634486,0.0960837363565237,1
"C19orf33",1.34846731993756,7.75149147890745,2.77615192520472,0.0966994378586977,1
"IGHJ2",1.37272455546113,9.17644199762768,2.80638123592373,0.0967907233102982,1
"OAZ2",-0.774810427879664,8.62770837402397,2.7735833133306,0.0968531940346827,1
"GALNT14",1.4245394568315,7.12852668424661,2.73489649298607,0.0992016656029011,1
"PORCN",4.05456755074362,6.12898156175894,4.36353051824419,0.0996128524049595,1
