"","logFC","logCPM","F","PValue","FDR"
"KRT16",-3.83876095545775,9.17318315389479,136.491225832797,5.57513352364472e-24,9.02056604125716e-21
"LAMC2",-3.60527743308242,8.40950717555953,116.601513481387,3.00312839482525e-23,2.42953087141363e-20
"PRB3",-5.68259458531461,8.40359464914984,104.518723844591,2.75673985314105e-21,1.48680169412741e-18
"KRT5",-2.95903037835528,8.82149520884499,98.8643582745983,2.52377293643306e-20,1.02086615278717e-17
"PRB4",-5.10333306657169,8.76423749975981,94.8558303010836,1.56664984011351e-19,5.06967888260732e-17
"S100A2",-3.43849231566866,10.7193947114719,114.107821062228,1.06483497479181e-18,2.87150498202192e-16
"PPP1R14C",-2.96037239727128,8.44422054650856,87.5100078072358,1.89391443193259e-18,4.3776479298099e-16
"CYP2S1",-3.21149378654993,7.9878996361458,78.0387041268283,7.99446691907249e-17,1.61688093438241e-14
"LAMB3",-3.65666702683169,7.64095889134876,75.9315605610052,1.92012957523127e-16,3.45196628080466e-14
"KRT14",-3.53862923580182,8.0863396759738,83.8423156965259,3.40579271461694e-16,5.51057261225021e-14
"CLDN1",-3.21765998054568,7.58971744696799,72.6547447306766,7.29094498201617e-16,1.07243172553656e-13
"ITGA3",-2.67457646185707,8.61213403461321,69.5967217468139,2.50955971639948e-15,3.38372301761197e-13
"COL7A1",-3.01593398585962,7.69233253724242,67.390545179493,6.26161215185045e-15,7.79329881668772e-13
"MT1X",-2.48495267605823,8.88790072198831,65.079668822776,1.6418503417223e-14,1.89750989493334e-12
"PKP1",-2.76297761849273,7.70892525008355,62.6998445424453,4.53714663256781e-14,4.89406883432981e-12
"PERP",-4.46798280946452,6.63390560766905,60.9396215798937,9.38551091234547e-14,9.49109791010936e-12
"IFI27",-2.41197664951982,8.75604164923308,59.9472751149371,1.42993537898498e-13,1.36096202541041e-11
"COL17A1",-3.3904352744341,6.88408988616366,56.8110382575149,5.53360866402817e-13,4.94146739673541e-11
"VSNL1",-3.80360053022226,6.28911929968723,57.058693081422,5.80271202336049e-13,4.94146739673541e-11
"UCHL1",-2.60390316038366,8.94280240577734,54.419018672778,2.50731521951039e-12,2.02841801258391e-10
"FAM83A",-3.61704901478275,6.22085566905588,52.9595062834636,3.28386870277799e-12,2.53014264814038e-10
"PLS3",-2.59277442427632,8.08830837865489,51.5012645799994,5.42107389659348e-12,3.98695343849466e-10
"CST1",-3.53411606681411,6.19223052064604,50.9205196354499,8.01463047298393e-12,5.63811830664696e-10
"S100A9",-2.62984859027715,7.93765405750814,50.4964379542442,8.40753885407633e-12,5.66808244412312e-10
"HMGA2",-3.55997049813131,6.28638124944404,50.6852122706836,8.87268820701305e-12,5.74240380757885e-10
"PDPN",-2.94505462054226,6.92253054187121,50.0153321764237,1.03784700601201e-11,6.45860175279783e-10
"ITGB4",-2.69543128870943,7.52247130758601,49.3591247968243,1.38392296614955e-11,8.29328651566658e-10
"GJB3",-3.68409834717645,6.02597942948432,49.4642847296561,1.70006437327594e-11,9.82394341414454e-10
"PTPRF",-2.46782214836261,7.89384712692703,48.3470081069064,2.15967500148014e-11,1.20494970772237e-09
"EGLN3",-2.65142060016259,8.05932450947618,48.2405382725138,2.26337522404709e-11,1.2207137041694e-09
"DDR1",-2.19230775740135,8.67049275001794,48.1451773583266,2.36050776908196e-11,1.23203276463697e-09
"KRT13",-3.66725856101174,7.33134312229406,47.8880505211746,2.64386170679718e-11,1.33680257549933e-09
"S100A8",-2.52937857425237,8.08504757713643,49.0308030560515,2.81852060879265e-11,1.38192919546258e-09
"AGRN",-2.19289760671579,8.39377327812223,46.8059949686513,4.40256223743016e-11,2.09510167651824e-09
"MT2A",-1.99579294467813,10.4995310900248,46.6463436225745,4.57688053270261e-11,2.1158264862608e-09
"SERINC2",-3.21370421301593,7.63757346104796,46.4127074391992,5.07598667933397e-11,2.28137401310066e-09
"NDRG1",-2.6079966776049,8.24414556899325,45.7385601581573,6.84567426801874e-11,2.99359485558225e-09
"FXYD3",-2.19645466416519,8.04452117398963,45.2583797193349,8.47447525960083e-11,3.6083423605353e-09
"FAM83B",-2.96550082887928,6.60428210495919,43.8478267132567,1.58950572718755e-10,6.51371911653892e-09
"SHISAL1",-3.57596671571545,6.10213172580727,43.8187274955215,1.61031374945338e-10,6.51371911653892e-09
"KRTDAP",-3.64983187188363,6.80504811680461,43.7176208561623,1.87114242808549e-10,7.38416694790811e-09
"MT1E",-2.48563338231827,8.17973161702538,43.0900839882475,2.2311299908992e-10,8.59516267922596e-09
"TRIM29",-2.42212708728178,7.28307404350534,42.6717577794077,2.71463751901994e-10,1.02146128041262e-08
"GRHL3",-2.50874860675952,7.5831190102795,42.5663563068915,2.82180054493118e-10,1.03765301856788e-08
"TACSTD2",-2.69275678971542,7.53144068221914,42.1988546200686,3.41747019847626e-10,1.22877039580769e-08
"TGFBI",-2.26467475643733,9.66662168431589,41.00444186116,5.69897197745769e-10,1.99749648917543e-08
"CDH3",-2.83291508165777,6.7576369765343,40.9645962581182,5.80236928252441e-10,1.99749648917543e-08
"CELSR1",-2.04274666074484,8.07438018861584,40.5097863660629,7.12546471470967e-10,2.40187539758338e-08
"HEPHL1",-2.92971228683937,6.48805820128559,40.3129077645026,8.45431094205394e-10,2.79164798045781e-08
"IFI6",-1.89327672014751,10.2234985150829,40.644082064298,1.05670708173394e-09,3.41950411649102e-08
"CDH1",-2.36792587677095,7.62252740618981,38.9879120966177,1.45314270672422e-09,4.61016646956821e-08
"GPC1",-2.39496968640112,7.49547781184306,38.7349000879047,1.62982428330146e-09,5.07126094304184e-08
"ITGB6",-2.78123909557039,6.94561618963888,38.5485687444619,1.74663452502547e-09,5.33217860658719e-08
"FST",-2.57669436253963,6.93332332444716,38.4895650054777,1.79413739232763e-09,5.37576722367796e-08
"UCN2",-2.81476006364016,6.45917231090722,38.3499813960129,2.06252149139529e-09,6.06756322377743e-08
"GJB2",-2.90779567408435,6.78803144976497,37.934590018541,2.29386691002297e-09,6.62763689360207e-08
