"","logFC","logCPM","F","PValue","FDR"
"HILPDA",-2.96377851490392,7.750382998166,60.305957723151,1.227891592254e-13,1.02416836100545e-10
"NR1H4",-3.38888358885097,7.22219823618062,60.2340194989001,1.26596830779412e-13,1.02416836100545e-10
"SERPINA1",-2.55580409546915,8.35181499223673,58.7463813507259,2.38412794229704e-13,1.2858396702122e-10
"SERINC2",-3.20636617330295,7.63757346104796,54.2241268331582,1.66204633896639e-12,6.72297744111905e-10
"TGFBI",-2.07922749460668,9.66662168431589,49.2440285542548,1.45565869405463e-11,4.71051153396079e-09
"PDZK1IP1",-2.18056178849677,8.89374011461178,47.445995883435,3.21348525388318e-11,6.57209709232185e-09
"VEGFA",-2.28849947532226,8.53771758440914,47.4441652068982,3.21608475464323e-11,6.57209709232185e-09
"SPP1",-2.18158430915293,8.56522720747505,47.4207703657111,3.24949176381797e-11,6.57209709232185e-09
"FRMD4A",-3.77941913668544,5.9262640892894,46.410020585825,5.08203456782346e-11,9.13636881193151e-09
"ANGPTL4",-2.50340458218728,7.65461803502383,45.8730278805011,6.4488750649798e-11,1.04342798551373e-08
"CA12",-2.45932223675205,7.6716965182377,45.4349166851582,7.83458917015983e-11,1.1523968433926e-08
"IGFBP3",-1.92968717602947,9.54643973329283,44.0928112391872,1.42472207563672e-10,1.92100026531684e-08
"PCSK6",-2.67764734610134,7.59402330720436,43.6715663600496,1.71982432765944e-10,2.14051981704075e-08
"KRT18",-2.3731886455919,7.65100003682149,42.9538021922538,2.37164650454356e-10,2.67280089802791e-08
"DHRS2",-3.02589581184985,6.73963408729645,43.0618756639906,2.47787475095294e-10,2.67280089802791e-08
"KRT13",-3.30199652082103,7.33134312229406,39.2758591055046,1.24606972443544e-09,1.26008800883534e-07
"CMC4",-2.72436894479068,6.72066407076771,37.0146502191691,3.49192966723016e-09,3.32349541269318e-07
"LOX",-2.49643145783654,7.29835814735384,36.7688112028272,3.90783133693259e-09,3.51270616842052e-07
"TMEM91",-2.53203313943825,7.34166543707099,35.8698971426791,5.90196919091849e-09,5.02599271100322e-07
"TM4SF18",-3.03808485524572,6.52995756919213,35.4599607965306,7.12602783944790e-09,5.76495652211335e-07
"ATP1B1",-1.78613783200167,8.8308631874259,35.0754762886386,8.50602677395954e-09,6.55369110488883e-07
"PREX2",-2.6340318937391,6.76940240030252,34.7317489374409,9.96661229874088e-09,7.32999031789215e-07
"SPINK1",-2.45812817392414,7.0428460676694,33.3272812017871,1.9083316521459e-08,1.34246983181394e-06
"PPP1R1A",-2.22153687573166,7.57695053823838,33.2817065689915,2.06559270632173e-08,1.3925537495119e-06
"KCNJ16",-2.10255990753689,7.52228066846651,33.0552607797847,2.16502475873267e-08,1.40120402385178e-06
"GPX2",-3.18047817600097,6.58401655076711,32.9659209687569,2.38922375289641e-08,1.48683232007169e-06
"ENPEP",-2.44198049980126,7.05381336537196,32.2638463131649,3.12782418617478e-08,1.87437760490029e-06
"HAVCR1",-2.25999643407018,7.61040526202654,32.1689462520823,3.28604324493947e-08,1.87957211775273e-06
"EGLN3",-2.16067672379891,8.05932450947618,32.1044614987139,3.36882518015014e-08,1.87957211775273e-06
"CYB5A",-1.79331000555701,8.35686112587156,31.8598096542309,3.7757057909545e-08,2.03636398992146e-06
"NDUFA4L2",-2.8143673400614,6.82950451977005,31.8664849027589,3.93510803234307e-08,2.05387251494551e-06
"CD52",2.43551684107114,9.44100083411712,31.8920009879761,4.24046361575138e-08,2.14408441571429e-06
"S100P",-2.68927623601154,6.53304758415649,30.8968353892292,5.92056650242678e-08,2.90287169725046e-06
"ANXA4",-1.81209187127288,7.9377285505385,30.6685190418588,6.58854883955989e-08,3.13537412423762e-06
"GRHL3",-4.45527617120919,7.5831190102795,30.2666399449551,7.95443236610097e-08,3.67722044810039e-06
"PLIN2",-1.99438680367689,7.79325312626511,29.8774495325016,9.54922079830252e-08,4.28745100201203e-06
"SCD",-2.00742826600741,8.22902997740142,29.7943355200916,9.92958772300743e-08,4.28745100201203e-06
"DDIT4",-1.84819788899588,9.1542836691616,29.7645864514029,1.00694152086809e-07,4.28745100201203e-06
"KHK",-2.11907135117355,7.42465542984682,29.4112678804595,1.18901137079056e-07,4.93287281522853e-06
"CDHR5",-2.22031140772014,7.51458050539794,28.9526566911145,1.4821051964799e-07,5.99511551976122e-06
