"","logFC","logCPM","F","PValue","FDR"
"LAMC2",-4.18456078629006,8.40950717555953,127.973038024729,4.99216703090808e-25,8.07732625600928e-22
"KRT16",-4.1773181844695,9.17318315389479,138.929860410784,2.75686339695629e-24,2.23030248813764e-21
"KRT5",-3.74850927279185,8.82149520884499,111.916270910211,1.92375424298196e-22,1.03754478838161e-19
"S100A2",-4.15193606133592,10.7193947114719,135.95464702175,6.14848734189248e-21,2.48706312979551e-18
"COL7A1",-4.26256757320537,7.69233253724242,96.4099997491307,5.78059352582742e-20,1.87060006495775e-17
"CYP2S1",-4.35470728730795,7.9878996361458,93.8203478864528,1.56863421642834e-19,4.23008360363508e-17
"CLDN1",-4.43525259572179,7.58971744696799,92.2560659354705,2.97187171982423e-19,6.86926920382229e-17
"PKP1",-4.9691601130952,7.70892525008355,86.9695535346517,2.34206479156109e-18,4.7368260409323e-16
"LAMB3",-4.26201029995888,7.64095889134876,84.7092029054152,5.71246021544074e-18,1.0269734031759e-15
"TRIM29",-5.81835848576382,7.28307404350534,79.2746763971003,4.98412264451871e-17,8.06431043883128e-15
"PPP1R14C",-3.02229409141397,8.44422054650856,78.1134557815782,7.9511430044136e-17,1.16954085283102e-14
"KRT14",-3.96178058487843,8.0863396759738,85.03365287436,2.31226585317025e-16,3.11770512535789e-14
"ITGA3",-2.98285857481023,8.61213403461321,73.4309894530451,5.19243023352332e-16,6.46257855218517e-14
"TACSTD2",-5.18665776487918,7.53144068221914,68.2761039212876,4.61111688241549e-15,5.3291336541059e-13
"MT1X",-2.7376142871187,8.88790072198831,67.6501633120844,5.62117447803599e-15,6.06337353697482e-13
"CST1",-5.46883253339337,6.19223052064604,67.390469818175,7.83485014948351e-15,7.9229922136652e-13
"GJB3",-7.02149091480925,6.02597942948432,67.2713050545206,1.01144068501491e-14,9.6265354609066e-13
"S100A8",-3.34038153095276,8.08504757713643,68.1766035665425,1.22815309736667e-14,1.10397317307738e-12
"HEPHL1",-4.55427037030642,6.48805820128559,64.4496876766593,2.57859754386862e-14,2.19587938209443e-12
"S100A9",-3.21363703982795,7.93765405750814,60.9855505833612,9.20465888920177e-14,7.44656904136423e-12
"TGFBI",-3.13114631401323,9.66662168431589,58.3622508561506,2.80875602763669e-13,2.14766704824496e-11
"FAM83A",-4.23081232752305,6.22085566905588,58.6440312922922,2.92019005323789e-13,2.14766704824496e-11
"FAM83B",-4.19249513949865,6.60428210495919,58.1081106763614,3.13079629131526e-13,2.20244713015134e-11
"DDR1",-2.65181606106008,8.67049275001794,56.3208045446385,6.73301557844041e-13,4.53917466913191e-11
"GRHL3",-3.61848224106414,7.5831190102795,56.1617015090942,7.2094254051527e-13,4.66594012221483e-11
"CDH3",-3.73612153261311,6.7576369765343,55.1775764255732,1.10122003015848e-12,6.85297695690933e-11
"PDPN",-3.5198195059351,6.92253054187121,54.9945341356284,1.19166283319564e-12,7.14114986707607e-11
"IFI27",-2.61087566289704,8.75604164923308,54.8405078470439,1.27354304609511e-12,7.35925945922102e-11
"IFI6",-2.41166037141356,10.2234985150829,56.4538726487141,1.42589901246208e-12,7.95553311090914e-11
"HMGA2",-4.1420268256379,6.28638124944404,53.7271150642872,2.39705557654736e-12,1.29281197428454e-10
"EGLN3",-3.0620450873347,8.05932450947618,53.1923434742077,2.59831949845145e-12,1.35615514467563e-10
"SERINC2",-3.8912759783007,7.63757346104796,51.8411636473339,4.67469571813262e-12,2.36364302248081e-10
"TUBB6",-2.68151559702259,8.1419995641877,50.7444854976947,7.54338215727627e-12,3.69854313044637e-10
"VSNL1",-4.1041938161552,6.28911929968723,49.6173704628097,1.40911654144863e-11,6.70573695312909e-10
"UCN2",-3.58156833612757,6.45917231090722,49.0377156634947,1.81258594575076e-11,8.37932588635635e-10
"SLC2A1",-2.55990196810813,8.39733227805959,48.4222803559669,2.08926090158955e-11,9.39006705214415e-10
"APP",-2.11846459007824,10.4859828151947,46.2727158614741,5.40095795170816e-11,2.36182431509832e-09
"FXYD3",-2.60376171313439,8.04452117398963,45.7105376132034,6.93141414883898e-11,2.95132318232144e-09
"GJB2",-3.65631024425233,6.78803144976497,45.430128756,7.85128449693730e-11,3.25727649129348e-09
"ADAM9",-2.20299649798712,9.82544827544927,44.9484783686365,9.72781722891944e-11,3.93490206909791e-09
"NDRG1",-2.74621771216561,8.24414556899325,44.4666160235293,1.20580971169538e-10,4.75853686225152e-09
"COL17A1",-3.03209336510877,6.88408988616366,44.4004088147707,1.25345008872522e-10,4.82876724656525e-09
"MT2A",-2.11332361339913,10.4995310900248,43.9368762102031,1.52749651285132e-10,5.74764966928705e-09
"HSPA1B",-2.28666964653243,8.69430822555651,43.414943508461,1.92905595186675e-10,7.09366484118274e-09
"AGRN",-2.3380279899456,8.39377327812223,43.4069716161771,1.9906116783837e-10,7.15735487916628e-09
"F3",-3.18954669549138,7.38730165247421,43.0942584532068,2.22696079593624e-10,7.83309253874963e-09
"PTK7",-2.47294164518937,7.79096693335588,42.6943270580787,2.68730919495354e-10,9.25120484560601e-09
"MMP14",-2.11876435847365,9.20528418993029,42.3927644263842,3.05052588596365e-10,1.02828143406025e-08
"RAB25",-3.20932455030558,7.61614699583747,41.3248089400718,4.93230872303852e-10,1.62866847221966e-08
"KRT7",-3.14604740760947,7.63874986298814,41.1560448867709,6.12080407115541e-10,1.98069219742589e-08
"FST",-2.95114186264185,6.93332332444716,40.5664105069876,7.00009219984839e-10,2.16318216767473e-08
"PTPRF",-2.5422457946934,7.89384712692703,40.5487045950601,7.00122803227565e-10,2.16318216767473e-08
"ALDH3A1",-3.54252822112884,7.54925366089737,40.5394535688648,7.08582539473179e-10,2.16318216767473e-08
"FN1",-2.07673569163315,10.9009858125072,40.4411096464768,7.35014187491885e-10,2.20232028770717e-08
"ADM",-2.59252285397664,7.93435149386145,38.8041654118997,1.54384785689338e-09,4.54171969536999e-08
"LAMA3",-3.40848716183454,6.91369703450395,39.6352650951306,1.67956899857175e-09,4.85275471373051e-08
"CDH1",-2.67611188346069,7.62252740618981,38.4271886238465,1.87416122888619e-09,5.31998748831201e-08
"CSAG3",-3.2832757595213,6.19055408629989,38.5073282771074,1.92112128311402e-09,5.35926592427326e-08
"UCHL1",-2.32019255080351,8.94280240577734,38.6491554063577,2.17211376580928e-09,5.95674588657529e-08
"CLCA2",-3.3104047818568,6.23473891811062,37.2147783238431,3.27728162209811e-09,8.72615459572595e-08
