"","logFC","logCPM","F","PValue","FDR"
"SERPINA1",-3.34521260762939,8.35181499223673,38.8444830365212,1.51580773856684e-09,2.45257692100115e-06
"DHRS2",-4.22352454106875,6.73963408729645,36.0708129523116,5.7554624519688e-09,3.90779509440492e-06
"CD79A",3.0855318156507,9.6837143873505,35.4237946058959,7.24560277083731e-09,3.90779509440492e-06
"CD52",2.91795087297631,9.44100083411712,31.8300012648392,4.36283385899086e-08,1.7647662959618e-05
"SPINK1",-3.93875987052735,7.0428460676694,28.8599066844689,1.54180656653398e-07,4.98928604930395e-05
"CMC4",-4.08589787989411,6.72066407076771,27.5107307623887,2.91889134081854e-07,7.04794726463081e-05
"EGLN3",-4.94338894339077,8.05932450947618,27.4186959688963,3.0491737238823e-07,7.04794726463081e-05
"ANXA4",-3.37865658955819,7.9377285505385,25.8090215199697,6.56211430951849e-07,0.000123641759300843
"PSCA",-6.89823268696666,6.02657421042745,25.7179731354503,6.87747734059076e-07,0.000123641759300843
"S100P",-3.61578092466418,6.53304758415649,25.4676449213711,7.72553471831081e-07,0.000124999151742269
"KRT13",-4.02541447869198,7.33134312229406,24.7821297600679,1.0729707465891e-06,0.000157824242543742
"IGFBP1",-3.92810685379788,6.44841355684596,24.374777429146,1.34857839366151e-06,0.000168720661361426
"CD37",2.77210158932109,10.8133940058706,24.6389543102136,1.38339652152939e-06,0.000168720661361426
"ATP1B1",-2.98537503455311,8.8308631874259,24.1413877383905,1.45988211313965e-06,0.000168720661361426
"TGFBI",-2.2685947402846,9.66662168431589,23.8582140774893,1.67317236410823e-06,0.000180479525675141
"FXYD2",-3.78394663834647,8.41603007513132,23.1387239722781,2.36785670444204e-06,0.000239449509236701
"STC1",-4.12334023668857,6.63307485298741,22.8440285177478,2.73067914269822e-06,0.000259896403110925
"PTHLH",-7.32455324389827,7.34308597268007,22.4653572959504,3.28940179270866e-06,0.000295680672255701
"VEGFA",-2.65802092968099,8.53771758440914,21.9950922660355,4.12198491292593e-06,0.000351019557321798
"HMGCS2",-6.48332829131153,5.98272178584597,21.2032585002107,6.07589692202293e-06,0.000491540060991655
"FCMR",2.55404268523143,8.96740046041751,21.0442588979829,7.28121093497053e-06,0.000560999966322968
"AQP2",-6.69297178188183,6.45026455794559,20.3110742240313,9.62454290651926e-06,0.000703025495280235
"NR1H4",-3.68890398441341,7.22219823618062,20.180956994393,9.99356390076971e-06,0.000703025495280235
"SYT8",-6.36724786141246,5.71765708145614,21.0662877818769,1.10405565645573e-05,0.000744317521727235
"ANGPTL4",-2.87526714200471,7.65461803502383,19.596100455354,1.33185915017107e-05,0.000861979241990714
"LTB",2.83892950317091,11.3898395888144,19.646724142156,1.73366411621234e-05,0.00104916143809605
"SPP1",-3.24430090501668,8.56522720747505,18.9217788281628,1.85672164039075e-05,0.00104916143809605
"ENPP3",-3.93405189722529,6.51252433296396,18.898107738695,1.87854306476532e-05,0.00104916143809605
"HSF4",-3.67166785621868,8.20440540188322,18.8960523391532,1.88045004355904e-05,0.00104916143809605
"PDZK1IP1",-3.56129807514357,8.89374011461178,18.393268620075,2.41099625618483e-05,0.00128868566929744
"UPK1A",-3.26514902030493,6.10098596609275,18.3247039819634,2.49424055359406e-05,0.00128868566929744
"LTF",4.79417347704331,8.66654894036242,19.9730350653827,2.55689535628984e-05,0.00128868566929744
"CRYAB",-2.44334656341961,8.69780744111069,18.2049057001985,2.64672559820998e-05,0.00128868566929744
"KRT8",-2.49745982605317,8.74762442029955,18.1702710250157,2.70799213573009e-05,0.00128868566929744
"IGFBP3",-1.99812078797733,9.54643973329283,18.0630636786925,2.83950984637045e-05,0.00131266483755068
"CDHR5",-6.81894045294197,7.51458050539794,18.0028034530895,2.93088630545497e-05,0.00131727056728504
"C19orf33",-3.20384940400959,7.75149147890745,17.810477550072,3.21867524931774e-05,0.00140751798740435
"PROS1",-2.54539064553261,8.02535811815206,17.0577765869661,4.68110649238e-05,0.00196779874534089
"SCD",-2.45269308315919,8.22902997740142,17.0313764724999,4.74314901534578e-05,0.00196779874534089
"RAC2",2.06496354545291,8.93042727355377,16.9731376302333,4.88297348240999e-05,0.00197516277363484
"NETO2",-3.17492788780326,7.14510353310849,16.6105990362557,5.85229333298524e-05,0.00230951478360247
"ELF3",-3.79749036117723,7.96596892441763,17.1201678925636,6.16917807339327e-05,0.00233110104319162
"PGF",-2.3907339447733,8.48711040758697,16.4967771870888,6.19513874272187e-05,0.00233110104319162
"ACTG2",-2.75475581302453,7.29300212394074,16.3638524462684,6.62135537947705e-05,0.00238684438685807
"CYP24A1",-6.09770551173665,6.08183034138326,16.4059282665873,6.63831875207746e-05,0.00238684438685807
"GPX2",-3.22755436216005,6.58401655076711,16.2252298934667,7.20963050674928e-05,0.00253590916520007
"FRMD4A",-2.7031330071911,5.9262640892894,16.1140169912034,7.50447114994457e-05,0.00258345411076815
"DEFB1",-3.10917279685539,6.9991586297004,15.7659119246533,8.9375568871968e-05,0.00296631610299391
"EYA1",-3.43767043449613,6.11113392602542,15.755758822751,8.98328115245374e-05,0.00296631610299391
"POU2AF1",2.05355856341354,9.53893778661995,15.7031470852323,9.2645522760989e-05,0.00299800911654561
"DUSP23",-2.58152471039115,8.18311373224192,15.6208171747957,9.61397044277341e-05,0.00305007925027596
"UMOD",-7.53718706281665,5.95537083007378,19.2515730667349,0.000102281015847844,0.00318251314695792
"KCNJ16",-3.70854027639348,7.52228066846651,15.3706184416545,0.000109045057088972,0.00332896042207464
"SMTN",-3.95005803706524,7.81434543950672,15.2870500016833,0.000113735665759792,0.00336746707412752
"PLVAP",-2.6422639852866,7.61246843269755,15.2743027687624,0.000114468905486411,0.00336746707412752
"LIMD2",1.93065287844208,10.1551728270155,14.8581252059329,0.000141231349613714,0.00407067375110592
"HILPDA",-2.37090262265659,7.750382998166,14.8279217008999,0.000143404452294831,0.00407067375110592
"TRBC1",1.96552856954793,10.2703171408455,14.8488540026003,0.000153497469653584,0.00426306985370256
"ALDOB",-3.31866027900303,5.79238366418539,14.7193623909046,0.000155451867347621,0.00426306985370256
"CD151",-2.97762310687858,8.09229520759444,14.5957087435935,0.000161284257516064,0.00434929881101653
"IGHD",3.52589809834117,9.25168107624166,15.6058490921426,0.000164054196558278,0.00435147032838187
"MGST1",-2.54540107408538,7.53450435013796,14.4603087633375,0.000172736057426513,0.00450785388574352
"PTPRC",2.07025185148148,10.7365113628673,14.4500583229498,0.000184668188291718,0.00474274807390476
"KRT7",-2.94621924922503,7.63874986298814,14.2435799397581,0.00019677320680504,0.00497467263453992
"ID1",-2.04029687594493,8.77657822294988,14.1477718058702,0.000202419663302272,0.00503869254189348
"INSR",-2.62024370307713,7.68815299860595,13.9817626911442,0.000220239005286488,0.00539919258414451
"PREX2",-2.50291412345337,6.76940240030252,13.9431436894603,0.000224607524228646,0.00542410409256641
"GPX3",-2.12739971419668,8.98826485870426,13.7755823381015,0.000244602920723749,0.00575154659565573
"ADM",-3.25315946013334,7.93435149386145,13.7701857478973,0.000245276090914861,0.00575154659565573
"ADGRF1",-6.14156268074559,6.73189898286967,13.6565516653748,0.000261073102837504,0.00597152604141601
"ADAMTS1",-2.50738608099873,7.44033394110515,13.6404402378327,0.000262038534573879,0.00597152604141601
"MT1E",-2.60784459459594,8.17973161702538,13.4434283775735,0.000289741612929635,0.00651113791277984
"CCL5",1.76812434849763,9.19402035332925,13.0592311647645,0.000352619472460496,0.00781559323891894
"CEBPD",-2.24723786503476,9.15389326004194,12.9538251187525,0.000372177467598351,0.00804070924556583
"TRIM29",-6.14149408524771,7.28307404350534,12.9529204734484,0.000372715199887168,0.00804070924556583
"SERINC2",-2.36908512278139,7.63757346104796,12.8879647840073,0.000384953092366465,0.00819544872959131
"GALNT14",-2.9036821442667,7.12852668424661,12.7584025000781,0.000411400082114887,0.0086447445826219
"KHK",-2.1905709015522,7.42465542984682,12.6478174329343,0.000435428624287118,0.00903235274482765
"ARHGAP45",1.84782225912799,9.91161846417769,12.5087061660411,0.000475628918519368,0.0097413619008144
"RGS5",-2.09832000867856,7.67110821419001,12.4258913357802,0.000488039206173351,0.00977125408202942
"DDIT4",-1.92016117351646,9.1542836691616,12.421405993592,0.000489166613500855,0.00977125408202942
"AKR1C2",-6.08239557967448,7.4055703099751,12.3645441739894,0.000504144466390424,0.00994763105633787
"NDRG1",-2.11523853310052,8.24414556899325,12.286915362414,0.000524228586106667,0.0102192994255492
"TRBC2",1.66840550382143,9.66929195505941,12.1702613631433,0.000556703042718529,0.0107231609895069
"CA12",-2.45992569174799,7.6716965182377,12.0370339177206,0.000596300467203112,0.0113507547757016
"MT1G",-2.51970553707751,8.02455595627062,11.919170460263,0.000635397005363243,0.011954329705555
"SNCG",-1.99639220577821,7.76667950564002,11.8593823139512,0.000653593825944895,0.0121553426480326
"TRAC",1.70812140641026,9.48352496253657,11.8036886632482,0.000677598331601828,0.0124585693242245
"GRHL3",-3.45520369103621,7.5831190102795,11.6867342043447,0.000714636166463334,0.0129919249139065
"CYB5A",-1.8055415697352,8.35686112587156,11.5587569993539,0.000763599022066155,0.0135903604255716
"TM4SF18",-2.60958371439953,6.52995756919213,11.5568527107562,0.000764352780424608,0.0135903604255716
"HAVCR1",-5.85361618658068,7.61040526202654,11.4997787599833,0.000787920683635798,0.0138571268056817
"LAD1",-3.40423058449519,6.92807741138351,11.3927701331075,0.000832224755716134,0.0143685856797783
"FOXA1",-5.8187608625893,5.80196836917508,16.174501489892,0.000834763321322101,0.0143685856797783
"SOD2",-1.72679312923057,9.29901842602772,11.2880731764399,0.000878704701051095,0.0149657284873755
"DUSP1",-1.80735580828731,8.67777752838709,10.879630342786,0.00108675123169523,0.0182875972722525
"CMBL",-2.20013570401635,7.57376236933576,10.8627575422048,0.00109635162880624,0.0182875972722525
"ITGB6",-5.83211885364681,6.94561618963888,10.7389322005321,0.00117031641539094,0.0193221628581891
"TCEA3",-2.37197714781976,7.35704094474836,10.6439138935414,0.00122898481181538,0.0200858325809826
"DES",-2.8326761227293,7.24805946014932,10.9855852507094,0.00125747910558436,0.0203460119283549
"MMP9",2.14940429117256,8.4695892609315,10.686210015375,0.00131534681871616,0.0210715955711163
"FOSB",-2.10750982226444,7.84110644196229,10.4620377397385,0.00135158330643349,0.0214304296472418
"HES4",-2.63117278350136,7.61330888947779,10.4442320283036,0.00136423625072059,0.0214304296472418
"CTNND1",-2.10103463817409,8.10642112141466,10.4139395834811,0.00138604026856642,0.0215635880244276
"CDCP1",-5.72256280976323,6.81651172765524,10.2343095203644,0.00152380743120305,0.023357716941878
"EGR1",-1.88102449928332,8.22429677971658,10.2250646229287,0.0015302336191836,0.023357716941878
"PERP",-2.65003796358992,6.63390560766905,10.1917221238876,0.00155723332017107,0.023395194224107
"ENPEP",-2.49334510190679,7.05381336537196,10.1863758200934,0.00156160752546574,0.023395194224107
"LOX",-1.99780389702786,7.29835814735384,10.08165940685,0.00164985419913519,0.024490496277071
"SERPINE1",-1.79929952057142,8.44902348304502,10.0569697334523,0.00167139099795719,0.0245846421335885
"STC2",-2.37224706124206,6.63933415819214,9.85040735146195,0.00186318794305187,0.0271589017284497
"SDC1",-2.34594612130851,8.77318840207934,9.77503793305227,0.0019386341007177,0.0279581323319402
