"","gene","logFC_ETLS_inRCC_vs_LSCC","FDR_ETLS_inRCC_vs_LSCC","F_ETLS_inRCC_vs_LSCC","sig","selected"
"1","IGFBP3",3.07538357795946,8.37400239898478e-15,94.2491974237792,"both","exclude"
"2","TXNIP",2.47193584249596,8.37400239898478e-15,92.8464617977507,"both","exclude"
"3","EEF1G",2.13936858784407,1.37956086923544e-13,83.1197622884673,"both","exclude"
"4","FXYD5",2.75105768308247,1.83503193951356e-13,81.4223492898206,"both","exclude"
"5","SELENOP",2.60596432054371,2.18093762229397e-13,83.319967975459,"both","exclude"
"6","B2M",2.468961658442,3.57696676168519e-13,79.2159375623223,"ETLS_inRCC_vs_LSCC","sig_TLS"
"7","GOLPH3",-2.06184022144512,3.74492573796288e-12,71.0985190270679,"both","exclude"
"8","FTH1",1.89925393020542,8.16615669161686e-12,68.5348758483074,"both","exclude"
"9","TARS1",-2.32629803727968,8.21710173322898e-12,68.1889850460406,"both","exclude"
"10","TYK2",-2.37762019719655,9.62546381408945e-12,67.4556061859128,"both","exclude"
"11","CRYAB",3.2201001466657,1.23684537182091e-11,66.2834588251997,"both","exclude"
"12","SRRT",-2.24556478956281,1.23684537182091e-11,66.2558007800674,"both","exclude"
"13","COX7C",1.77153971679335,1.73795748504603e-11,65.0978565213711,"both","exclude"
"14","AKR1A1",-1.93252109232788,2.46272049943109e-11,63.939232591342,"both","exclude"
"15","TOMM7",1.81488863700983,2.51251436314988e-11,63.6960167644451,"both","exclude"
"16","EIF4B",1.82037963380475,2.79634151293825e-11,63.2200156690332,"both","exclude"
"17","S100A2",-3.0946552559738,2.79634151293825e-11,67.6490294462324,"both","exclude"
"18","IL4R",-2.38346546822045,6.76124316476232e-11,61.6394511812919,"both","exclude"
"19","MDFI",-4.67702021467211,6.76124316476232e-11,60.4968760743524,"both","exclude"
"20","PFDN5",1.87247263590855,7.55498892453648e-11,59.9367674967381,"both","exclude"
"21","ANXA4",4.58912581707792,8.39011026690182e-11,59.5248695132646,"both","exclude"
"22","MT1G",4.20069011521901,8.63467015113914e-11,63.1025348594426,"both","exclude"
"23","RBM42",-2.25580580778968,1.12667722168525e-10,58.4941171757398,"both","exclude"
"24","CHCHD1",-2.13029374889328,1.25866689292233e-10,58.085802511967,"both","exclude"
"25","PCBP2",1.85701142362143,1.42741817299977e-10,57.642979351718,"both","exclude"
"26","ADAM9",-2.52454655264892,2.2088685293348e-10,58.3035777426592,"both","exclude"
"27","IGHG4",-5.07128506689384,2.86375096166888e-10,64.8932388501153,"both","exclude"
"28","UBXN6",-1.78879477505408,3.24372155319616e-10,55.1657704662103,"both","exclude"
"29","ARGLU1",-2.09413639488792,3.24372155319616e-10,55.085653991767,"both","exclude"
"30","CCNI",1.78485841272277,3.71823520305862e-10,54.6392363793844,"both","exclude"
"31","CD52",1.91777858242178,4.06970512695683e-10,54.6531304854508,"ETLS_inRCC_vs_LSCC","sig_TLS"
"32","LPCAT1",-2.91143664128758,4.13375748423343e-10,61.0256186321941,"both","exclude"
"33","MRFAP1L1",-1.94993066425421,4.13375748423343e-10,54.113337610501,"both","exclude"
"34","S100A14",-5.76733485962152,4.32040305369406e-10,61.8532346903688,"both","exclude"
"35","TGFBI",2.3745601359177,6.00982789674759e-10,56.1837536828064,"both","exclude"
"36","PNRC1",1.7108794071345,1.54841400674345e-09,50.472376631559,"both","exclude"
"37","CRELD2",-2.04088555809522,1.73061583127956e-09,50.787997027974,"both","exclude"
"38","PRRX1",-2.64426729302703,1.86540996880259e-09,54.5743989367658,"both","exclude"
"39","COL1A2",-2.67233513025194,2.46781949488913e-09,50.5499475304208,"both","exclude"
"40","LUC7L3",-1.84365922497103,2.48394212688697e-09,48.9962794844483,"both","exclude"
"41","COMMD6",2.0746660568811,2.64259554698596e-09,48.7499840429605,"both","exclude"
"42","PDGFRB",-1.81043948522878,2.64259554698596e-09,48.7147969823359,"both","exclude"
"43","AURKAIP1",-1.75871834542629,2.67779273573647e-09,48.6214136916137,"both","exclude"
"44","MIB2",-2.29977400066346,2.9028364155777e-09,48.3694904002794,"both","exclude"
"45","WIPF1",1.66220590598507,2.9028364155777e-09,48.3012792346023,"ETLS_inRCC_vs_LSCC","sig_TLS"
"46","MS4A6A",2.96331279288049,3.65875367593641e-09,47.6134343705785,"both","exclude"
"47","FTL",1.94464889681735,3.65875367593641e-09,50.1670023436691,"ETLS_inRCC_vs_LSCC","sig_TLS"
"48","ARMCX3",-1.93591553671641,4.03154246886285e-09,47.3073418139613,"both","exclude"
"49","PLAAT4",1.91085670625419,4.13850819835725e-09,47.1893004693869,"both","exclude"
"50","DIDO1",-1.73575215384732,5.85191398912201e-09,46.2671264417651,"both","exclude"
"51","PCOLCE",-1.84191392316938,6.77667508359965e-09,45.8497301497781,"both","exclude"
"52","ANP32E",-1.86700407182949,7.07131332056161e-09,45.6946077266067,"both","exclude"
"53","ETV3",-2.15551193947629,7.07934052677025e-09,45.6441197643256,"both","exclude"
"54","DSTN",2.26486010833937,9.88339733719112e-09,44.7647815642991,"both","exclude"
"55","SRP19",-2.67128317996116,1.076176701125e-08,47.2957220980486,"both","exclude"
"56","EIF2S3",1.83096372494656,1.41566079101223e-08,43.7821081253416,"both","exclude"
"57","CCL5",2.40827416673718,1.54726651093055e-08,48.3918338260685,"ETLS_inRCC_vs_LSCC","sig_TLS"
"58","CERCAM",-2.22018709600996,1.91328828497331e-08,42.950856817001,"both","exclude"
"59","TMSB4X",1.7960834467694,1.92209591086387e-08,42.897379137972,"ETLS_inRCC_vs_LSCC","sig_TLS"
"60","MAPRE1",1.83908347216559,2.49375060720768e-08,42.215228674424,"both","exclude"
"61","HLA.F",1.51652388013034,2.78646406262222e-08,41.8693269462957,"ETLS_inRCC_vs_LSCC","sig_TLS"
"62","TRADD",-1.95357145718959,2.78646406262222e-08,42.8007068675143,"both","exclude"
"63","HLA.DPA1",1.52573137538675,3.23908620589673e-08,41.4545100283394,"ETLS_inRCC_vs_LSCC","sig_TLS"
"64","FXYD2",3.60600599539847,3.63421287963536e-08,43.205466843568,"both","exclude"
"65","CDC123",-2.22461032762093,3.84343728684201e-08,41.7449232410857,"both","exclude"
"66","ARF3",-1.59353229431837,4.8734237257274e-08,40.3445514518321,"both","exclude"
