"","gene","logFC_SFL_TLS_inRCC_vs_LSCC","FDR_SFL_TLS_inRCC_vs_LSCC","F_SFL_TLS_inRCC_vs_LSCC","sig","selected"
"1","TXNIP",3.10114032381447,1.64443778870444e-09,59.7097797682269,"both","exclude"
"2","CCL5",4.90660109769246,2.61141142357023e-09,64.8148090359366,"SFL_TLS_inRCC_vs_LSCC","sig_TLS"
"3","SELENOP",3.30884270983415,1.35148443497031e-07,46.4898987867639,"both","exclude"
"4","CD52",2.73206831466415,2.26598604449719e-07,43.6703064147727,"SFL_TLS_inRCC_vs_LSCC","sig_TLS"
"5","TGFBI",3.30010346513366,2.47361954681122e-06,38.7047412500551,"both","exclude"
"6","FXYD5",2.58612534386195,3.54499304315475e-06,35.8073992952837,"both","exclude"
"7","COMMD6",2.41805791105452,6.3781074829944e-06,34.0575438919512,"both","exclude"
"8","CCNI",2.20033395088156,1.67345719128136e-05,31.0276822286975,"both","exclude"
"9","B2M",2.83723533366431,1.67345719128136e-05,31.153163534469,"SFL_TLS_inRCC_vs_LSCC","sig_TLS"
"10","EEF1G",2.27775530850538,1.67345719128136e-05,30.9828090704186,"both","exclude"
"11","IGFBP3",2.66861027530828,1.6853830039564e-05,30.7468123216707,"both","exclude"
"12","PNRC1",2.2124704724909,1.7347698852478e-05,30.4801514651283,"both","exclude"
"13","TOMM7",2.08859004677594,2.17198483281121e-05,29.7808580767942,"both","exclude"
"14","FTL",2.74695445933607,3.15812431801129e-05,29.7245272069704,"SFL_TLS_inRCC_vs_LSCC","sig_TLS"
"15","FTH1",2.20723035401049,3.73819540286974e-05,28.2177678072992,"both","exclude"
"16","PFDN5",2.0693056714418,4.42159098022349e-05,27.691622248151,"both","exclude"
"17","THOC7",2.36548933665105,6.88715918496777e-05,26.5572132020217,"both","exclude"
"18","RAP1A",2.14852271706301,9.09051440745279e-05,25.8080035427335,"both","exclude"
"19","CTSH",2.19323196294608,0.000164290753927147,24.3726284054831,"SFL_TLS_inRCC_vs_LSCC","sig_TLS"
"20","CD164",2.24869784169887,0.000199577234510926,23.8298315734088,"both","exclude"
"21","MDFI",-7.49754912911972,0.000202342661085744,23.7129188514429,"both","exclude"
"22","SRRT",-2.93681400482215,0.000251538179724971,23.111614311616,"both","exclude"
"23","UBB",2.09197111362926,0.000255608124145768,23.1616765421791,"SFL_TLS_inRCC_vs_LSCC","sig_TLS"
"24","C1QB",2.93619731477304,0.000336436139223704,23.4439533336589,"SFL_TLS_inRCC_vs_LSCC","sig_TLS"
"25","EIF2S3",1.97541274185532,0.000379336531209025,21.935136572169,"both","exclude"
"26","COX7C",1.78048479638151,0.000391399036311375,21.781820307901,"both","exclude"
"27","TRIM28",-2.75285502693384,0.000432420275737727,21.4835751726098,"both","exclude"
"28","MS4A6A",2.98978578297379,0.000489588902726305,21.1359400591808,"both","exclude"
"29","IGLC7",3.84086380033808,0.000600867344368279,21.9365881925496,"SFL_TLS_inRCC_vs_LSCC","sig_TLS"
"30","EIF4A2",1.73945333877047,0.000798227981961895,19.9347644463166,"SFL_TLS_inRCC_vs_LSCC","sig_TLS"
"31","CERCAM",-3.22544123579275,0.000817331363847875,19.8138195947906,"both","exclude"
"32","ADIRF",2.23664445736778,0.000836250061599405,19.6373324362842,"both","exclude"
"33","MEF2B",-2.58330190411404,0.000836250061599405,19.5974088097694,"both","both_TLS"
"34","NPC2",2.01624459647563,0.000836250061599405,19.6341585336598,"SFL_TLS_inRCC_vs_LSCC","sig_TLS"
"35","SSBP1",2.06733938121908,0.000880244813668985,19.3956951314842,"both","exclude"
"36","TRBC2",1.71698968908804,0.000956410308298749,19.1529414254932,"SFL_TLS_inRCC_vs_LSCC","sig_TLS"
"37","SERPINA1",3.23032875237295,0.000956410308298749,19.0495920340215,"both","exclude"
"38","IL4R",-2.73367459802988,0.000956410308298749,19.170749064638,"both","exclude"
"39","PPP1R1A",6.24587503984681,0.000962884176158592,19.1277989463745,"both","exclude"
"40","PCBP2",1.77781028712145,0.000973902384700537,18.8956368216207,"both","exclude"
"41","SERP1",1.85585958806258,0.00102854088350553,18.7271149279648,"SFL_TLS_inRCC_vs_LSCC","sig_TLS"
"42","WIPF1",1.75544225742294,0.00112627104625867,18.4833264035727,"SFL_TLS_inRCC_vs_LSCC","sig_TLS"
"43","TYK2",-2.48089340404306,0.00117528628848667,18.3431861538227,"both","exclude"
