"","gene","logFC_allTLS_inRCC_vs_LSCC","FDR_allTLS_inRCC_vs_LSCC","F_allTLS_inRCC_vs_LSCC","sig","selected"
"1","CRYAB",2.41313558186572,1.39195260460948e-06,30.8564108477926,"both","exclude"
"2","KRT5",-5.37291775771125,1.11800317335436e-06,33.3436668535552,"both","exclude"
"3","PKP1",-3.77533593279452,0.00900080049215658,8.80854867647478,"both","exclude"
"4","LAMC2",-3.21376182476138,4.63681989956606e-05,22.139282664569,"both","exclude"
"5","FXYD2",2.91069587287078,0.0175547862392643,7.36956577621214,"both","exclude"
"6","CYP2S1",-1.20246695354506,0.170106012771146,2.57328137801085,"par_inRCC_vs_LSCC","none"
"7","KRT16",-7.44751943463194,1.08204886999543e-05,28.6173363808704,"both","exclude"
"8","PRB3",-1.84776231070495,0.460700459120192,0.818634899723012,"par_inRCC_vs_LSCC","none"
"9","MUC5B",-1.38975391587764,0.465717970129576,1.05818404797196,"par_inRCC_vs_LSCC","none"
"10","CDHR5",0.0197394292373105,0.76863653329283,0.165649446046586,"par_inRCC_vs_LSCC","none"
"11","ANXA4",3.21079799060211,5.04688527290509e-05,23.4922204668004,"both","exclude"
"12","KRTDAP",-4.08598431635873,0.0104965646700846,8.58588907094326,"both","exclude"
"13","HAVCR1",0.808890113001109,0.893308976228643,0.0358106225055468,"par_inRCC_vs_LSCC","none"
"14","KRT14",-6.77079926921044,4.98335238147752e-05,23.7011225814382,"both","exclude"
"15","IGFBP3",2.87199692663387,4.48929566046749e-16,99.84900035155,"both","exclude"
"16","MDFI",-6.08728467189591,9.37556034223441e-12,66.2060405846363,"both","exclude"
"17","PPP1R1A",4.98206875734531,8.81370970457895e-08,39.4837217236867,"both","exclude"
"18","PI4K2A",-1.93929211585946,3.96547442036981e-06,27.9663292767141,"both","exclude"
"19","PRB4",-3.35965029083539,0.315740085608848,1.47179847262322,"par_inRCC_vs_LSCC","none"
"20","KCNJ16",1.77418873271125,0.170574159275968,2.86444865332656,"par_inRCC_vs_LSCC","none"
"21","HIPK2",1.62998159375169,7.04380048186449e-05,20.4138131932472,"both","exclude"
"22","S100A2",-2.93811759015769,6.48135168092134e-08,41.8689406723633,"both","exclude"
"23","PHGDH",-2.69387231839854,1.04820994719356e-05,26.7883337691568,"both","exclude"
"24","PLEKHG5",-1.85539497619179,4.49460699492487e-05,21.7972732639142,"both","exclude"
"25","FASN",-2.83422679630629,2.86321760260675e-06,29.558202719469,"both","exclude"
"26","COL7A1",-2.71553053756369,0.000371789195768352,16.2013341324163,"both","exclude"
"27","ALDH3A1",-3.91984417100204,0.00973751614517482,8.73777401024676,"both","exclude"
"28","IGHD",-1.566766659363,0.00438484600153258,10.7872976569751,"both","both_TLS"
"29","FEZ1",-2.79594465399725,2.53394214634075e-06,29.1791084234556,"both","exclude"
"30","PRR4",-0.994191315884092,0.404641221170926,1.20501902703639,"par_inRCC_vs_LSCC","none"
"31","SPP1",1.09561574038001,0.223359856129384,2.07811168666035,"par_inRCC_vs_LSCC","none"
"32","UCHL1",-3.61494995422512,1.57765767736508e-05,25.8415899302019,"both","exclude"
"33","CST1",-3.06676849599609,0.0977490009286984,5.38599234180349,"both","exclude"
"34","BHMT2",1.34987247098704,0.0938098717592145,4.6558824696976,"both","exclude"
"35","DAB2",1.94653414737464,1.85018472099655e-06,30.0114104918211,"both","exclude"
"36","RBM42",-2.20688427270377,3.10070805069108e-08,42.2799816626688,"both","exclude"
"37","CXCL14",0.76220792077065,0.0544350112316756,4.87832374252641,"both","exclude"
"38","RGS5",1.08064361362594,0.0141652164552604,7.75332051872158,"both","exclude"
"39","SERPINA1",2.91656161556484,5.494293282141e-09,47.1442958088829,"both","exclude"
"40","IGHMBP2",-2.29271100817446,2.71971268807513e-05,24.2645203815509,"both","exclude"
"41","CCL18",-5.69603438929189,1.46709594494682e-06,33.5415391803366,"both","exclude"
"42","IFI6",-2.09643914729621,2.15480528004076e-05,24.6950617071479,"both","exclude"
"43","PLIN2",1.62852256288096,0.000282976153007002,16.8555710531081,"both","exclude"
"44","GPX3",1.69232078021093,1.66674176439416e-05,24.0779645744736,"both","exclude"
"45","FSCN1",-1.13146828337707,0.0167377211452003,7.38948141502871,"both","exclude"
"46","GALNT14",2.0343903894953,0.0342122865738539,7.54025522669225,"both","exclude"
"47","ETV3",-1.88583530443139,1.11800317335436e-06,31.4174528909406,"both","exclude"
"48","SCGB1A1",-2.71742510871855,0.0943482544162853,4.03072872363126,"both","exclude"
"49","TYK2",-2.42925680061981,1.51512152512989e-09,51.1735319234069,"both","exclude"
"50","NR1H4",1.2784976232252,0.166266633814696,3.03489333110133,"par_inRCC_vs_LSCC","none"
"51","PSMD2",-1.11629069022523,0.00232892914935087,11.9167233375132,"both","exclude"
"52","FAM83A",-1.99760901953077,0.0943482544162853,5.16399214221869,"both","exclude"
"53","COL17A1",-4.08404756614292,0.000687792615578837,14.7238108051012,"both","exclude"
"54","BPIFB1",-1.39697142556213,0.465717970129576,1.16253976859808,"par_inRCC_vs_LSCC","none"
"55","PORCN",-2.5128451104885,0.0617397479480983,5.44978070690951,"both","exclude"
"56","HILPDA",1.58405019443953,0.00263380078088784,11.6230601386199,"both","exclude"
"57","FGB",1.17539970220907,0.999834884618173,7.63812179992845e-08,"par_inRCC_vs_LSCC","none"
"58","PGD",-0.332849137635411,0.302483015484602,1.52551250413029,"par_inRCC_vs_LSCC","none"
"59","RBP5",0.0838897710436592,0.938143498600468,0.0505502169723372,"par_inRCC_vs_LSCC","none"
"60","TARS1",-2.0265143058166,6.44697279302512e-08,40.0208619962682,"both","exclude"
"61","CYC1",-2.03017483051316,7.3217746676996e-07,32.5945893650917,"both","exclude"
"62","ANPEP",1.67518806086677,0.00788207492686527,9.52156137670121,"both","exclude"
"63","ANGPTL4",1.57602385121457,0.00881781123381402,8.86238899574229,"both","exclude"
"64","SFTPB",-7.16884885138915,1.28995546686552e-05,26.6601317961317,"both","exclude"
"65","PDPN",-1.51424564255006,0.0501167421645974,5.39428249934003,"both","exclude"
"66","C12orf75",1.40594856340498,0.00216715660339836,12.064803109533,"both","exclude"
"67","S100A8",-2.79447249704459,0.000729857283251045,14.9686755899,"both","exclude"
"68","CMC4",1.34466058257195,0.159301240958044,4.28849944975918,"par_inRCC_vs_LSCC","none"
"69","S100A14",-6.70402641530122,2.80513657960248e-08,47.5610379192368,"both","exclude"
"70","PPP1R14C",-5.45767885409722,7.28220303596391e-06,28.1308278584149,"both","exclude"
"71","KHK",1.89254272988243,0.000371789195768352,16.2011098549457,"both","exclude"
"72","DHRS2",3.96933865213358,0.000226628273453937,19.3496881823841,"both","exclude"
"73","MIB2",-2.50925725304852,9.22982226415469e-09,45.6061521726273,"both","exclude"
"74","MYD88",-1.53605902947333,1.08204886999543e-05,25.1301400579633,"both","exclude"
"75","CYB5A",1.73575010418199,3.2758053533109e-05,22.3075310983006,"both","exclude"
"76","PDZK1IP1",1.37549596107212,0.282223492572586,1.65723679287624,"par_inRCC_vs_LSCC","none"
"77","TRIM28",-2.08433560711768,6.72261548944306e-08,39.8355877422192,"both","exclude"
"78","ARMCX3",-1.8309327420397,8.26135095382101e-07,32.2533592578973,"both","exclude"
"79","GJB3",0.0243395597988583,0.999834884618173,1.85327590165324e-07,"par_inRCC_vs_LSCC","none"
"80","PRRX1",-2.29000241894175,1.57528133624908e-06,32.3103736121679,"both","exclude"
"81","GRHL3",-2.44260373410708,0.0129968159761241,7.9866384077117,"both","exclude"
"82","MVD",-1.5157354103798,0.000238995463524734,17.2924206906309,"both","exclude"
"83","RNASET2",0.871849551940448,0.0039459693827749,10.6885792419175,"both","both_TLS"
"84","CA12",1.53673160729081,0.0228304948265509,7.33273319133893,"both","exclude"
"85","EIF2S3",1.90318823340094,1.56980293548683e-10,57.7299379711435,"both","exclude"
"86","RAB25",-1.94874054454502,0.0315248042010245,6.05108920224584,"both","exclude"
"87","UQCC3",-1.49620303628768,6.07399897949262e-05,20.8054614815444,"both","exclude"
"88","NNMT",0.790110209093705,0.0237887196030794,6.62435856242189,"both","exclude"
"89","HPCAL1",0.435300006493948,0.165515982623441,2.62805041841095,"par_inRCC_vs_LSCC","none"
"90","VCAM1",1.50210759647946,0.00066677805114867,14.7940001048572,"both","exclude"
"91","AKR1C2",-2.33323756564183,0.154016725096832,2.94647808207949,"par_inRCC_vs_LSCC","none"
"92","CDH3",-0.823179829700742,0.261015848703151,1.81850352097791,"par_inRCC_vs_LSCC","none"
"93","AQP2",2.06731548267048,0.999834884618173,1.28592266002529e-07,"par_inRCC_vs_LSCC","none"
"94","FRMD4A",2.01957513517449,0.0449307485059494,7.34394191880072,"both","exclude"
"95","TRIM29",-1.85419551747161,0.33380402474367,1.74221926167992,"par_inRCC_vs_LSCC","none"
"96","DEFB1",2.47696490282522,0.0114028207480215,9.58631807694803,"both","exclude"
"97","HLA.DOA",-2.11323600403932,1.03178158195957e-05,26.976632562378,"both","exclude"
"98","MT1X",-1.64879135733851,0.000454067752425835,15.7260930894423,"both","exclude"
"99","CHCHD1",-2.15472974805817,4.07431010407419e-08,41.4586731183504,"both","exclude"
"100","SLPI",-4.23185019248281,0.00670268993885154,9.79692171237822,"both","exclude"
"101","HEPHL1",-2.43847087757609,0.0359910133920856,5.78856808744795,"both","exclude"
"102","COPS9",-1.8152861422652,4.62399605422228e-06,28.0176039199662,"both","exclude"
"103","SRP19",-2.8629721665696,7.56844682561478e-08,41.6332515247154,"both","exclude"
"104","ENPEP",0.615398479599843,0.399550460395613,1.06801684896839,"par_inRCC_vs_LSCC","none"
"105","PCSK6",1.7108606786044,0.0157466165057709,7.99660801550425,"both","exclude"
"106","TRADD",-2.13871645052394,2.23054023768232e-07,36.9663339216639,"both","exclude"
"107","CLCA2",-3.22513342148152,0.0284230204118052,7.91579298962919,"both","exclude"
"108","ABCC1",-1.14876826107997,0.00348925739168471,10.9872989370474,"both","exclude"
"109","SEC24D",-2.47669860232666,8.30965124598026e-08,39.2422461669903,"both","exclude"
"110","PTK7",-4.76308834171256,4.41065293367671e-07,34.212251505527,"both","exclude"
"111","TXNDC12",-2.06091405628865,3.47719762994448e-07,34.9739213041888,"both","exclude"
"112","MTCH1",-1.04012043521928,0.000556640788138959,15.2366101479122,"both","exclude"
"113","SPINK1",1.70120399800052,0.0261507977284031,6.43428828756871,"both","exclude"
"114","GOLPH3",-1.77735853418147,7.03849781272049e-07,32.7070056380293,"both","exclude"
"115","C7",1.28776520509019,0.0019842576916471,12.7567189221298,"both","both_TLS"
"116","SLC38A5",-1.01634132536923,0.0957055451234223,3.7000076551512,"both","exclude"
"117","PCOLCE",-1.83246416687909,8.38933191229186e-07,32.1978744056611,"both","exclude"
"118","COX7C",1.77601225658743,4.52512874179087e-12,68.2481027493945,"both","exclude"
"119","CELSR1",-1.70708830835248,0.000741369140420037,14.5321843623258,"both","exclude"
"120","SNCG",0.551281981747141,0.207810451093921,2.19483506917121,"par_inRCC_vs_LSCC","none"
"121","NRP1",1.50247330309777,0.000139817306536291,18.6619972520514,"both","exclude"
