"","logFC","logCPM","F","PValue","FDR"
"CRYAB",4.65998247272804,8.55438784750265,65.1282693382151,1.3810161950113e-13,1.23524740409949e-10
"KRT5",-6.47912358846896,8.67098476434459,72.6917202785048,1.52688183448639e-13,1.23524740409949e-10
"PKP1",-6.0796049580832,7.51530297456211,63.0877705713272,3.05852662174826e-13,1.64956535799623e-10
"LAMC2",-5.82020080029369,8.23960148469363,63.0246945444429,1.65805641830198e-12,6.70683821203152e-10
"FXYD2",5.41744762556379,8.24851049144228,59.4159017177138,4.6042516667112e-12,1.48993583934774e-09
"CYP2S1",-5.0500741086983,7.80101566864483,53.1863427860042,1.78363870621043e-11,4.80987904441413e-09
"KRT16",-9.18821197299329,9.00320935523449,66.3437980937203,2.22136085695511e-11,5.1345169522191e-09
"PRB3",-7.15988432249374,8.15851684062318,56.8703695450818,4.93103581651975e-11,9.9730199389112e-09
"MUC5B",-6.04862222095424,6.47021073396228,48.9627669725321,6.42918727782981e-11,1.1558250017254e-08
"CDHR5",5.13652924318238,7.30625278055453,48.5276471064474,7.62623841494721e-11,1.1880109154812e-08
"ANXA4",3.87146869238837,7.76791550622267,48.3002397998264,8.07671203355573e-11,1.1880109154812e-08
"KRTDAP",-7.1288066529862,6.630189476936,51.219762511074,1.03574753066775e-10,1.39653292051702e-08
"HAVCR1",6.278912366754,7.43442178590861,49.591164429549,1.53928082988707e-10,1.91581260212099e-08
"KRT14",-8.15011522452658,7.92745758516009,56.9173118936938,2.19649748724408e-10,2.53852352454351e-08
"IGFBP3",3.63149594735865,9.42483939276768,43.9694409570095,4.54297323789481e-10,4.90035379927587e-08
"MDFI",-3.72305867296718,7.9418241622976,43.3698820281844,5.94486159786531e-10,6.01174129084129e-08
"PPP1R1A",4.84604343261477,7.38181965448933,43.2739200779024,8.07782544349603e-10,7.68818915739798e-08
"PI4K2A",-3.62462476988992,8.71332696472755,41.3435272940526,1.31974690122554e-09,1.18630582565718e-07
"PRB4",-8.69154591391608,8.51906220937595,49.5770964738307,1.85960235461726e-09,1.5835982156688e-07
"KCNJ16",4.57835096606788,7.33300884629844,39.9679951217352,2.32118982483882e-09,1.8778425682946e-07
"HIPK2",3.60512110243576,7.9161571389395,39.0390106901872,3.40691871761382e-09,2.59011383512826e-07
"S100A2",-4.95506311249817,10.6370201507895,40.7705579468484,3.52178642600876e-09,2.59011383512826e-07
"PHGDH",-4.7017192198384,8.88530929879623,41.2947684008418,5.21904301896208e-09,3.67148330638289e-07
"PLEKHG5",-3.72481669147087,9.05839293856531,38.4384219049939,5.91540611317226e-09,3.98796962129697e-07
"FASN",-3.93835672846768,8.40628699648959,38.6450506885638,6.51749047803012e-09,4.07443377650744e-07
"COL7A1",-4.10966302877955,7.53094674374023,37.4683653626395,6.54729778672394e-09,4.07443377650744e-07
"ALDH3A1",-5.44392014944427,7.35450796508377,38.9022489344963,7.55313289635195e-09,4.52628482455461e-07
"IGHD",-5.87063675111999,9.20754331283024,39.9325842322854,1.19680495088671e-08,6.72557510615862e-07
"FEZ1",-3.61939009618422,7.94006232827935,36.0130713940277,1.20544918466378e-08,6.72557510615862e-07
"PRR4",-4.59859460596715,7.02511160050781,35.4879058993083,1.50433425919146e-08,8.11337610457261e-07
"SPP1",4.44133912009716,8.39774202189746,38.11453836565,1.59500271809706e-08,8.324885154455e-07
"UCHL1",-4.93044219650357,8.81499193493917,38.6619329458004,1.66166111394211e-08,8.4017740073698e-07
"CST1",-4.77059677480269,6.02266528127929,35.0223023314078,2.30521455433338e-08,1.1302536814883e-06
"BHMT2",4.05933354798168,7.27954882445219,33.7974991971714,3.08278841351887e-08,1.46704460384515e-06
"DAB2",3.14902539309539,7.80261792978379,33.7275416231522,3.17617717302315e-08,1.46830133312899e-06
"RBM42",-3.25529899182288,9.77320920003798,33.3695766979995,3.70089780894096e-08,1.66334795968513e-06
"CXCL14",3.54116738616021,8.05454322658773,33.6248967723833,3.88933231846545e-08,1.70079451115597e-06
"RGS5",3.42202237306164,7.58873171639833,32.9087506981486,4.50810692749497e-08,1.91950447597023e-06
"SERPINA1",3.08165404764271,8.19605607810698,32.6812156052525,4.97036029197567e-08,2.06206229549145e-06
"IGHMBP2",-4.48920125859849,9.50941491227719,35.2040601735316,5.45977754183971e-08,2.20848001567416e-06
"CCL18",-4.9004812052838,8.49793338606442,34.5108603276346,8.27111904008923e-08,3.26406600167424e-06
"IFI6",-4.40021585448154,10.1743861600936,33.6339796347146,8.64280154124223e-08,3.32953640326903e-06
"PLIN2",3.35111845121518,7.66509294764896,30.794281737444,1.12243570539073e-07,4.22349063098185e-06
"GPX3",3.08958854380418,8.84774557836913,30.5166883875428,1.26632018141974e-07,4.65660466712986e-06
"FSCN1",-3.17552330714208,7.92482113132068,30.3996209266599,1.33247953983741e-07,4.79100421212651e-06
"GALNT14",3.65420389436908,6.98356361184216,29.7810626693812,1.74494929333384e-07,6.13766947090034e-06
"ETV3",-2.92674330578864,9.20573512597687,29.6804284882682,1.82338902739382e-07,6.27711371558127e-06
"SCGB1A1",-4.64891401131174,6.6865423889591,29.6909391233897,1.96626923782575e-07,6.53091359187991e-06
"TYK2",-3.11725670598247,10.0427611057389,29.4945045912566,1.97784156985238e-07,6.53091359187991e-06
"NR1H4",3.72309015929777,7.02839940263333,28.8041931596614,2.67703628918598e-07,8.66288943180583e-06
"PSMD2",-2.73521209792576,8.63873370819472,28.400061034413,3.19799459584018e-07,9.92640558538986e-06
"FAM83A",-4.18218292893627,6.05780882496122,28.7007554943854,3.24480480727832e-07,9.92640558538986e-06
"COL17A1",-4.21371903022068,6.71276330987594,28.3918330799554,3.25154200263079e-07,9.92640558538986e-06
"BPIFB1",-4.00456401794977,6.31841033373784,27.6348800114413,4.5394700614107e-07,1.36015973321528e-05
"PORCN",-3.90953428223287,6.0199280728259,26.8694177096269,6.3717808253926e-07,1.86632646119081e-05
"HILPDA",3.11330274245012,7.57228881302693,26.8121845394949,6.45947353687797e-07,1.86632646119081e-05
"FGB",5.20577599631345,6.91151130219977,30.1062695943774,6.87853231797246e-07,1.95253777025955e-05
"PGD",-2.59843134613097,9.43805074258268,26.4545578150637,7.57508710370782e-07,2.11318809203435e-05
"RBP5",3.03422991934772,7.73943862481229,26.406557495604,7.73902778933989e-07,2.12232999375457e-05
"TARS1",-2.91644578150269,10.2276400168994,26.3646803540129,7.88499323879688e-07,2.12631984339556e-05
"CYC1",-2.73233388712313,9.05831266385183,26.1753517295917,8.58057943294693e-07,2.25227617381975e-05
"ANPEP",3.48730100688497,7.19513881410131,26.1623746829285,8.63047730388286e-07,2.25227617381975e-05
"ANGPTL4",3.21861069866922,7.48504397399333,26.040739287269,9.11272917806824e-07,2.34038028731975e-05
"SFTPB",-7.60313407639437,9.54260787460904,28.1174739249063,9.52419180238639e-07,2.40783474004081e-05
"PDPN",-3.5778961793457,6.75828505072634,25.764728714035,1.03109999506331e-06,2.56664583386529e-05
"C12orf75",2.84846176624397,7.94661156195647,25.7086538453884,1.05733514057308e-06,2.59207311734431e-05
"S100A8",-3.57912905882626,7.94206047684568,26.7573545856789,1.11769698745644e-06,2.69516360271046e-05
"CMC4",3.35888585385227,6.57255116994879,25.5550915279831,1.13270163772751e-06,2.69516360271046e-05
"S100A14",-3.87180352767052,8.76352056354768,27.2427255923551,1.19712661000766e-06,2.8071751521629e-05
"PPP1R14C",-3.70211098183004,8.30455797873938,26.7478895752885,1.37151511786285e-06,3.17008728272472e-05
"KHK",3.20991025671421,7.26491835817542,25.0763620740019,1.40452878046089e-06,3.17008728272472e-05
"DHRS2",3.8722221748589,6.55986970003246,25.3297512842089,1.41066924818405e-06,3.17008728272472e-05
"MIB2",-2.77408084873965,9.38193496550567,24.9341290861357,1.50673723292818e-06,3.24997755069502e-05
